energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,10.03455702,0.31144970,0.20776673,0.01940363,1.36259021,3.09312922,5.52934874,0.10328106,2.53871527
-5.99399700,10.07357814,0.32106595,0.21274348,0.02008619,1.34716511,3.14581527,5.52162180,0.10585278,2.57971281
-5.98799400,10.09954522,0.33072154,0.21767211,0.02069629,1.32972476,3.20849045,5.50424950,0.10812428,2.61823000
-5.98199100,10.11143448,0.34034760,0.22244822,0.02122673,1.31040252,3.28121104,5.47689110,0.11007173,2.65366518
-5.97598799,10.10877483,0.34988742,0.22697631,0.02167220,1.28940413,3.36398538,5.43954244,0.11168043,2.68555177
-5.96998499,10.09165686,0.35929690,0.23117220,0.02202945,1.26700119,3.45674922,5.39254154,0.11294496,2.71356821
-5.96398199,10.06071806,0.36854455,0.23496475,0.02229736,1.24352199,3.55934073,5.33655973,0.11386888,2.73754157
-5.95797899,10.01710534,0.37761118,0.23829708,0.02247693,1.21933998,3.67147653,5.27257935,0.11446423,2.75744488
-5.95197599,9.96241757,0.38648922,0.24112713,0.02257119,1.19486063,3.79273048,5.20185926,0.11475062,2.77338844
-5.94597299,9.89863137,0.39518173,0.24342756,0.02258509,1.17050726,3.92251675,5.12589014,0.11475415,2.78560594
-5.93996998,9.82801439,0.40370125,0.24518517,0.02252524,1.14670656,4.06007858,5.04634206,0.11450605,2.79443611
-5.93396698,9.75303065,0.41206848,0.24639971,0.02239967,1.12387444,4.20448420,4.96500668,0.11404125,2.80030119
-5.92796398,9.67624287,0.42031096,0.24708238,0.02221747,1.10240292,4.35463073,4.88373718,0.11339684,2.80368340
-5.92196098,9.60021653,0.42846183,0.24725398,0.02198853,1.08264844,4.50925701,4.80438829,0.11261058,2.80510076
-5.91595798,9.52743013,0.43655871,0.24694292,0.02172311,1.06492223,4.66696542,4.72875932,0.11171943,2.80508369
-5.90995498,9.46019569,0.44464282,0.24618319,0.02143157,1.04948282,4.82625257,4.65854209,0.11075828,2.80415338
-5.90395198,9.40059236,0.45275836,0.24501243,0.02112402,1.03653111,4.98554811,4.59527592,0.10975884,2.80280309
-5.89794897,9.35041548,0.46095210,0.24347017,0.02081008,1.02620781,5.14326052,4.54031075,0.10874878,2.80148316
-5.89194597,9.31114220,0.46927325,0.24159636,0.02049860,1.01859326,5.29782795,4.49477938,0.10775112,2.80059013
-5.88594297,9.28391348,0.47777340,0.23943024,0.02019758,1.01370951,5.44777208,4.45957902,0.10678392,2.80046015
-5.87993997,9.26953176,0.48650658,0.23700962,0.01991397,1.01152406,5.59175249,4.43536181,0.10586017,2.80136657
-5.87393697,9.26847227,0.49552922,0.23437051,0.01965370,1.01195521,5.72861868,4.42253378,0.10498797,2.80352120
-5.86793397,9.28090537,0.50489992,0.23154709,0.01942161,1.01487834,5.85745708,4.42126091,0.10417087,2.80707870
-5.86193097,9.30672692,0.51467889,0.22857203,0.01922157,1.02013270,5.97763017,4.43148110,0.10340841,2.81214306
-5.85592796,9.34559322,0.52492697,0.22547699,0.01905652,1.02752842,6.08880547,4.45292042,0.10269676,2.81877542
-5.84992496,9.39695738,0.53570417,0.22229325,0.01892864,1.03685308,6.19097212,4.48511215,0.10202934,2.82700216
-5.84392196,9.46010396,0.54706766,0.21905245,0.01883940,1.04787778,6.28444382,4.52741702,0.10139759,2.83682243
-5.83791896,9.53417939,0.55906928,0.21578720,0.01878977,1.06036218,6.36984707,4.57904358,0.10079158,2.84821432
-5.83191596,9.61821633,0.57175254,0.21253154,0.01878029,1.07405851,6.44809502,4.63906749,0.10020061,2.86113927
-5.82591296,9.71115084,0.58514948,0.20932125,0.01881117,1.08871456,6.52034720,4.70644915,0.09961376,2.87554413
-5.81990995,9.81183212,0.59927718,0.20619381,0.01888236,1.10407533,6.58795710,4.78004936,0.09902022,2.89136114
-5.81390695,9.91902535,0.61413458,0.20318811,0.01899359,1.11988399,6.65240936,4.85864291,0.09840963,2.90850575
-5.80790395,10.03140883,0.62969940,0.20034379,0.01914437,1.13588178,6.71524953,4.94093047,0.09777229,2.92687272
-5.80190095,10.14756726,0.64592575,0.19770035,0.01933388,1.15180762,6.77800956,5.02554938,0.09709923,2.94633120
-5.79589795,10.26598333,0.66274238,0.19529597,0.01956100,1.16739737,6.84213229,5.11108389,0.09638230,2.96671923
