energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.43248733,0.97051864,1.07895579,0.07576229,0.30527392,0.86846422,0.51112930,1.80326513,0.00000000
-5.99399700,3.43119825,0.96618421,1.08008637,0.07444452,0.30542896,0.87244451,0.51020928,1.80446877,0.00000000
-5.98799400,3.41913839,0.95764506,1.07931362,0.07277953,0.30420429,0.87349268,0.50793512,1.79933046,0.00000000
-5.98199100,3.39630897,0.94500024,1.07646742,0.07079443,0.30159467,0.87158756,0.50436296,1.78792619,0.00000000
-5.97598799,3.36296149,0.92843914,1.07146490,0.06852070,0.29762572,0.86675671,0.49956381,1.77046385,0.00000000
-5.96998499,3.31957136,0.90823323,1.06430100,0.06599334,0.29235171,0.85907313,0.49362004,1.74726982,0.00000000
-5.96398199,3.26680510,0.88472501,1.05503689,0.06324991,0.28585254,0.84865088,0.48662190,1.71877206,0.00000000
-5.95797899,3.20548343,0.85831463,1.04378690,0.06032958,0.27823016,0.83563982,0.47866418,1.68548043,0.00000000
-5.95197599,3.13654206,0.82944504,1.03070484,0.05727216,0.26960446,0.82021988,0.46984337,1.64796557,0.00000000
-5.94597299,3.06099230,0.79858633,1.01597048,0.05411714,0.26010902,0.80259519,0.46025535,1.60683710,0.00000000
-5.93996998,2.97988336,0.76621994,0.99977685,0.05090286,0.24988673,0.78298817,0.44999363,1.56272246,0.00000000
-5.93396698,2.89426790,0.73282354,0.98231894,0.04766573,0.23908566,0.76163414,0.43914842,1.51624716,0.00000000
-5.92796398,2.80517226,0.69885722,0.96378434,0.04443956,0.22785513,0.73877630,0.42780628,1.46801727,0.00000000
-5.92196098,2.71357211,0.66475142,0.94434609,0.04125504,0.21634225,0.71466154,0.41605031,1.41860483,0.00000000
-5.91595798,2.62037416,0.63089711,0.92415783,0.03813936,0.20468889,0.68953683,0.40396090,1.36853640,0.00000000
-5.90995498,2.52640381,0.59763841,0.90335128,0.03511597,0.19302924,0.66364646,0.39161668,1.31828513,0.00000000
-5.90395198,2.43239865,0.56526784,0.88203588,0.03220444,0.18148791,0.63722988,0.37909569,1.26826611,0.00000000
-5.89794897,2.33900700,0.53402409,0.86030024,0.02942052,0.17017852,0.61052008,0.36647635,1.21883493,0.00000000
-5.89194597,2.24679074,0.50409224,0.83821518,0.02677625,0.15920281,0.58374245,0.35383834,1.17028898,0.00000000
-5.88594297,2.15623142,0.47560615,0.81583767,0.02428016,0.14865015,0.55711386,0.34126299,1.12287099,0.00000000
-5.87993997,2.06773847,0.44865263,0.79321553,0.02193761,0.13859747,0.53084194,0.32883324,1.07677437,0.00000000
-5.87393697,1.98165872,0.42327715,0.77039216,0.01975110,0.12910936,0.50512429,0.31663302,1.03214960,0.00000000
-5.86793397,1.89828606,0.39949052,0.74741120,0.01772065,0.12023853,0.48014774,0.30474615,0.98911130,0.00000000
-5.86193097,1.81787072,0.37727619,0.72432053,0.01584422,0.11202633,0.45608743,0.29325464,0.94774536,0.00000000
-5.85592796,1.74062741,0.35659783,0.70117561,0.01411804,0.10450345,0.43310584,0.28223671,0.90811581,0.00000000
-5.84992496,1.66674223,0.33740671,0.67804182,0.01253704,0.09769067,0.41135180,0.27176452,0.87027104,0.00000000
-5.84392196,1.59637805,0.31964869,0.65499596,0.01109510,0.09159970,0.39095948,0.26190177,0.83424931,0.00000000
-5.83791896,1.52967854,0.30327057,0.63212666,0.00978543,0.08623408,0.37204760,0.25270150,0.80008329,0.00000000
-5.83191596,1.46677101,0.28822552,0.60953409,0.00860075,0.08159011,0.35471885,0.24420411,0.76780377,0.00000000
-5.82591296,1.40776844,0.27447755,0.58732892,0.00753356,0.07765787,0.33905972,0.23643588,0.73744246,0.00000000
-5.81990995,1.35277094,0.26200493,0.56563068,0.00657629,0.07442223,0.32514070,0.22940811,0.70903413,0.00000000
-5.81390695,1.30186706,0.25080252,0.54456584,0.00572141,0.07186395,0.31301708,0.22311690,0.68261805,0.00000000
-5.80790395,1.25513514,0.24088303,0.52426568,0.00496157,0.06996079,0.30273013,0.21754375,0.65823898,0.00000000
-5.80190095,1.21264484,0.23227725,0.50486400,0.00428967,0.06868859,0.29430879,0.21265684,0.63594765,0.00000000
-5.79589795,1.17445899,0.22503323,0.48649494,0.00369888,0.06802233,0.28777160,0.20841304,0.61580099,0.00000000
-5.78989495,1.14063544,0.21921466,0.46929086,0.00318270,0.06793714,0.28312884,0.20476045,0.59786181,0.00000000
-5.78389195,1.11122894,0.21489825,0.45338019,0.00273498,0.06840909,0.28038469,0.20164136,0.58219823,0.00000000
-5.77788894,1.08629250,0.21217046,0.43888547,0.00234992,0.06941586,0.27953903,0.19899547,0.56888251,0.00000000
-5.77188594,1.06587805,0.21112351,0.42592129,0.00202207,0.07093712,0.28058885,0.19676309,0.55798930,0.00000000
-5.76588294,1.05003585,0.21185082,0.41459211,0.00174634,0.07295469,0.28352908,0.19488821,0.54959327,0.00000000
-5.75987994,1.03881247,0.21444192,0.40499003,0.00151799,0.07545231,0.28835245,0.19332115,0.54376589,0.00000000
-5.75387694,1.03224697,0.21897713,0.39719227,0.00133262,0.07841513,0.29504853,0.19202072,0.54057146,0.00000000
-5.74787394,1.03036528,0.22552193,0.39125844,0.00118614,0.08182886,0.30360186,0.19095568,0.54006233,0.00000000
-5.74187094,1.03317270,0.23412141,0.38722766,0.00107480,0.08567868,0.31398903,0.19010548,0.54227341,0.00000000
-5.73586793,1.04064494,0.24479480,0.38511546,0.00099515,0.08994783,0.32617512,0.18946018,0.54721623,0.00000000
-5.72986493,1.05271789,0.25753043,0.38491077,0.00094402,0.09461613,0.34010952,0.18901968,0.55487262,0.00000000
-5.72386193,1.06927697,0.27228132,0.38657299,0.00091848,0.09965840,0.35572141,0.18879224,0.56518854,0.00000000
-5.71785893,1.09014658,0.28896152,0.39002949,0.00091588,0.10504294,0.37291537,0.18879240,0.57806831,0.00000000
-5.71185593,1.11508053,0.30744359,0.39517369,0.00093379,0.11073017,0.39156732,0.18903859,0.59336964,0.00000000
-5.70585293,1.14375441,0.32755730,0.40186400,0.00096995,0.11667156,0.41152129,0.18955047,0.61090005,0.00000000
-5.69984992,1.17576048,0.34908972,0.40992377,0.00102231,0.12280891,0.43258733,0.19034622,0.63041481,0.00000000
-5.69384692,1.21060602,0.37178690,0.41914257,0.00108896,0.12907415,0.45454079,0.19144006,0.65161696,0.00000000
-5.68784392,1.24771560,0.39535706,0.42927876,0.00116813,0.13538965,0.47712333,0.19284003,0.67415958,0.00000000
-5.68184092,1.28643758,0.41947544,0.44006361,0.00125818,0.14166909,0.50004576,0.19454636,0.69765038,0.00000000
-5.67583792,1.32605499,0.44379057,0.45120676,0.00135757,0.14781888,0.52299264,0.19655031,0.72165871,0.00000000
-5.66983492,1.36580059,0.46793186,0.46240303,0.00146487,0.15374020,0.54562877,0.19883377,0.74572477,0.00000000
-5.66383192,1.40487567,0.49151829,0.47334037,0.00157873,0.15933136,0.56760712,0.20136953,0.76937087,0.00000000
-5.65782891,1.44247192,0.51416781,0.48370858,0.00169790,0.16449064,0.58857813,0.20412217,0.79211415,0.00000000
-5.65182591,1.47779535,0.53550727,0.49320864,0.00182124,0.16911932,0.60819985,0.20704962,0.81348040,0.00000000
-5.64582291,1.51009130,0.55518226,0.50156203,0.00194768,0.17312479,0.62614850,0.21010509,0.83301836,0.00000000
-5.63981991,1.53866933,0.57286672,0.50851982,0.00207631,0.17642362,0.64212894,0.21323951,0.85031378,0.00000000
-5.63381691,1.56292675,0.58827174,0.51387099,0.00220633,0.17894437,0.65588462,0.21640401,0.86500272,0.00000000
-5.62781391,1.58236964,0.60115331,0.51744963,0.00233711,0.18063015,0.66720641,0.21955254,0.87678337,0.00000000
-5.62181091,1.59663041,0.61131870,0.51914068,0.00246820,0.18144058,0.67593991,0.22264433,0.88542594,0.00000000
-5.61580790,1.60548092,0.61863122,0.51888395,0.00259933,0.18135323,0.68199089,0.22564602,0.89078007,0.00000000
-5.60980490,1.60884057,0.62301323,0.51667617,0.00273047,0.18036446,0.68532864,0.22853343,0.89277954,0.00000000
-5.60380190,1.60677906,0.62444732,0.51257108,0.00286184,0.17848950,0.68598695,0.23129274,0.89144400,0.00000000
-5.59779890,1.59951358,0.62297562,0.50667747,0.00299392,0.17576194,0.68406270,0.23392116,0.88687780,0.00000000
-5.59179590,1.58740075,0.61869742,0.49915540,0.00312747,0.17223257,0.67971225,0.23642682,0.87926583,0.00000000
-5.58579290,1.57092357,0.61176525,0.49021061,0.00326356,0.16796765,0.67314562,0.23882812,0.86886687,0.00000000
-5.57978989,1.55067426,0.60237950,0.48008765,0.00340353,0.16304674,0.66461885,0.24115244,0.85600453,0.00000000
-5.57378689,1.52733356,0.59078206,0.46906180,0.00354905,0.15756018,0.65442484,0.24343429,0.84105641,0.00000000
-5.56778389,1.50164768,0.57724904,0.45743031,0.00370206,0.15160628,0.64288310,0.24571302,0.82444193,0.00000000
-5.56178089,1.47440372,0.56208312,0.44550332,0.00386477,0.14528854,0.63032878,0.24803018,0.80660926,0.00000000
-5.55577789,1.44640482,0.54560554,0.43359478,0.00403962,0.13871274,0.61710158,0.25042680,0.78802211,0.00000000
-5.54977489,1.41844586,0.52814823,0.42201376,0.00422927,0.13198427,0.60353481,0.25294047,0.76914662,0.00000000
-5.54377189,1.39129079,0.51004621,0.41105648,0.00443651,0.12520565,0.58994516,0.25560273,0.75043910,0.00000000
-5.53776888,1.36565227,0.49163049,0.40099927,0.00466425,0.11847433,0.57662346,0.25843659,0.73233479,0.00000000
-5.53176588,1.34217436,0.47322158,0.39209265,0.00491540,0.11188086,0.56382683,0.26145453,0.71523808,0.00000000
-5.52576288,1.32141865,0.45512388,0.38455672,0.00519285,0.10550746,0.55177245,0.26465704,0.69951439,0.00000000
-5.51975988,1.30385423,0.43762081,0.37857781,0.00549935,0.09942696,0.54063299,0.26803172,0.68548389,0.00000000
-5.51375688,1.28985137,0.42097083,0.37430647,0.00583743,0.09370214,0.53053408,0.27155313,0.67341700,0.00000000
-5.50775388,1.27967913,0.40540436,0.37185662,0.00620932,0.08838540,0.52155347,0.27518323,0.66353178,0.00000000
-5.50175088,1.27350637,0.39112152,0.37130582,0.00661686,0.08351880,0.51372221,0.27887262,0.65599294,0.00000000
