energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,8.74297466,0.02160582,1.63985501,1.58526802,0.34826950,4.54277494,1.82714916,0.14327701,3.30268760
-5.99399700,8.73766906,0.02244288,1.62257403,1.57509077,0.35188917,4.49936184,1.82119323,0.14833233,3.31578848
-5.98799400,8.71999698,0.02322075,1.60377613,1.55880007,0.35495799,4.44720151,1.81455827,0.15342508,3.32248529
-5.98199100,8.69081096,0.02392722,1.58341429,1.53674034,0.35750186,4.38643028,1.80716332,0.15858193,3.32342875
-5.97598799,8.65115042,0.02455113,1.56147873,1.50934651,0.35955288,4.31732183,1.79895719,0.16383224,3.31934369
-5.96998499,8.60220675,0.02508267,1.53799877,1.47713380,0.36114757,4.24029005,1.78991933,0.16920569,3.31100359
-5.96398199,8.54528089,0.02551358,1.51304260,1.44068593,0.36232485,4.15588669,1.78005856,0.17472958,3.29920326
-5.95797899,8.48173495,0.02583737,1.48671492,1.40064180,0.36312399,4.06479356,1.76940963,0.18042602,3.28473049
-5.95197599,8.41293974,0.02604947,1.45915283,1.35768103,0.36358250,3.96780968,1.75802820,0.18630900,3.26833745
-5.94597299,8.34022033,0.02614732,1.43052019,1.31250878,0.36373403,3.86583345,1.74598446,0.19238163,3.25071312
-5.93996998,8.26480199,0.02613043,1.40100070,1.26584013,0.36360654,3.75984078,1.73335588,0.19863367,3.23245739
-5.93396698,8.18775916,0.02600041,1.37079034,1.21838443,0.36322052,3.65085988,1.72021970,0.20503949,3.21405821
-5.92796398,8.10996982,0.02576080,1.34008930,1.17083008,0.36258770,3.53994377,1.70664556,0.21155660,3.19587262
-5.92196098,8.03207792,0.02541707,1.30909411,1.12383004,0.36171003,3.42814178,1.69268887,0.21812493,3.17811267
-5.91595798,7.95446590,0.02497634,1.27799029,1.07798870,0.36057914,3.31647136,1.67838533,0.22466691,3.16083706
-5.90995498,7.87723946,0.02444718,1.24694588,1.03385024,0.35917641,3.20589143,1.66374709,0.23108843,3.14394916
-5.90395198,7.80022560,0.02383938,1.21610631,0.99188907,0.35747346,3.09727869,1.64876067,0.23728073,3.12720179
-5.89794897,7.72298484,0.02316362,1.18559070,0.95250244,0.35543335,2.99140770,1.63338697,0.24312305,3.11020888
-5.89194597,7.64483751,0.02243113,1.15548994,0.91600559,0.35301222,2.88893598,1.61756339,0.24848622,3.09246376
-5.88594297,7.56490325,0.02165344,1.12586649,0.88262948,0.35016156,2.79039435,1.60120792,0.25323679,3.07336359
-5.87993997,7.48215201,0.02084204,1.09675581,0.85252108,0.34683088,2.69618305,1.58422486,0.25724171,3.05223884
-5.87393697,7.39546424,0.02000808,1.06816941,0.82574622,0.34297065,2.60657335,1.56651211,0.26037324,3.02838677
-5.86793397,7.30369721,0.01916214,1.04009903,0.80229466,0.33853557,2.52171441,1.54796920,0.26251401,3.00110721
-5.86193097,7.20575386,0.01831398,1.01252180,0.78208721,0.33348784,2.44164447,1.52850577,0.26356183,2.96973909
-5.85592796,7.10065059,0.01747241,0.98540591,0.76498439,0.32780029,2.36630551,1.50804981,0.26343406,2.93369577
-5.84992496,6.98758003,0.01664512,0.95871626,0.75079631,0.32145929,2.29556027,1.48655512,0.26207143,2.89249755
-5.84392196,6.86596548,0.01583862,0.93241984,0.73929321,0.31446721,2.22921024,1.46400744,0.25944090,2.84579953
-5.83791896,6.73550373,0.01505823,0.90649035,0.73021618,0.30684430,2.16701363,1.44042891,0.25553769,2.79341349
-5.83191596,6.59619406,0.01430806,0.88091176,0.72328769,0.29862987,2.10870196,1.41588038,0.25038603,2.73532266
-5.82591296,6.44835182,0.01359109,0.85568056,0.71822150,0.28988275,2.05399458,1.39046154,0.24403895,2.67168865
-5.81990995,6.29260605,0.01290928,0.83080670,0.71473156,0.28068086,2.00261028,1.36430875,0.23657688,2.60285037
-5.81390695,6.12988153,0.01226361,0.80631308,0.71253976,0.27112005,1.95427568,1.33759081,0.22810515,2.52931495
-5.80790395,5.96136660,0.01165431,0.78223373,0.71138228,0.26131219,1.90873027,1.31050282,0.21875072,2.45174148
-5.80190095,5.78846900,0.01108093,0.75861097,0.71101457,0.25138253,1.86572830,1.28325863,0.20865800,2.37091858
-5.79589795,5.61276244,0.01054253,0.73549176,0.71121500,0.24146659,1.82503800,1.25608227,0.19798426,2.28773695
-5.78989495,5.43592734,0.01003783,0.71292361,0.71178711,0.23170660,1.78643875,1.22919901,0.18689462,2.20315876
-5.78389195,5.25968914,0.00956533,0.69095042,0.71256088,0.22224779,1.74971703,1.20282652,0.17555708,2.11818527
-5.77788894,5.08575764,0.00912346,0.66960865,0.71339295,0.21323454,1.71466188,1.17716660,0.16413753,2.03382455
-5.77188594,4.91577061,0.00871072,0.64892407,0.71416620,0.20480671,1.68106086,1.15239805,0.15279525,1.95106080
-5.76588294,4.75124436,0.00832573,0.62890947,0.71478875,0.19709616,1.64869703,1.12867096,0.14167883,1.87082656
