energy_ev,total_up,Al_p_up,Al_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.29641492,0.26944993,0.00000000,1.39643292,1.22378983,0.04660840,1.32893050
-5.99399700,3.27123492,0.27365193,0.00000000,1.39164736,1.20925893,0.04730021,1.31918413
-5.98799400,3.23975325,0.27691906,0.00000000,1.38446348,1.19275715,0.04784465,1.30631012
-5.98199100,3.20168589,0.27914512,0.00000000,1.37470747,1.17426395,0.04822327,1.29025964
-5.97598799,3.15694224,0.28024637,0.00000000,1.36230228,1.15382609,0.04841941,1.27107287
-5.96998499,3.10564532,0.28016458,0.00000000,1.34727628,1.13156443,0.04841889,1.24888485
-5.96398199,3.04814572,0.27886916,0.00000000,1.32976913,1.10767823,0.04821079,1.22392833
-5.95797899,2.98502750,0.27635851,0.00000000,1.31003389,1.08244657,0.04778801,1.19653311
-5.95197599,2.91710481,0.27266031,0.00000000,1.28843513,1.05622621,0.04714771,1.16712142
-5.94597299,2.84540856,0.26783077,0.00000000,1.26544258,1.02944575,0.04629163,1.13619912
-5.93996998,2.77116276,0.26195283,0.00000000,1.24162033,1.00259607,0.04522621,1.10434282
-5.93396698,2.69575113,0.25513333,0.00000000,1.21761172,0.97621707,0.04396249,1.07218321
-5.92796398,2.62067483,0.24749935,0.00000000,1.19412045,0.95088125,0.04251589,1.04038507
-5.92196098,2.54750303,0.23919376,0.00000000,1.17188837,0.92717472,0.04090575,1.00962484
-5.91595798,2.47781825,0.23037025,0.00000000,1.15167111,0.90567637,0.03915474,0.98056651
-5.90995498,2.41315901,0.22118797,0.00000000,1.13421226,0.88693621,0.03728820,0.95383706
-5.90395198,2.35496228,0.21180612,0.00000000,1.12021744,0.87145379,0.03533330,0.93000246
-5.89794897,2.30450861,0.20237868,0.00000000,1.11032928,0.85965781,0.03331825,0.90954541
-5.89194597,2.26287234,0.19304940,0.00000000,1.10510446,0.85188791,0.03127141,0.89284588
-5.88594297,2.23087948,0.18394750,0.00000000,1.10499382,0.84837943,0.02922052,0.88016548
