energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.12727133,0.01671789,0.27674371,1.26711286,0.77471418,0.01759695,1.63097677,0.77119678,0.40893609
-5.99399700,3.19953775,0.01630345,0.28283983,1.30177821,0.79680080,0.01672537,1.67151059,0.79904903,0.41435356
-5.98799400,3.26221741,0.01585214,0.28873637,1.33359838,0.81657138,0.01584011,1.70643352,0.82446257,0.41797687
-5.98199100,3.31378377,0.01536579,0.29428463,1.36182645,0.83358165,0.01494778,1.73492236,0.84691057,0.41969745
-5.97598799,3.35287757,0.01484689,0.29934143,1.38576150,0.84742876,0.01405483,1.75624660,0.86590457,0.41943899
-5.96998499,3.37834985,0.01429856,0.30377469,1.40477088,0.85776406,0.01316747,1.76979062,0.88100927,0.41716029
-5.96398199,3.38930029,0.01372441,0.30746894,1.41831132,0.86430471,0.01229162,1.77507329,0.89185619,0.41285705
-5.95797899,3.38510945,0.01312847,0.31033058,1.42594823,0.86684356,0.01143287,1.77176403,0.89815566,0.40656275
-5.95197599,3.36546326,0.01251507,0.31229252,1.42737209,0.86525697,0.01059640,1.75969481,0.89970667,0.39834831
-5.94597299,3.33036886,0.01188874,0.31331805,1.42241132,0.85951025,0.00978695,1.73886733,0.89640401,0.38832076
-5.93996998,3.28016093,0.01125409,0.31340374,1.41104088,0.84966031,0.00900881,1.70945539,0.88824261,0.37662081
-5.93396698,3.21549808,0.01061574,0.31258108,1.39338608,0.83585566,0.00826579,1.67180203,0.87531861,0.36341950
-5.92796398,3.13734947,0.00997822,0.31091685,1.36972145,0.81833343,0.00756119,1.62641172,0.85782732,0.34891407
-5.92196098,3.04697194,0.00934590,0.30851211,1.34046446,0.79741375,0.00689784,1.57393785,0.83605805,0.33332314
-5.91595798,2.94587855,0.00872293,0.30549980,1.30616438,0.77349163,0.00627813,1.51516595,0.81038603,0.31688144
-5.90995498,2.83579971,0.00811322,0.30204108,1.26748669,0.74702658,0.00570401,1.45099351,0.78126177,0.29983427
-5.90395198,2.71863834,0.00752037,0.29832038,1.22519356,0.71853054,0.00517706,1.38240688,0.74919837,0.28243188
-5.89794897,2.59642082,0.00694767,0.29453958,1.18012137,0.68855437,0.00469859,1.31045652,0.71475721,0.26492400
-5.89194597,2.47124548,0.00639813,0.29091136,1.13315599,0.65767365,0.00426963,1.23623125,0.67853269,0.24755461
-5.88594297,2.34523071,0.00587440,0.28765206,1.08520713,0.62647410,0.00389108,1.16083257,0.64113666,0.23055724
-5.87993997,2.22046432,0.00537886,0.28497446,1.03718260,0.59553734,0.00356375,1.08535000,0.60318305,0.21415082
-5.87393697,2.09895615,0.00491356,0.28308053,0.98996370,0.56542723,0.00328844,1.01083819,0.56527336,0.19853624
-5.86793397,1.98259537,0.00448031,0.28215478,0.94438261,0.53667751,0.00306598,0.93829659,0.52798355,0.18389368
-5.86193097,1.87311368,0.00408062,0.28235820,0.90120280,0.50978092,0.00289735,0.86865209,0.49185263,0.17038068
-5.85592796,1.77205567,0.00371577,0.28382324,0.86110300,0.48518004,0.00278364,0.80274524,0.45737345,0.15813107
-5.84992496,1.68075662,0.00338682,0.28664994,0.82466538,0.46326025,0.00272614,0.74132008,0.42498569,0.14725464
-5.84392196,1.60032828,0.00309461,0.29090337,0.79236812,0.44434466,0.00272629,0.68501768,0.39507138,0.13783742
-5.83791896,1.53165241,0.00283977,0.29661244,0.76458248,0.42869121,0.00278569,0.63437328,0.36795263,0.12994271
-5.83191596,1.47538170,0.00262279,0.30377022,0.74157425,0.41649167,0.00290603,0.58981666,0.34389176,0.12361248
-5.82591296,1.43194736,0.00244396,0.31233552,0.72350906,0.40787256,0.00308903,0.55167545,0.32309324,0.11886924
-5.81990995,1.40157229,0.00230344,0.32223582,0.71046118,0.40289762,0.00333634,0.52018067,0.30570740,0.11571815
-5.81390695,1.38428894,0.00220125,0.33337127,0.70242488,0.40157168,0.00364941,0.49547412,0.29183537,0.11414927
-5.80790395,1.37996031,0.00213727,0.34561962,0.69932777,0.40384551,0.00402936,0.47761686,0.28153488,0.11413986
-5.80190095,1.38830302,0.00211128,0.35884177,0.70104506,0.40962151,0.00447680,0.46659829,0.27482644,0.11565659
-5.79589795,1.40891104,0.00212294,0.37288780,0.70741396,0.41875983,0.00499171,0.46234512,0.27169963,0.11865757
-5.78989495,1.44127895,0.00217182,0.38760306,0.71824741,0.43108462,0.00557319,0.46472989,0.27211888,0.12309412
-5.78389195,1.48482369,0.00225737,0.40283419,0.73334629,0.44639033,0.00621938,0.47357851,0.27602856,0.12891229
-5.77788894,1.53890388,0.00237894,0.41843471,0.75250950,0.46444767,0.00692725,0.48867654,0.28335710,0.13605394
-5.77188594,1.60283618,0.00253574,0.43427000,0.77554159,0.48500914,0.00769249,0.50977403,0.29401985,0.14445750
-5.76588294,1.67590809,0.00272688,0.45022148,0.80225736,0.50781412,0.00850942,0.53658885,0.30792067,0.15405837
-5.75987994,1.75738721,0.00295128,0.46618977,0.83248352,0.53259317,0.00937091,0.56880852,0.32495219,0.16478891
-5.75387694,1.84652686,0.00320772,0.48209683,0.86605744,0.55907187,0.01026842,0.60609069,0.34499474,0.17657817
-5.74787394,1.94256830,0.00349474,0.49788684,0.90282309,0.58697389,0.01119200,0.64806258,0.36791429,0.18935129
-5.74187094,2.04474013,0.00381067,0.51352596,0.94262474,0.61602344,0.01213043,0.69431958,0.39355937,0.20302877
-5.73586793,2.15225531,0.00415353,0.52900093,0.98529883,0.64594723,0.01307136,0.74442343,0.42175748,0.21752559
-5.72986493,2.26430644,0.00452106,0.54431659,1.03066465,0.67647588,0.01400157,0.79790048,0.45231120,0.23275024
-5.72386193,2.38006032,0.00491066,0.55949243,1.07851456,0.70734487,0.01490724,0.85424019,0.48499437,0.24860390
-5.71785893,2.49865222,0.00531934,0.57455840,1.12860439,0.73829525,0.01577423,0.91289455,0.51954876,0.26497968
-5.71185593,2.61918091,0.00574374,0.58955007,1.18064479,0.76907405,0.01658851,0.97327856,0.55568153,0.28176216
-5.70585293,2.74070500,0.00618010,0.60450350,1.23429407,0.79943457,0.01733650,1.03477211,0.59306384,0.29882717
-5.69984992,2.86224131,0.00662427,0.61944992,1.28915323,0.82913657,0.01800543,1.09672353,0.63133080,0.31604200
-5.69384692,2.98276574,0.00707171,0.63441059,1.34476346,0.85794652,0.01858376,1.15845483,0.67008311,0.33326600
-5.68784392,3.10121701,0.00751758,0.64939202,1.40060658,0.88563792,0.01906150,1.21926882,0.70889037,0.35035164
-5.68184092,3.21650346,0.00795669,0.66438186,1.45610848,0.91199182,0.01943054,1.27845777,0.74729614,0.36714605
-5.67583792,3.32751309,0.00838368,0.67934552,1.51064557,0.93679754,0.01968483,1.33531374,0.78482473,0.38349296
-5.66983492,3.43312649,0.00879303,0.69422397,1.56355416,0.95985361,0.01982066,1.38914006,0.82098947,0.39923507
-5.66383192,3.53223260,0.00917919,0.70893252,1.61414242,0.98096911,0.01983666,1.43926379,0.85530230,0.41421672
-5.65782891,3.62374667,0.00953669,0.72336097,1.66170455,0.99996517,0.01973390,1.48504860,0.88728427,0.42828687
-5.65182591,3.70663003,0.00986024,0.73737493,1.70553659,1.01667687,0.01951580,1.52590783,0.91647672,0.44130212
-5.64582291,3.77991082,0.01014488,0.75081846,1.74495336,1.03095529,0.01918800,1.56131703,0.94245242,0.45312983
-5.63981991,3.84270512,0.01038610,0.76351776,1.77930576,1.04266984,0.01875818,1.59082565,0.96482664,0.46365114
-5.63381691,3.89423748,0.01057995,0.77528587,1.80799797,1.05171067,0.01823575,1.61406750,0.98326724,0.47276378
-5.62781391,3.93386039,0.01072315,0.78592825,1.83050369,1.05799111,0.01763162,1.63076942,0.99750380,0.48038456
-5.62181091,3.96107158,0.01081321,0.79524880,1.84638101,1.06145007,0.01695780,1.64075798,1.00733509,0.48645142
-5.61580790,3.97552889,0.01084847,0.80305630,1.85528531,1.06205427,0.01622706,1.64396398,1.01263475,0.49092508
-5.60980490,3.97706184,0.01082820,0.80917084,1.85697971,1.05980022,0.01545262,1.64042450,1.01335496,0.49379011
-5.60380190,3.96567966,0.01075259,0.81343010,1.85134289,1.05471580,0.01464778,1.63028254,1.00952790,0.49505541
-5.59779890,3.94157553,0.01062281,0.81569513,1.83837388,1.04686144,0.01382561,1.61378425,1.00126500,0.49475420
-5.59179590,3.90512677,0.01044094,0.81585552,1.81819392,1.03633077,0.01299867,1.59127394,0.98875409,0.49294344
-5.58579290,3.85689118,0.01020994,0.81383371,1.79104520,1.02325074,0.01217881,1.56318704,0.97225454,0.48970274
-5.57978989,3.79759959,0.00993363,0.80958834,1.75728682,1.00778113,0.01137696,1.53004119,0.95209060,0.48513287
-5.57378689,3.72814500,0.00961654,0.80311661,1.71738803,0.99011350,0.01060300,1.49242605,0.92864339,0.47935391
-5.56778389,3.64956870,0.00926382,0.79445553,1.67191904,0.97046962,0.00986567,1.45099185,0.90234159,0.47250302
-5.56178089,3.56304381,0.00888116,0.78368215,1.62153999,0.94909935,0.00917255,1.40643733,0.87365148,0.46473211
-5.55577789,3.46985684,0.00847461,0.77091275,1.56698812,0.92627812,0.00853000,1.35949720,0.84306654,0.45620527
-5.54977489,3.37138776,0.00805050,0.75630114,1.50906394,0.90230396,0.00794328,1.31092972,0.81109696,0.44709612
-5.54377189,3.26908918,0.00761526,0.74003619,1.44861652,0.87749426,0.00741649,1.26150445,0.77825955,0.43758521
-5.53776888,3.16446512,0.00717531,0.72233857,1.38652858,0.85218233,0.00695275,1.21199061,0.74506806,0.42785728
-5.53176588,3.05904991,0.00673698,0.70345698,1.32370163,0.82671375,0.00655421,1.16314638,0.71202458,0.41809875
-5.52576288,2.95438756,0.00630633,0.68366390,1.26104154,0.80144263,0.00622219,1.11570900,0.67961175,0.40849515
-5.51975988,2.85201205,0.00588914,0.66325102,1.19944488,0.77672789,0.00595725,1.07038625,0.64828634,0.39922871
-5.51375688,2.75342871,0.00549077,0.64252433,1.13978637,0.75292949,0.00575927,1.02784899,0.61847401,0.39047612
-5.50775388,2.66009705,0.00511614,0.62179914,1.08290735,0.73040478,0.00562760,0.98872510,0.59056538,0.38240641
-5.50175088,2.57341502,0.00476967,0.60139493,1.02960575,0.70950487,0.00556106,0.95359469,0.56491344,0.37517897
-5.49574787,2.49470489,0.00445529,0.58163015,0.98062731,0.69057116,0.00555809,0.92298645,0.54183207,0.36894185
-5.48974487,2.42520063,0.00417639,0.56281708,0.93665817,0.67393194,0.00561678,0.89737526,0.52159573,0.36383020
-5.48374187,2.36603683,0.00393589,0.54525662,0.89831878,0.65989913,0.00573495,0.87718063,0.50443999,0.35996494
-5.47773887,2.31823892,0.00373618,0.52923327,0.86615883,0.64876509,0.00591020,0.86276607,0.49056291,0.35745173
-5.47173587,2.28271456,0.00357921,0.51501020,0.84065328,0.64079953,0.00613996,0.85443902,0.48012675,0.35638004
-5.46573287,2.26024604,0.00346649,0.50282444,0.82219900,0.63624649,0.00642155,0.85245109,0.47326020,0.35682256
-5.45972986,2.25148330,0.00339913,0.49288235,0.81111209,0.63532138,0.00675215,0.85699848,0.47006045,0.35883468
-5.45372686,2.25693749,0.00337784,0.48535538,0.80762542,0.63820803,0.00712891,0.86822235,0.47059523,0.36245417
-5.44772386,2.27697479,0.00340299,0.48037618,0.81188647,0.64505578,0.00754887,0.88620877,0.47490441,0.36770102
-5.44172086,2.31181032,0.00347458,0.47803512,0.82395517,0.65597664,0.00800899,0.91098826,0.48300103,0.37457722
-5.43571786,2.36150206,0.00359223,0.47837738,0.84380165,0.67104241,0.00850614,0.94253474,0.49487174,0.38306664
-5.42971486,2.42594484,0.00375522,0.48140062,0.87130415,0.69028201,0.00903702,0.98076383,0.51047629,0.39313492
-5.42371186,2.50486450,0.00396239,0.48705341,0.90624685,0.71367881,0.00959815,1.02553052,0.52974643,0.40472918
-5.41770885,2.59781246,0.00421214,0.49523440,0.94831809,0.74116837,0.01018580,1.07662642,0.55258397,0.41777789
-5.41170585,2.70416124,0.00450239,0.50579241,0.99710903,0.77263637,0.01079588,1.13377678,0.57885826,0.43219050
-5.40570285,2.82310122,0.00483050,0.51852747,1.05211321,0.80791713,0.01142395,1.19663753,0.60840328,0.44785730
-5.39969985,2.95363957,0.00519325,0.53319290,1.11272724,0.84679266,0.01206507,1.26479282,0.64101461,0.46464926
-5.39369685,3.09460177,0.00558680,0.54949840,1.17825319,0.88899262,0.01271380,1.33775339,0.67644652,0.48241807
-5.38769385,3.24463663,0.00600665,0.56711430,1.24790287,0.93419511,0.01336416,1.41495634,0.71440965,0.50099658
-5.38169085,3.40222529,0.00644761,0.58567677,1.32080453,0.98202858,0.01400958,1.49576655,0.75456947,0.52019958
-5.37568784,3.56569489,0.00690387,0.60479415,1.39601205,1.03207492,0.01464297,1.57948027,0.79654602,0.53982509
-5.36968484,3.73323720,0.00736899,0.62405415,1.47251699,1.08387382,0.01525674,1.66533119,0.83991514,0.55965642
-5.36368184,3.90293235,0.00783600,0.64303190,1.54926333,1.13692837,0.01584291,1.75249890,0.88421140,0.57946471
-5.35767884,4.07277756,0.00829748,0.66129861,1.62516491,1.19071191,0.01639322,1.84012010,0.92893297,0.59901234
-5.35167584,4.24072024,0.00874572,0.67843074,1.69912518,1.24467592,0.01689932,1.92730203,0.97354835,0.61805693
-5.34567284,4.40469501,0.00917285,0.69401933,1.77005881,1.29825887,0.01735294,2.01313808,1.01750496,0.63635595
-5.33966983,4.56266315,0.00957105,0.70767932,1.83691453,1.35089570,0.01774615,2.09672485,1.06023934,0.65367175
-5.33366683,4.71265354,0.00993273,0.71905859,1.89869845,1.40202765,0.01807152,2.17718017,1.10118871,0.66977695
