energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.02770262,0.57340390,0.28622034,0.00066104,0.27486786,1.00579238,0.48762692,0.01198027,0.90870796
-5.99399700,2.03327797,0.57747070,0.28228622,0.00064603,0.27224789,1.02680784,0.48796323,0.01073453,0.91585620
-5.98799400,2.04219473,0.58149827,0.27834799,0.00065090,0.27033011,1.04785633,0.48950374,0.00959188,0.92377357
-5.98199100,2.05469608,0.58555342,0.27448708,0.00067503,0.26920464,1.06874930,0.49235806,0.00855618,0.93251421
-5.97598799,2.07098033,0.58970800,0.27078719,0.00071799,0.26895964,1.08932085,0.49661345,0.00762897,0.94212212
-5.96998499,2.09118461,0.59403377,0.26733078,0.00077954,0.26967827,1.10942697,0.50232919,0.00680972,0.95262408
-5.96398199,2.11537058,0.59859746,0.26419587,0.00085953,0.27143560,1.12894434,0.50953186,0.00609618,0.96402334
-5.95797899,2.14351295,0.60345622,0.26145323,0.00095793,0.27429566,1.14776894,0.51821188,0.00548458,0.97629441
-5.95197599,2.17549188,0.60865371,0.25916410,0.00107473,0.27830880,1.16581452,0.52832148,0.00497000,0.98937944
-5.94597299,2.21108969,0.61421703,0.25737867,0.00120989,0.28350935,1.18301130,0.53977432,0.00454662,1.00318647
-5.93996998,2.24999228,0.62015479,0.25613521,0.00136334,0.28991393,1.19930467,0.55244691,0.00420798,1.01758965
-5.93396698,2.29179559,0.62645617,0.25546015,0.00153484,0.29752020,1.21465431,0.56618165,0.00394723,1.03243158
-5.92796398,2.33601673,0.63309130,0.25536879,0.00172402,0.30630643,1.22903349,0.58079165,0.00375733,1.04752773
-5.92196098,2.38210974,0.64001277,0.25586694,0.00193028,0.31623166,1.24242873,0.59606698,0.00363124,1.06267285
-5.91595798,2.42948516,0.64715832,0.25695304,0.00215277,0.32723664,1.25483976,0.61178216,0.00356207,1.07764902
-5.90995498,2.47753294,0.65445452,0.25862093,0.00239039,0.33924547,1.26627988,0.62770466,0.00354319,1.09223512
-5.90395198,2.52564757,0.66182135,0.26086294,0.00264174,0.35216795,1.27677656,0.64360402,0.00356830,1.10621736
-5.89794897,2.57325461,0.66917750,0.26367326,0.00290513,0.36590246,1.28637242,0.65926110,0.00363155,1.11940029
-5.89194597,2.61983739,0.67644607,0.26705124,0.00317862,0.38033954,1.29512643,0.67447735,0.00372755,1.13161787
-5.88594297,2.66496279,0.68356050,0.27100462,0.00345997,0.39536569,1.30311535,0.68908342,0.00385140,1.14274416
-5.87993997,2.70830493,0.69047042,0.27555231,0.00374678,0.41086759,1.31043538,0.70294685,0.00399871,1.15270294
-5.87393697,2.74966560,0.69714706,0.28072665,0.00403645,0.42673642,1.31720368,0.71597863,0.00416561,1.16147585
-5.86793397,2.78899047,0.70358801,0.28657498,0.00432627,0.44287210,1.32355993,0.72813800,0.00434875,1.16910856
-5.86193097,2.82637992,0.70982101,0.29316023,0.00461351,0.45918731,1.32966747,0.73943561,0.00454526,1.17571451
-5.85592796,2.86209382,0.71590638,0.30056056,0.00489547,0.47561104,1.33571386,0.74993454,0.00475274,1.18147587
-5.84992496,2.89654953,0.72193809,0.30886793,0.00516953,0.49209157,1.34191074,0.75974922,0.00496923,1.18664145
-5.84392196,2.93031272,0.72804300,0.31818536,0.00543326,0.50859849,1.34849254,0.76904213,0.00519317,1.19152138
-5.83791896,2.96408077,0.73437840,0.32862326,0.00568445,0.52512389,1.35571388,0.77801838,0.00542332,1.19647859
-5.83191596,2.99865901,0.74112757,0.34029440,0.00592120,0.54168225,1.36384554,0.78691808,0.00565879,1.20191708
-5.82591296,3.03493002,0.74849363,0.35330814,0.00614192,0.55830920,1.37316865,0.79600697,0.00589887,1.20826741
-5.81990995,3.07381698,0.75669163,0.36776362,0.00634535,0.57505892,1.38396728,0.80556537,0.00614303,1.21596966
-5.81390695,3.11624208,0.76593922,0.38374253,0.00653061,0.59200039,1.39651930,0.81587583,0.00639082,1.22545456
-5.80790395,3.16308135,0.77644626,0.40130156,0.00669717,0.60921233,1.41108577,0.82720995,0.00664182,1.23712338
-5.80190095,3.21511780,0.78840368,0.42046479,0.00684478,0.62677723,1.42789921,0.83981491,0.00689551,1.25132748
-5.79589795,3.27299467,0.80197220,0.44121672,0.00697350,0.64477455,1.44715115,0.85390002,0.00715124,1.26834845
-5.78989495,3.33717103,0.81727141,0.46349594,0.00708360,0.66327338,1.46897947,0.86962411,0.00740813,1.28837961
-5.78389195,3.40788173,0.83436976,0.48719014,0.00717549,0.68232506,1.49345631,0.88708413,0.00766504,1.31151008
-5.77788894,3.48510405,0.85327605,0.51213269,0.00724970,0.70195585,1.52057709,0.90630561,0.00792050,1.33771208
-5.77188594,3.56853287,0.87393296,0.53810119,0.00730677,0.72216034,1.55025152,0.92723541,0.00817270,1.36683240
-5.76588294,3.65756607,0.89621297,0.56481818,0.00734721,0.74289580,1.58229709,0.94973730,0.00841946,1.39858853
-5.75987994,3.75130147,0.91991710,0.59195424,0.00737145,0.76407793,1.61643578,0.97359054,0.00865829,1.43257012
-5.75387694,3.84854614,0.94477669,0.61913355,0.00737981,0.78557822,1.65229433,0.99849186,0.00888637,1.46824564
-5.74787394,3.94783830,0.97045815,0.64594178,0.00737246,0.80722333,1.68940837,1.02406077,0.00910067,1.50497447
-5.74187094,4.04748144,0.99657077,0.67193617,0.00734943,0.82879643,1.72723053,1.04984820,0.00929802,1.54202396
-5.73586793,4.14558967,1.02267711,0.69665750,0.00731062,0.85004079,1.76514229,1.07534829,0.00947519,1.57859086
-5.72986493,4.24014279,1.04830585,0.71964347,0.00725584,0.87066533,1.80246933,1.10001286,0.00962905,1.61382633
-5.72386193,4.32904893,1.07296626,0.74044299,0.00718484,0.89035221,1.83849967,1.12326811,0.00975665,1.64686353
-5.71785893,4.41021227,1.09616394,0.75863083,0.00709735,0.90876595,1.87250402,1.14453299,0.00985543,1.67684656
-5.71185593,4.48160309,1.11741696,0.77382189,0.00699319,0.92556394,1.90375732,1.16323841,0.00992326,1.70295959
-5.70585293,4.54132704,1.13627172,0.78568454,0.00687226,0.94040781,1.93156072,1.17884662,0.00995863,1.72445480
