energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,1.76991922,1.18783353,0.34659372,0.00222479,0.23890577,0.16378367,0.04366909,0.72597429
-5.99399700,1.71080115,1.12097281,0.34059551,0.00194683,0.23101594,0.15861193,0.04334119,0.69880175
-5.98799400,1.65254967,1.05462316,0.33518159,0.00170370,0.22292148,0.15445473,0.04290093,0.67215298
-5.98199100,1.59539134,0.98927317,0.33033425,0.00149326,0.21462108,0.15132502,0.04233871,0.64619685
-5.97598799,1.53956089,0.92538421,0.32603945,0.00131337,0.20611983,0.14922711,0.04164759,0.62109824
-5.96998499,1.48529530,0.86338136,0.32228619,0.00116192,0.19742973,0.14815431,0.04082355,0.59701370
-5.96398199,1.43282707,0.80364563,0.31906532,0.00103691,0.18856985,0.14808664,0.03986577,0.57408714
-5.95797899,1.38237680,0.74650754,0.31636795,0.00093648,0.17956619,0.14898876,0.03877667,0.55244571
-5.95197599,1.33414573,0.69224241,0.31418354,0.00085894,0.17045128,0.15080836,0.03756186,0.53219602
-5.94597299,1.28830821,0.64106720,0.31249790,0.00080279,0.16126344,0.15347514,0.03623001,0.51342093
-5.93996998,1.24500490,0.59313914,0.31129105,0.00076673,0.15204588,0.15690050,0.03479250,0.49617689
-5.93396698,1.20433669,0.54855591,0.31053543,0.00074969,0.14284554,0.16097797,0.03326306,0.48049210
-5.92796398,1.16635984,0.50735742,0.31019422,0.00075083,0.13371181,0.16558463,0.03165733,0.46636546
-5.92196098,1.13108264,0.46952893,0.31022023,0.00076951,0.12469512,0.17058324,0.02999231,0.45376650
-5.91595798,1.09846366,0.43500538,0.31055523,0.00080531,0.11584562,0.17582531,0.02828582,0.44263605
-5.90995498,1.06841190,0.40367674,0.31112994,0.00085806,0.10721175,0.18115486,0.02655600,0.43288800
-5.90395198,1.04078875,0.37539413,0.31186462,0.00092775,0.09883901,0.18641279,0.02482077,0.42441178
-5.89794897,1.01541178,0.34997646,0.31267029,0.00101459,0.09076881,0.19144164,0.02309731,0.41707563
-5.89194597,0.99206022,0.32721741,0.31345052,0.00111896,0.08303757,0.19609061,0.02140174,0.41073053
-5.88594297,0.97048191,0.30689251,0.31410377,0.00124136,0.07567597,0.20022046,0.01974868,0.40521459
-5.87993997,0.95040137,0.28876603,0.31452610,0.00138244,0.06870850,0.20370826,0.01815108,0.40035779
-5.87393697,0.93152869,0.27259759,0.31461412,0.00154290,0.06215320,0.20645150,0.01661997,0.39598682
-5.86793397,0.91356883,0.25814830,0.31426816,0.00172346,0.05602168,0.20837154,0.01516443,0.39192995
-5.86193097,0.89623092,0.24518620,0.31339534,0.00192485,0.05031934,0.20941612,0.01379157,0.38802158
-5.85592796,0.87923719,0.23349107,0.31191253,0.00214767,0.04504581,0.20956080,0.01250658,0.38410649
-5.84992496,0.86233115,0.22285827,0.30974910,0.00239239,0.04019551,0.20880927,0.01131288,0.38004353
-5.84392196,0.84528485,0.21310192,0.30684919,0.00265924,0.03575839,0.20719247,0.01021228,0.37570875
-5.83791896,0.82790479,0.20405708,0.30317365,0.00294815,0.03172073,0.20476660,0.00920521,0.37099779
-5.83191596,0.81003663,0.19558120,0.29870148,0.00325866,0.02806597,0.20161006,0.00829097,0.36582766
-5.82591296,0.79156847,0.18755478,0.29343078,0.00358989,0.02477562,0.19781958,0.00746794,0.36013773
-5.81990995,0.77243282,0.17988139,0.28737921,0.00394043,0.02183010,0.19350563,0.00673392,0.35389018
-5.81390695,0.75260740,0.17248710,0.28058414,0.00430831,0.01920954,0.18878745,0.00608630,0.34706987
-5.80790395,0.73211491,0.16531947,0.27310229,0.00469098,0.01689453,0.18378791,0.00552235,0.33968376
-5.80190095,0.71102197,0.15834618,0.26500925,0.00508530,0.01486682,0.17862851,0.00503944,0.33175993
-5.79589795,0.68943758,0.15155350,0.25639863,0.00548752,0.01310991,0.17342466,0.00463524,0.32334649
