energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,2.45554096,0.02507791,0.11578323,0.90775267,0.31073620,1.50134284,0.00000000
-5.99399700,2.44990554,0.02658674,0.12313915,0.91558829,0.31597645,1.48248243,0.00000000
-5.98799400,2.44189535,0.02807125,0.13114530,0.92245715,0.32182626,1.46049919,0.00000000
-5.98199100,2.43143478,0.02950900,0.13978277,0.92825911,0.32825476,1.43535099,0.00000000
-5.97598799,2.41855526,0.03087673,0.14902804,0.93291330,0.33523571,1.40708284,0.00000000
-5.96998499,2.40337071,0.03215089,0.15885189,0.93635211,0.34274392,1.37581230,0.00000000
-5.96398199,2.38605228,0.03330825,0.16921825,0.93851598,0.35075171,1.34171450,0.00000000
-5.95797899,2.36680353,0.03432657,0.18008296,0.93934922,0.35922542,1.30500772,0.00000000
-5.95197599,2.34583745,0.03518529,0.19139267,0.93879722,0.36812217,1.26594008,0.00000000
-5.94597299,2.32335603,0.03586613,0.20308369,0.93680489,0.37738706,1.22477787,0.00000000
-5.93996998,2.29953325,0.03635379,0.21508113,0.93331648,0.38695096,1.18179590,0.00000000
-5.93396698,2.27450194,0.03663637,0.22729822,0.92827655,0.39672881,1.13727003,0.00000000
-5.92796398,2.24834475,0.03670590,0.23963598,0.92163191,0.40661877,1.09147183,0.00000000
-5.92196098,2.22108921,0.03655856,0.25198321,0.91333425,0.41650210,1.04466522,0.00000000
-5.91595798,2.19270691,0.03619486,0.26421707,0.90334328,0.42624383,0.99710488,0.00000000
-5.90995498,2.16311630,0.03561968,0.27620406,0.89163001,0.43569435,0.94903596,0.00000000
-5.90395198,2.13218883,0.03484209,0.28780171,0.87818000,0.44469172,0.90069481,0.00000000
-5.89794897,2.09975799,0.03387504,0.29886076,0.86299636,0.45306486,0.85231028,0.00000000
-5.89194597,2.06563061,0.03273499,0.30922810,0.84610239,0.46063747,0.80410513,0.00000000
-5.88594297,2.02960008,0.03144137,0.31875016,0.82754372,0.46723261,0.75629742,0.00000000
-5.87993997,1.99146075,0.03001591,0.32727701,0.80738999,0.47267781,0.70910148,0.00000000
-5.87393697,1.95102323,0.02848206,0.33466685,0.78573603,0.47681075,0.66272835,0.00000000
-5.86793397,1.90812990,0.02686420,0.34079082,0.76270269,0.47948504,0.61738569,0.00000000
-5.86193097,1.86267029,0.02518701,0.34553813,0.73843729,0.48057619,0.57327710,0.00000000
-5.85592796,1.81459573,0.02347478,0.34882104,0.71311381,0.47998750,0.53060094,0.00000000
-5.84992496,1.76393287,0.02175083,0.35057980,0.68693294,0.47765550,0.48954886,0.00000000
-5.84392196,1.71079555,0.02003694,0.35078708,0.66012188,0.47355491,0.45030406,0.00000000
