energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,3.23972842,-1.83268479,2.90921833,-1.43964323,0.68741798,-0.40647837,0.01379257,-0.00560089,0.41401939,-0.33767313,0.02302514,-0.00589333,1.57491739,-0.83051010,0.77628623,-0.42218539,0.17781136,-0.06914356
-5.99399700,3.26172578,-1.88035800,2.89067199,-1.52514348,0.69424981,-0.40102401,0.01459504,-0.00591019,0.42061269,-0.33562885,0.02412131,-0.00638588,1.58293877,-0.86730955,0.77451141,-0.43979603,0.18210183,-0.07331854
-5.98799400,3.28524125,-1.94205102,2.87084408,-1.62178240,0.70298689,-0.39879455,0.01537067,-0.00625632,0.42914791,-0.33661019,0.02518721,-0.00698067,1.58962653,-0.91002941,0.77210948,-0.46016313,0.18619294,-0.07805123
-5.98199100,3.31031168,-2.01765616,2.85053456,-1.72919801,0.71360130,-0.39990272,0.01610772,-0.00663660,0.43967001,-0.34074171,0.02620713,-0.00767954,1.59495470,-0.95844788,0.76915420,-0.48313100,0.19004086,-0.08332991
-5.97598799,3.33683166,-2.10670277,2.83044216,-1.84674381,0.72600941,-0.40436822,0.01679455,-0.00704767,0.45218169,-0.34806439,0.02716509,-0.00848312,1.59885760,-1.01219731,0.76569643,-0.50847212,0.19359957,-0.08913149
-5.96998499,3.36455811,-2.20836431,2.81114696,-1.97349141,0.74007477,-0.41211812,0.01741985,-0.00748563,0.46664404,-0.35853378,0.02804523,-0.00939065,1.60123165,-1.07077086,0.76176300,-0.53589268,0.19682191,-0.09542178
-5.96398199,3.39312119,-2.32147523,2.79309883,-2.10824076,0.75561284,-0.42298956,0.01797299,-0.00794610,0.48297860,-0.37202010,0.02883224,-0.01039977,1.60193950,-1.13353326,0.75735688,-0.56504017,0.19966083,-0.10215600
-5.95797899,3.42204086,-2.44455695,2.77661181,-2.24953786,0.77239751,-0.43673492,0.01844427,-0.00842439,0.50107047,-0.38831042,0.02951173,-0.01150641,1.60081644,-1.19973529,0.75245883,-0.59551271,0.20207074,-0.10927962
-5.95197599,3.45074814,-2.57585209,2.76186442,-2.39569978,0.79016888,-0.45302900,0.01882518,-0.00891558,0.52077251,-0.40711276,0.03007072,-0.01270465,1.59767874,-1.26853162,0.74703017,-0.62686990,0.20400896,-0.11672942
-5.94597299,3.47860994,-2.71336605,2.74890553,-2.54484642,0.80864214,-0.47147819,0.01910866,-0.00941467,0.54191014,-0.42806228,0.03049796,-0.01398663,1.59233329,-1.33900118,0.74101663,-0.65864464,0.20543710,-0.12443466
-5.93996998,3.50495589,-2.85491465,2.73766502,-2.69493854,0.82751694,-0.49163128,0.01928928,-0.00991662,0.56428663,-0.45072922,0.03078429,-0.01534249,1.58458824,-1.41016955,0.73435302,-0.69035567,0.20632243,-0.13231855
-5.93396698,3.52910574,-2.99817657,2.72796828,-2.84382107,0.84648685,-0.51299172,0.01936339,-0.01041653,0.58768834,-0.47462874,0.03092295,-0.01676047,1.57426385,-1.48103255,0.72696837,-0.72152025,0.20663906,-0.14029975
-5.92796398,3.55039556,-3.14074925,2.71955345,-2.98927085,0.86524831,-0.53503096,0.01932919,-0.01090962,0.61188985,-0.49923244,0.03090977,-0.01822687,1.56120303,-1.55058032,0.71879126,-0.75166666,0.20636901,-0.14829393
-5.92196098,3.56820145,-3.28020666,2.71208999,-3.12904751,0.88350873,-0.55720264,0.01918684,-0.01139134,0.63665836,-0.52398133,0.03074330,-0.01972626,1.54528097,-1.61782099,0.70975502,-0.78034599,0.20550288,-0.15621544
-5.91595798,3.58195914,-3.41415737,2.70519751,-3.26094632,0.90099325,-0.57895718,0.01893836,-0.01185739,0.66175730,-0.54830002,0.03042488,-0.02124164,1.52641320,-1.68180340,0.69980258,-0.80714290,0.20404036,-0.16397882
-5.90995498,3.59117872,-3.54030160,2.69846356,-3.38285129,0.91744979,-0.59975650,0.01858762,-0.01230373,0.68694899,-0.57161192,0.02995859,-0.02275472,1.50456184,-1.74163796,0.68889054,-0.83168498,0.20199031,-0.17150039
-5.90395198,3.59545368,-3.65648532,2.69145943,-3.49278733,0.93265236,-0.61908842,0.01814020,-0.01272658,0.71199612,-0.59335491,0.02935110,-0.02424617,1.47973956,-1.79651519,0.67699236,-0.85365042,0.19937057,-0.17869967
