energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.19725685,-3.33767232,1.60171832,-4.77375897,0.80743831,-0.73113886,0.00267364,-0.00657337,0.61428466,-0.90677660,0.36600222,-0.60712254,0.09580078,-0.11140987,0.00718780,-0.01546701,0.70008752,-1.28590371
-5.99399700,2.12086931,-3.26172310,1.53943196,-4.65089231,0.77793430,-0.72833358,0.00281087,-0.00599656,0.59014760,-0.89956502,0.35570262,-0.58303252,0.09290993,-0.10678025,0.00708946,-0.01468954,0.67949613,-1.23995777
-5.98799400,2.03969795,-3.17185307,1.47665419,-4.50444347,0.74566679,-0.72176140,0.00298252,-0.00545497,0.56398773,-0.88719546,0.34482790,-0.55738147,0.08996910,-0.10200154,0.00701158,-0.01391185,0.65833332,-1.19024976
-5.98199100,1.95528253,-3.06948247,1.41425103,-4.33699652,0.71125476,-0.71155378,0.00319224,-0.00495016,0.53632063,-0.86990562,0.33354237,-0.53055156,0.08704459,-0.09715028,0.00696319,-0.01313569,0.63699139,-1.13752233
-5.97598799,1.86929956,-2.95634027,1.35319221,-4.15150380,0.67536313,-0.69794411,0.00344402,-0.00448338,0.50769170,-0.84804417,0.32204055,-0.50295845,0.08420821,-0.09230800,0.00695445,-0.01236361,0.61591590,-1.08260164
-5.96998499,1.78350357,-2.83441873,1.29450864,-3.95119868,0.63868102,-0.68126196,0.00374206,-0.00405569,0.47865835,-0.82206083,0.31053879,-0.47504165,0.08153489,-0.08755945,0.00699642,-0.01159897,0.59558844,-1.02637664
-5.96398199,1.69966742,-2.70592095,1.23924863,-3.73950289,0.60190019,-0.66192429,0.00409063,-0.00366797,0.44977248,-0.79249369,0.29926613,-0.44725423,0.07910012,-0.08299068,0.00710080,-0.01084579,0.57650834,-0.96977672
-5.95797899,1.61952382,-2.57320309,1.18843440,-3.51993202,0.56569428,-0.64042398,0.00449388,-0.00332096,0.42156387,-0.75995411,0.28845510,-0.42005241,0.07697749,-0.07868713,0.00727961,-0.01010871,0.55917398,-0.91374873
-5.95197599,1.54470983,-2.43871379,1.14302053,-3.29600302,0.53069953,-0.61731618,0.00495567,-0.00301534,0.39452510,-0.72510989,0.27833248,-0.39388538,0.07523617,-0.07473181,0.00754483,-0.00939280,0.54406440,-0.85923422
-5.94597299,1.47671629,-2.30493272,1.10385561,-3.07114678,0.49749760,-0.59320286,0.00547932,-0.00275168,0.36909827,-0.68866719,0.26911059,-0.36918572,0.07393865,-0.07120349,0.00790803,-0.00870342,0.53162165,-0.80714763
-5.93996998,1.41684318,-2.17431041,1.07164845,-2.84862877,0.46660090,-0.56871617,0.00606748,-0.00253053,0.34566404,-0.65135183,0.26097936,-0.34636061,0.07313852,-0.06817518,0.00838000,-0.00804605,0.52223461,-0.75835636
-5.93396698,1.36616240,-2.04921106,1.04693961,-2.63148008,0.43844074,-0.54450103,0.00672186,-0.00235241,0.32453305,-0.61389061,0.25409931,-0.32578417,0.07287869,-0.06571272,0.00897034,-0.00742615,0.51622458,-0.71366295
