energy_ev,total_up,Ge_p_up,Ge_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,1.92728328,0.36103870,0.00000000,0.96734037,0.37791202,0.29365146,0.00000000
-5.99399700,1.84669697,0.34538156,0.00000000,0.92716626,0.36190438,0.28527885,0.00000000
-5.98799400,1.76464474,0.33002301,0.00000000,0.88875740,0.34548952,0.27688392,0.00000000
-5.98199100,1.68245441,0.31523559,0.00000000,0.85262669,0.32890931,0.26858000,0.00000000
-5.97598799,1.60139526,0.30126767,0.00000000,0.81921528,0.31239691,0.26047572,0.00000000
-5.96998499,1.52265546,0.28833929,0.00000000,0.78889064,0.29617273,0.25267474,0.00000000
-5.96398199,1.44732306,0.27663908,0.00000000,0.76194672,0.28044100,0.24527559,0.00000000
-5.95797899,1.37637077,0.26632247,0.00000000,0.73860613,0.26538679,0.23837144,0.00000000
-5.95197599,1.31064450,0.25751085,0.00000000,0.71902390,0.25117367,0.23204980,0.00000000
-5.94597299,1.25085574,0.25029200,0.00000000,0.70329262,0.23794196,0.22639219,0.00000000
-5.93996998,1.19757735,0.24472124,0.00000000,0.69144841,0.22580753,0.22147362,0.00000000
-5.93396698,1.15124264,0.24082346,0.00000000,0.68347751,0.21486113,0.21736204,0.00000000
-5.92796398,1.11214717,0.23859573,0.00000000,0.67932302,0.20516825,0.21411764,0.00000000
-5.92196098,1.08045292,0.23801012,0.00000000,0.67889134,0.19676939,0.21179202,0.00000000
-5.91595798,1.05619410,0.23901681,0.00000000,0.68205816,0.18968076,0.21042736,0.00000000
-5.90995498,1.03928434,0.24154704,0.00000000,0.68867342,0.18389533,0.21005537,0.00000000
-5.90395198,1.02952458,0.24551586,0.00000000,0.69856515,0.17938412,0.21069621,0.00000000
-5.89794897,1.02661132,0.25082441,0.00000000,0.71154187,0.17609775,0.21235735,0.00000000
-5.89194597,1.03014490,0.25736178,0.00000000,0.72739360,0.17396818,0.21503234,0.00000000
-5.88594297,1.03963760,0.26500630,0.00000000,0.74589130,0.17291048,0.21869957,0.00000000
-5.87993997,1.05452146,0.27362624,0.00000000,0.76678498,0.17282482,0.22332101,0.00000000
-5.87393697,1.07415585,0.28308017,0.00000000,0.78980079,0.17359845,0.22884114,0.00000000
-5.86793397,1.09783499,0.29321684,0.00000000,0.81463728,0.17510770,0.23518589,0.00000000
-5.86193097,1.12479560,0.30387496,0.00000000,0.84096148,0.17722017,0.24226198,0.00000000
-5.85592796,1.15422511,0.31488294,0.00000000,0.86840527,0.17979676,0.24995657,0.00000000
-5.84992496,1.18527064,0.32605891,0.00000000,0.89656267,0.18269397,0.25813746,0.00000000
-5.84392196,1.21704919,0.33721108,0.00000000,0.92498855,0.18576612,0.26665381,0.00000000
-5.83791896,1.24865928,0.34813879,0.00000000,0.95319946,0.18886770,0.27533769,0.00000000
-5.83191596,1.27919427,0.35863424,0.00000000,0.98067694,0.19185582,0.28400633,0.00000000
-5.82591296,1.30775730,0.36848518,0.00000000,1.00687357,0.19459262,0.29246524,0.00000000
-5.81990995,1.33347790,0.37747837,0.00000000,1.03122200,0.19694791,0.30051215,0.00000000
-5.81390695,1.35552990,0.38540396,0.00000000,1.05314691,0.19880155,0.30794169,0.00000000
-5.80790395,1.37315018,0.39206062,0.00000000,1.07207948,0.20004603,0.31455079,0.00000000
-5.80190095,1.38565782,0.39726118,0.00000000,1.08747407,0.20058877,0.32014447,0.00000000
-5.79589795,1.39247276,0.40083867,0.00000000,1.09882634,0.20035429,0.32454201,0.00000000
-5.78989495,1.39313335,0.40265231,0.00000000,1.10569205,0.19928610,0.32758309,0.00000000
-5.78389195,1.38731185,0.40259339,0.00000000,1.10770560,0.19734825,0.32913377,0.00000000
-5.77788894,1.37482728,0.40059045,0.00000000,1.10459747,0.19452644,0.32909185,0.00000000
-5.77188594,1.35565476,0.39661368,0.00000000,1.09620946,0.19082867,0.32739159,0.00000000
-5.76588294,1.32993093,0.39067822,0.00000000,1.08250708,0.18628535,0.32400729,0.00000000
-5.75987994,1.29795497,0.38284612,0.00000000,1.06358830,0.18094892,0.31895582,0.00000000
-5.75387694,1.26018521,0.37322685,0.00000000,1.03968816,0.17489283,0.31229773,0.00000000
-5.74787394,1.21723123,0.36197631,0.00000000,1.01117894,0.16821012,0.30413695,0.00000000
-5.74187094,1.16984183,0.34929436,0.00000000,0.97856589,0.16101148,0.29461921,0.00000000
-5.73586793,1.11888937,0.33542097,0.00000000,0.94247865,0.15342292,0.28392906,0.00000000
-5.72986493,1.06535102,0.32063104,0.00000000,0.90365869,0.14558320,0.27228573,0.00000000
-5.72386193,1.01028778,0.30522831,0.00000000,0.86294350,0.13764100,0.25993805,0.00000000
-5.71785893,0.95482201,0.28953841,0.00000000,0.82124795,0.12975200,0.24715859,0.00000000
-5.71185593,0.90011444,0.27390148,0.00000000,0.77954397,0.12207601,0.23423730,0.00000000
-5.70585293,0.84734130,0.25866442,0.00000000,0.73883889,0.11477419,0.22147487,0.00000000
-5.69984992,0.79767244,0.24417336,0.00000000,0.70015371,0.10800635,0.20917620,0.00000000
-5.69384692,0.75225080,0.23076618,0.00000000,0.66450159,0.10192859,0.19764394,0.00000000
-5.68784392,0.71217390,0.21876567,0.00000000,0.63286739,0.09669112,0.18717258,0.00000000
-5.68184092,0.67847740,0.20847314,0.00000000,0.60618865,0.09243640,0.17804301,0.00000000
-5.67583792,0.65212085,0.20016280,0.00000000,0.58533832,0.08929748,0.17051768,0.00000000
-5.66983492,0.63397561,0.19407686,0.00000000,0.57110944,0.08739659,0.16483653,0.00000000
-5.66383192,0.62481463,0.19042142,0.00000000,0.56420179,0.08684394,0.16121348,0.00000000
-5.65782891,0.62530385,0.18936306,0.00000000,0.56521045,0.08773659,0.15983364,0.00000000
-5.65182591,0.63599478,0.19102622,0.00000000,0.57461616,0.09015740,0.16085092,0.00000000
-5.64582291,0.65731797,0.19549117,0.00000000,0.59277727,0.09417397,0.16438629,0.00000000
-5.63981991,0.68957695,0.20279263,0.00000000,0.61992312,0.09983761,0.17052623,0.00000000
-5.63381691,0.73294233,0.21291892,0.00000000,0.65614869,0.10718205,0.17932151,0.00000000
-5.62781391,0.78744600,0.22581176,0.00000000,0.70141041,0.11622225,0.19078621,0.00000000
-5.62181091,0.85297523,0.24136642,0.00000000,0.75552302,0.12695297,0.20489680,0.00000000
