energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.03877573,0.56801338,0.37815370,0.00405236,0.20043421,0.50934519,0.35135285,0.02609136,1.14184448
-5.99399700,2.07617343,0.58497348,0.37847555,0.00390979,0.20906951,0.52491166,0.35581562,0.02524457,1.16604829
-5.98799400,2.11036065,0.60106710,0.37811202,0.00374882,0.21710253,0.53967227,0.35984965,0.02435296,1.18854286
-5.98199100,2.14078121,0.61599226,0.37705073,0.00357285,0.22438970,0.55329045,0.36339682,0.02343651,1.20899081
-5.97598799,2.16691054,0.62945817,0.37528556,0.00338548,0.23079813,0.56544131,0.36640180,0.02251506,1.22707173
-5.96998499,2.18827352,0.64119422,0.37281798,0.00319049,0.23620914,0.57582067,0.36881467,0.02160782,1.24249268
-5.96398199,2.20446160,0.65095870,0.36965825,0.00299166,0.24052136,0.58415377,0.37059342,0.02073280,1.25499828
-5.95797899,2.21514839,0.65854668,0.36582641,0.00279276,0.24365329,0.59020310,0.37170638,0.01990637,1.26438004
-5.95197599,2.22010318,0.66379682,0.36135307,0.00259742,0.24554537,0.59377541,0.37213436,0.01914283,1.27048434
-5.94597299,2.21920162,0.66659686,0.35627981,0.00240912,0.24616129,0.59472736,0.37187238,0.01845402,1.27321892
-5.93996998,2.21243312,0.66688749,0.35065929,0.00223107,0.24548872,0.59296973,0.37093095,0.01784905,1.27255736
-5.93396698,2.19990456,0.66466454,0.34455485,0.00206622,0.24353921,0.58847007,0.36933675,0.01733409,1.26854145
-5.92796398,2.18184003,0.65997936,0.33803984,0.00191721,0.24034751,0.58125359,0.36713281,0.01691225,1.26128130
-5.92196098,2.15857664,0.65293726,0.33119638,0.00178635,0.23597011,0.57140229,0.36437797,0.01658356,1.25095300
-5.91595798,2.13055636,0.64369430,0.32411385,0.00167562,0.23048332,0.55905237,0.36114574,0.01634507,1.23779411
-5.90995498,2.09831427,0.63245238,0.31688701,0.00158669,0.22398075,0.54439000,0.35752268,0.01619096,1.22209694
-5.90395198,2.06246357,0.61945282,0.30961383,0.00152088,0.21657043,0.52764556,0.35360614,0.01611285,1.20419990
-5.89794897,2.02367796,0.60496885,0.30239307,0.00147920,0.20837162,0.50908665,0.34950160,0.01610011,1.18447738
-5.89194597,1.98267198,0.58929701,0.29532187,0.00146233,0.19951148,0.48901010,0.34531972,0.01614023,1.16332828
-5.88594297,1.94018017,0.57274815,0.28849314,0.00147067,0.19012172,0.46773319,0.34117313,0.01621934,1.14116393
-5.87993997,1.89693575,0.55563798,0.28199316,0.00150429,0.18033524,0.44558460,0.33717310,0.01632264,1.11839560
-5.87393697,1.85364966,0.53827785,0.27589926,0.00156296,0.17028307,0.42289528,0.33342627,0.01643493,1.09542229
-5.86793397,1.81099080,0.52096586,0.27027777,0.00164614,0.16009147,0.39998962,0.33003159,0.01654114,1.07261907
-5.86193097,1.76956812,0.50397873,0.26518231,0.00175298,0.14987949,0.37717727,0.32707744,0.01662682,1.05032658
-5.85592796,1.72991536,0.48756465,0.26065246,0.00188228,0.13975687,0.35474585,0.32463926,0.01667859,1.02884198
-5.84992496,1.69247877,0.47193743,0.25671293,0.00203252,0.12982241,0.33295485,0.32277761,0.01668455,1.00841172
-5.84392196,1.65760856,0.45727194,0.25337317,0.00220181,0.12016282,0.31203088,0.32153689,0.01663466,0.98922634
-5.83791896,1.62555404,0.44370119,0.25062759,0.00238791,0.11085197,0.29216429,0.32094464,0.01652099,0.97141753
-5.83191596,1.59646283,0.43131499,0.24845623,0.00258823,0.10195069,0.27350745,0.32101166,0.01633787,0.95505756
-5.82591296,1.57038402,0.42016016,0.24682600,0.00279986,0.09350683,0.25617440,0.32173270,0.01608205,0.94016098
-5.81990995,1.54727512,0.41024236,0.24569240,0.00301953,0.08555578,0.24024204,0.32308796,0.01575269,0.92668857
-5.81390695,1.52701244,0.40152922,0.24500166,0.00324372,0.07812125,0.22575251,0.32504521,0.01535124,0.91455338
-5.80790395,1.50940452,0.39395489,0.24469322,0.00346865,0.07121628,0.21271675,0.32756241,0.01488135,0.90362852
