energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,2.85410675,0.38759235,1.49781328,0.00185435,0.08225352,0.18761397,1.04434032,0.00432185,0.21632598
-5.99399700,2.86931173,0.39709801,1.53514842,0.00169751,0.07977152,0.18090689,1.02237057,0.00404175,0.21709436
-5.98799400,2.88633602,0.40761132,1.57275709,0.00155378,0.07770903,0.17518002,1.00084250,0.00383487,0.21843552
-5.98199100,2.90441078,0.41904580,1.60989607,0.00142222,0.07603045,0.17044060,0.97979637,0.00369899,0.22030328
-5.97598799,2.92278875,0.43129955,1.64585735,0.00130196,0.07469989,0.16668653,0.95926164,0.00363164,0.22264657
-5.96998499,2.94076722,0.44425606,1.67998813,0.00119229,0.07368258,0.16390740,0.93925845,0.00363006,0.22541088
-5.96398199,2.95770889,0.45778514,1.71170858,0.00109260,0.07294617,0.16208577,0.91979942,0.00369128,0.22853970
-5.95797899,2.97305978,0.47174413,1.74052692,0.00100242,0.07246185,0.16119850,0.90089143,0.00381205,0.23197581
-5.95197599,2.98636384,0.48597928,1.76605144,0.00092143,0.07220531,0.16121804,0.88253746,0.00398888,0.23566237
-5.94597299,2.99727391,0.50032762,1.78799909,0.00084941,0.07215739,0.16211365,0.86473844,0.00421799,0.23954396
-5.93996998,3.00555866,0.51461922,1.80620052,0.00078630,0.07230453,0.16385240,0.84749481,0.00449530,0.24356739
-5.93396698,3.01110559,0.52867984,1.82060143,0.00073211,0.07263894,0.16639995,0.83080799,0.00481644,0.24768243
-5.92796398,3.01391983,0.54233404,1.83126037,0.00068697,0.07315846,0.16972099,0.81468148,0.00517667,0.25184233
-5.92196098,3.01411914,0.55540874,1.83834298,0.00065109,0.07386616,0.17377943,0.79912159,0.00557095,0.25600428
-5.91595798,3.01192526,0.56773693,1.84211316,0.00062476,0.07476974,0.17853831,0.78413795,0.00599388,0.26012972
-5.90995498,3.00765199,0.57916170,1.84292134,0.00060834,0.07588057,0.18395937,0.76974348,0.00643978,0.26418458
-5.90395198,3.00169068,0.58954012,1.84119056,0.00060226,0.07721273,0.19000247,0.75595419,0.00690269,0.26813940
-5.89794897,2.99449362,0.59874710,1.83740068,0.00060701,0.07878168,0.19662484,0.74278867,0.00737646,0.27196943
-5.89194597,2.98655615,0.60667884,1.83207161,0.00062311,0.08060302,0.20378028,0.73026734,0.00785479,0.27565464
-5.88594297,2.97839827,0.61325579,1.82574594,0.00065115,0.08269107,0.21141830,0.71841170,0.00833136,0.27917971
-5.87993997,2.97054644,0.61842500,1.81897189,0.00069173,0.08505752,0.21948347,0.70724357,0.00879993,0.28253401
-5.87393697,2.96351645,0.62216164,1.81228705,0.00074549,0.08771016,0.22791482,0.69678442,0.00925444,0.28571151
-5.86793397,2.95779798,0.62446975,1.80620358,0.00081306,0.09065171,0.23664559,0.68705490,0.00968917,0.28871078
-5.86193097,2.95384151,0.62538206,1.80119530,0.00089507,0.09387888,0.24560317,0.67807470,0.01009888,0.29153490
-5.85592796,2.95204795,0.62495905,1.79768714,0.00099210,0.09738167,0.25470945,0.66986265,0.01047890,0.29419141
-5.84992496,2.95276138,0.62328708,1.79604712,0.00110466,0.10114293,0.26388147,0.66243716,0.01082527,0.29669229
-5.84392196,2.95626489,0.62047600,1.79658111,0.00123317,0.10513837,0.27303236,0.65581693,0.01113487,0.29905384
-5.83791896,2.96277951,0.61665600,1.79953011,0.00137790,0.10933677,0.28207262,0.65002189,0.01140548,0.30129663
-5.83191596,2.97246589,0.61197421,1.80507018,0.00153895,0.11370064,0.29091164,0.64507423,0.01163584,0.30344534
