energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.58788756,1.10547510,1.70818964,0.00242615,0.05941854,0.45919865,0.00000000,0.29558526,0.23814026
-5.99399700,2.55597370,1.07476290,1.67008636,0.00245600,0.05960644,0.46769355,0.00000000,0.29075726,0.24030159
-5.98799400,2.52900354,1.04570196,1.63718923,0.00247942,0.05982518,0.47550488,0.00000000,0.28650944,0.24281734
-5.98199100,2.50701427,1.01835685,1.60961493,0.00249580,0.06007395,0.48247380,0.00000000,0.28289886,0.24571473
-5.97598799,2.48997032,0.99274313,1.58740088,0.00250464,0.06035278,0.48845562,0.00000000,0.27997117,0.24902259
-5.96998499,2.47777764,0.96883771,1.57051022,0.00250562,0.06066333,0.49332751,0.00000000,0.27776212,0.25277200
-5.96398199,2.47029856,0.94659057,1.55883820,0.00249858,0.06100942,0.49699553,0.00000000,0.27629918,0.25699644
-5.95797899,2.46736572,0.92593705,1.55221921,0.00248355,0.06139761,0.49940068,0.00000000,0.27560283,0.26173144
-5.95197599,2.46879404,0.90680972,1.55043405,0.00246073,0.06183751,0.50052360,0.00000000,0.27568758,0.26701346
-5.94597299,2.47438988,0.88914909,1.55321704,0.00243050,0.06234187,0.50038735,0.00000000,0.27656253,0.27287814
-5.93996998,2.48395677,0.87291250,1.56026260,0.00239340,0.06292650,0.49905846,0.00000000,0.27823123,0.27935781
-5.93396698,2.49729764,0.85808066,1.57123136,0.00235008,0.06360991,0.49664577,0.00000000,0.28069110,0.28647849
-5.92796398,2.51421358,0.84466146,1.58575559,0.00230130,0.06441268,0.49329730,0.00000000,0.28393221,0.29425636
-5.92196098,2.53449971,0.83269104,1.60344428,0.00224789,0.06535666,0.48919521,0.00000000,0.28793560,0.30269407
-5.91595798,2.55793868,0.82223210,1.62388775,0.00219071,0.06646396,0.48454907,0.00000000,0.29267137,0.31177703
-5.90995498,2.58429290,0.81336961,1.64666228,0.00213058,0.06775580,0.47958782,0.00000000,0.29809662,0.32146998
-5.90395198,2.61329623,0.80620441,1.67133471,0.00206830,0.06925125,0.47455079,0.00000000,0.30415349,0.33171411
-5.89794897,2.64464628,0.80084517,1.69746721,0.00200461,0.07096604,0.46967822,0.00000000,0.31076756,0.34242500
-5.89194597,2.67799800,0.79739913,1.72462234,0.00194013,0.07291128,0.46520176,0.00000000,0.31784678,0.35349156
-5.88594297,2.71295941,0.79596231,1.75236831,0.00187538,0.07509241,0.46133541,0.00000000,0.32528109,0.36477626
-5.87993997,2.74908996,0.79660983,1.78028434,0.00181075,0.07750825,0.45826732,0.00000000,0.33294296,0.37611656
-5.87393697,2.78590173,0.79938672,1.80796590,0.00174651,0.08015026,0.45615277,0.00000000,0.34068882,0.38732775
-5.86793397,2.82286354,0.80429984,1.83502975,0.00168281,0.08300209,0.45510867,0.00000000,0.34836144,0.39820709
-5.86193097,2.85940782,0.81131129,1.86111824,0.00161970,0.08603941,0.45520977,0.00000000,0.35579325,0.40853905
-5.85592796,2.89493992,0.82033364,1.88590294,0.00155713,0.08922998,0.45648673,0.00000000,0.36281046,0.41810160
-5.84992496,2.92884918,0.83122714,1.90908711,0.00149500,0.09253411,0.45892596,0.00000000,0.36923781,0.42667308
-5.84392196,2.96052137,0.84379915,1.93040710,0.00143315,0.09590532,0.46247132,0.00000000,0.37490370,0.43403956
-5.83791896,2.98935177,0.85780571,1.94963247,0.00137143,0.09929135,0.46702737,0.00000000,0.37964559,0.44000210
-5.83191596,3.01475831,0.87295520,1.96656502,0.00130966,0.10263527,0.47246416,0.00000000,0.38331521,0.44438385
-5.82591296,3.03619417,0.88891411,1.98103682,0.00124772,0.10587696,0.47862302,0.00000000,0.38578353,0.44703635
-5.81990995,3.05315954,0.90531440,1.99290755,0.00118552,0.10895457,0.48532337,0.00000000,0.38694503,0.44784498
-5.81390695,3.06521190,0.92176252,2.00206135,0.00112302,0.11180614,0.49236990,0.00000000,0.38672132,0.44673311
-5.80790395,3.07197491,0.93784951,2.00840371,0.00106026,0.11437125,0.49956008,0.00000000,0.38506362,0.44366496
-5.80190095,3.07314537,0.95316191,2.01185854,0.00099734,0.11659266,0.50669146,0.00000000,0.38195433,0.43864683
-5.79589795,3.06849852,0.96729311,2.01236583,0.00093443,0.11841783,0.51356856,0.00000000,0.37740734,0.43172686
-5.78989495,3.05789141,0.97985466,2.00988004,0.00087177,0.11980039,0.52000910,0.00000000,0.37146726,0.42299321
-5.78389195,3.04126442,0.99048712,2.00436944,0.00080963,0.12070135,0.52584925,0.00000000,0.36420758,0.41257095
-5.77788894,3.01864098,0.99887010,1.99581624,0.00074834,0.12109019,0.53094789,0.00000000,0.35572782,0.40061759
-5.77188594,2.99012561,1.00473100,1.98421764,0.00068825,0.12094565,0.53518949,0.00000000,0.34614993,0.38731770
-5.76588294,2.95590011,1.00785219,1.96958733,0.00062972,0.12025625,0.53848592,0.00000000,0.33561395,0.37287680
-5.75987994,2.91621818,1.00807623,1.95195738,0.00057310,0.11902062,0.54077679,0.00000000,0.32427340,0.35751475
-5.75387694,2.87139848,1.00530908,1.93138013,0.00051872,0.11724738,0.54202870,0.00000000,0.31229026,0.34145902
-5.74787394,2.82181619,0.99952101,1.90792968,0.00046690,0.11495490,0.54223332,0.00000000,0.29983009,0.32493812
-5.74187094,2.76789329,0.99074519,1.88170285,0.00041791,0.11217067,0.54140452,0.00000000,0.28705728,0.30817531
-5.73586793,2.71008789,0.97907425,1.85281921,0.00037197,0.10893046,0.53957476,0.00000000,0.27413063,0.29138302
-5.72986493,2.64888266,0.96465468,1.82142024,0.00032926,0.10527731,0.53679095,0.00000000,0.26119947,0.27475800
-5.72386193,2.58477303,0.94767963,1.78766733,0.00028991,0.10126023,0.53311002,0.00000000,0.24840040,0.25847742
-5.71785893,2.51825542,0.92838029,1.75173902,0.00025398,0.09693289,0.52859453,0.00000000,0.23585467,0.24269594
-5.71185593,2.44981606,0.90701642,1.71382739,0.00022151,0.09235213,0.52330844,0.00000000,0.22366638,0.22754390
-5.70585293,2.37992089,0.88386641,1.67413410,0.00019249,0.08757653,0.51731340,0.00000000,0.21192137,0.21312647
-5.69984992,2.30900708,0.85921741,1.63286624,0.00016687,0.08266490,0.51066571,0.00000000,0.20068685,0.19952381
-5.69384692,2.23747657,0.83335597,1.59023252,0.00014458,0.07767492,0.50341410,0.00000000,0.19001175,0.18679222
-5.68784392,2.16569200,0.80655974,1.54644004,0.00012552,0.07266188,0.49559846,0.00000000,0.17992762,0.17496588
-5.68184092,2.09397530,0.77909033,1.50169198,0.00010961,0.06767758,0.48724954,0.00000000,0.17045011,0.16405949
-5.67583792,2.02260907,0.75118799,1.45618648,0.00009674,0.06276938,0.47838963,0.00000000,0.16158087,0.15407119
-5.66983492,1.95184053,0.72306783,1.41011684,0.00008681,0.05797953,0.46903421,0.00000000,0.15330976,0.14498593
-5.66383192,1.88188804,0.69491804,1.36367296,0.00007975,0.05334464,0.45919429,0.00000000,0.14561727,0.13677905
-5.65782891,1.81294954,0.66689979,1.31704403,0.00007550,0.04889545,0.44887948,0.00000000,0.13847709,0.12941981
-5.65182591,1.74521256,0.63914876,1.27042223,0.00007401,0.04465676,0.43810141,0.00000000,0.13185859,0.12287484
-5.64582291,1.67886510,0.61177801,1.22400704,0.00007527,0.04064757,0.42687734,0.00000000,0.12572932,0.11711136
-5.63981991,1.61410656,0.58488191,1.17800985,0.00007930,0.03688139,0.41523371,0.00000000,0.12005724,0.11210005
-5.63381691,1.55115815,0.55854071,1.13265841,0.00008613,0.03336676,0.40320945,0.00000000,0.11481270,0.10781743
-5.62781391,1.49027193,0.53282546,1.08820069,0.00009584,0.03010774,0.39085866,0.00000000,0.10997016,0.10424774
-5.62181091,1.43173783,0.50780278,1.04490773,0.00010850,0.02710467,0.37825271,0.00000000,0.10550950,0.10138431
-5.61580790,1.37588823,0.48353923,1.00307514,0.00012423,0.02435484,0.36548133,0.00000000,0.10141693,0.09923021
-5.60980490,1.32309958,0.46010499,0.96302289,0.00014314,0.02185320,0.35265287,0.00000000,0.09768553,0.09779847
-5.60380190,1.27379084,0.43757656,0.92509345,0.00016536,0.01959315,0.33989343,0.00000000,0.09431537,0.09711152
-5.59779890,1.22841881,0.41603838,0.88964794,0.00019101,0.01756721,0.32734504,0.00000000,0.09131323,0.09720028
-5.59179590,1.18747041,0.39558331,0.85706067,0.00022020,0.01576765,0.31516286,0.00000000,0.08869199,0.09810261
-5.58579290,1.15145218,0.37631197,0.82771194,0.00025303,0.01418711,0.30351150,0.00000000,0.08646969,0.09986141
-5.57978989,1.12087766,0.35833103,0.80197977,0.00028956,0.01281908,0.29256072,0.00000000,0.08466831,0.10252238
-5.57378689,1.09625294,0.34175061,0.78023057,0.00032985,0.01165836,0.28248055,0.00000000,0.08331241,0.10613150
-5.56778389,1.07806144,0.32668107,0.76280944,0.00037387,0.01070134,0.27343612,0.00000000,0.08242759,0.11073239
-5.56178089,1.06674824,0.31322920,0.75003047,0.00042159,0.00994628,0.26558252,0.00000000,0.08203891,0.11636362
-5.55577789,1.06270507,0.30149441,0.74216748,0.00047289,0.00939346,0.25905965,0.00000000,0.08216928,0.12305609
-5.54977489,1.06625629,0.29156478,0.73944571,0.00052762,0.00904522,0.25398759,0.00000000,0.08283801,0.13083059
-5.54377189,1.07764682,0.28351355,0.74203471,0.00058556,0.00890590,0.25046248,0.00000000,0.08405939,0.13969559
-5.53776888,1.09703218,0.27739596,0.75004292,0.00064641,0.00898175,0.24855315,0.00000000,0.08584160,0.14964543
-5.53176588,1.12447135,0.27324676,0.76351393,0.00070985,0.00928064,0.24829862,0.00000000,0.08818574,0.16065895
-5.52576288,1.15992240,0.27107847,0.78242474,0.00077547,0.00981178,0.24970659,0.00000000,0.09108522,0.17269860
-5.51975988,1.20324121,0.27088036,0.80668579,0.00084282,0.01058531,0.25275285,0.00000000,0.09452548,0.18571008
-5.51375688,1.25418299,0.27261824,0.83614296,0.00091140,0.01161172,0.25738186,0.00000000,0.09848395,0.19962266
-5.50775388,1.31240667,0.27623494,0.87058107,0.00098069,0.01290137,0.26350809,0.00000000,0.10293044,0.21434997
-5.50175088,1.37748157,0.28165149,0.90972885,0.00105012,0.01446375,0.27101846,0.00000000,0.10782779,0.22979142
-5.49574787,1.44889627,0.28876876,0.95326501,0.00111913,0.01630683,0.27977535,0.00000000,0.11313280,0.24583420
-5.48974487,1.52606895,0.29746953,1.00082504,0.00118715,0.01843626,0.28962039,0.00000000,0.11879751,0.26235570
-5.48374187,1.60835899,0.30762083,1.05200857,0.00125362,0.02085464,0.30037865,0.00000000,0.12477054,0.27922634
-5.47773887,1.69507910,0.31907637,1.10638678,0.00131801,0.02356074,0.31186313,0.00000000,0.13099872,0.29631275
-5.47173587,1.78550783,0.33167903,1.16350984,0.00137984,0.02654881,0.32387938,0.00000000,0.13742870,0.31348112
-5.46573287,1.87890187,0.34526321,1.22291390,0.00143868,0.02980794,0.33623012,0.00000000,0.14400864,0.33060064
-5.45972986,1.97450784,0.35965708,1.28412775,0.00149419,0.03332151,0.34871965,0.00000000,0.15068976,0.34754685
-5.45372686,2.07157346,0.37468458,1.34667878,0.00154610,0.03706684,0.36115789,0.00000000,0.15742779,0.36420491
-5.44772386,2.16935775,0.39016726,1.41009837,0.00159424,0.04101495,0.37336410,0.00000000,0.16418423,0.38047245
-5.44172086,2.26714033,0.40592592,1.47392671,0.00163854,0.04513062,0.38517000,0.00000000,0.17092722,0.39626210
-5.43571786,2.36422959,0.42178212,1.53771694,0.00167908,0.04937255,0.39642234,0.00000000,0.17763220,0.41150348
-5.42971486,2.45996986,0.43755950,1.60103884,0.00171601,0.05369384,0.40698490,0.00000000,0.18428210,0.42614465
