energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,4.21412761,1.02243638,2.01621011,0.00789002,0.38612889,0.05743088,1.51657950
-5.99399700,4.32783028,1.04514249,2.07372962,0.00789162,0.39237608,0.05925776,1.55581539
-5.98799400,4.44295747,1.06868006,2.13283436,0.00793541,0.39941105,0.06108191,1.59412769
-5.98199100,4.55760733,1.09260593,2.19256879,0.00801838,0.40701194,0.06288363,1.63090178
-5.97598799,4.66993245,1.11649597,2.25197756,0.00813771,0.41495684,0.06464413,1.66557064
-5.96998499,4.77818190,1.13995356,2.31012693,0.00829087,0.42302810,0.06634593,1.69762986
-5.96398199,4.88073889,1.16261697,2.36612482,0.00847561,0.43101621,0.06797324,1.72665035
-5.95797899,4.97615345,1.18416551,2.41913916,0.00868999,0.43872324,0.06951225,1.75228835
-5.95197599,5.06316974,1.20432442,2.46841415,0.00893235,0.44596588,0.07095132,1.77429267
-5.94597299,5.14074748,1.22286861,2.51328434,0.00920121,0.45257800,0.07228109,1.79250890
-5.93996998,5.20807778,1.23962518,2.55318635,0.00949524,0.45841293,0.07349449,1.80688070
-5.93396698,5.26459308,1.25447495,2.58766811,0.00981314,0.46334543,0.07458672,1.81744826
-5.92796398,5.30997174,1.26735295,2.61639565,0.01015354,0.46727326,0.07555510,1.82434425
-5.92196098,5.34413734,1.27824797,2.63915744,0.01051490,0.47011851,0.07639889,1.82778739
-5.91595798,5.36725327,1.28720144,2.65586628,0.01089542,0.47182857,0.07711910,1.82807418
-5.90995498,5.37971292,1.29430546,2.66655877,0.01129297,0.47237670,0.07771823,1.82556916
-5.90395198,5.38212593,1.29970028,2.67139251,0.01170499,0.47176230,0.07820004,1.82069405
-5.89794897,5.37530097,1.30357113,2.67064093,0.01212849,0.47001064,0.07856934,1.81391617
-5.89194597,5.36022534,1.30614461,2.66468601,0.01256004,0.46717226,0.07883174,1.80573667
-5.88594297,5.33804177,1.30768447,2.65400873,0.01299580,0.46332171,0.07899356,1.79667862
-5.87993997,5.31002270,1.30848692,2.63917762,0.01343153,0.45855594,0.07906161,1.78727542
-5.87393697,5.27754230,1.30887535,2.62083521,0.01386276,0.45299209,0.07904319,1.77805958
-5.86793397,5.24204656,1.30919456,2.59968283,0.01428481,0.44676480,0.07894594,1.76955199
-5.86193097,5.20502152,1.30980431,2.57646375,0.01469302,0.44002312,0.07877789,1.76225176
-5.85592796,5.16796017,1.31107231,2.55194506,0.01508282,0.43292701,0.07854739,1.75662660
-5.84992496,5.13232832,1.31336660,2.52689850,0.01544994,0.42564357,0.07826313,1.75310379
-5.84392196,5.09952997,1.31704734,2.50208084,0.01579055,0.41834307,0.07793406,1.75206157
-5.83791896,5.07087282,1.32245823,2.47821400,0.01610142,0.41119491,0.07756940,1.75382119
-5.83191596,5.04753479,1.32991752,2.45596586,0.01638002,0.40436368,0.07717854,1.75863954
