energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,11.70332424,2.38500940,6.86075010,0.09537734,0.33426499,0.13297266,3.28078039,1.48909400,0.39597793
-5.99399700,11.63984821,2.36967559,6.83625508,0.09699795,0.32038433,0.13064594,3.26799759,1.47968186,0.39699750
-5.98799400,11.57904077,2.35291367,6.81853274,0.09842166,0.30696951,0.12789614,3.25303828,1.46872212,0.39737986
-5.98199100,11.52497574,2.33535412,6.81008713,0.09966275,0.29412762,0.12478191,3.23695882,1.45698441,0.39720027
-5.97598799,11.48161205,2.31764276,6.81326394,0.10073893,0.28195314,0.12136845,3.22083096,1.44524621,0.39654328
-5.96998499,11.45264238,2.30041376,6.83015701,0.10167032,0.27052637,0.11772572,3.20570092,1.43426484,0.39549981
-5.96398199,11.44134739,2.28426289,6.86252016,0.10247854,0.25991207,0.11392647,3.19254907,1.42474978,0.39416410
-5.95797899,11.45046205,2.26972211,6.91168841,0.10318570,0.25015835,0.11004437,3.18225205,1.41733644,0.39263075
-5.95197599,11.48206005,2.25723650,6.97851224,0.10381341,0.24129577,0.10615213,3.17554890,1.41256264,0.39099200
-5.94597299,11.53746163,2.24714462,7.06330825,0.10438197,0.23333680,0.10231968,3.17301276,1.41084866,0.38933515
-5.93996998,11.61716877,2.23966322,7.16582823,0.10490957,0.22627558,0.09861262,3.17502919,1.41248175,0.38774047
-5.93396698,11.72083032,2.23487674,7.28524838,0.10541166,0.22008814,0.09509073,3.18178206,1.41760580,0.38627937
-5.92796398,11.84723856,2.23273242,7.42017891,0.10590046,0.21473303,0.09180684,3.19324740,1.42621648,0.38501296
-5.92196098,11.99435655,2.23304096,7.56869357,0.10638464,0.21015241,0.08880583,3.20919529,1.43816206,0.38399113
-5.91595798,12.15937495,2.23548296,7.72837760,0.10686912,0.20627362,0.08612395,3.22919948,1.45314973,0.38325184
-5.90995498,12.33879511,2.23962080,7.89639193,0.10735503,0.20301119,0.08378840,3.25265426,1.47075722,0.38282081
-5.90395198,12.52853458,2.24491561,8.06955065,0.10783981,0.20026929,0.08181703,3.27879747,1.49044900,0.38271152
-5.89794897,12.72405035,2.25074857,8.24440848,0.10831740,0.19794454,0.08021841,3.30673870,1.51159656,0.38292537
-5.89194597,12.92047458,2.25644582,8.41735461,0.10877853,0.19592913,0.07899200,3.33549129,1.53350167,0.38345214
-5.88594297,13.11275746,2.26130590,8.58470948,0.10921106,0.19411416,0.07812854,3.36400686,1.55542185,0.38427049
-5.87993997,13.29581212,2.26462874,8.74282085,0.10960042,0.19239305,0.07761061,3.39121095,1.57659696,0.38534870
-5.87393697,13.46465639,2.26574500,8.88815626,0.10993000,0.19066499,0.07741334,3.41603852,1.59627595,0.38664550
-5.86793397,13.61454751,2.26404461,9.01738913,0.11018162,0.18883824,0.07750521,3.43746800,1.61374272,0.38811104
-5.86193097,13.74110567,2.25900340,9.12747633,0.11033597,0.18683321,0.07784906,3.45455296,1.62834035,0.38968806
-5.85592796,13.84042382,2.25020683,9.21572576,0.11037308,0.18458512,0.07840313,3.46645048,1.63949266,0.39131314
-5.84992496,13.90916137,2.23736978,9.27985268,0.11027277,0.18204626,0.07912224,3.47244544,1.64672277,0.39291829
-5.84392196,13.94462050,2.22035178,9.31802444,0.11001508,0.17918763,0.07995897,3.47197041,1.64966779,0.39443266
-5.83791896,13.94480415,2.19916696,9.32889325,0.10958075,0.17599999,0.08086502,3.46462065,1.64808954,0.39578458
-5.83191596,13.90845555,2.17398844,9.31161731,0.10895170,0.17249421,0.08179249,3.45016416,1.64188094,0.39690379
-5.82591296,13.83507951,2.14514693,9.26587063,0.10811148,0.16870088,0.08269523,3.42854689,1.63106808,0.39772390
-5.81990995,13.72494598,2.11312370,9.19184212,0.10704579,0.16466930,0.08353012,3.39989301,1.61580800,0.39818508
-5.81390695,13.57907662,2.07853807,9.09022460,0.10574301,0.16046571,0.08425833,3.36450067,1.59638246,0.39823675
-5.80790395,13.39921551,2.04212999,8.96219432,0.10419466,0.15617095,0.08484646,3.32283347,1.57318802,0.39784041
-5.80190095,13.18778491,2.00473838,8.80938194,0.10239596,0.15187765,0.08526754,3.27550814,1.54672289,0.39697227
-5.79589795,12.94782750,1.96727593,8.63383529,0.10034632,0.14768689,0.08550186,3.22327861,1.51757109,0.39562568
-5.78989495,12.68293641,1.93070151,8.43797510,0.09804973,0.14370469,0.08553758,3.16701733,1.48638453,0.39381320
-5.78389195,12.39717455,1.89599100,8.22454417,0.09551518,0.14003823,0.08537111,3.10769399,1.45386370,0.39156808
-5.77788894,12.09498508,1.86410771,7.99655111,0.09275692,0.13679216,0.08500721,3.04635240,1.42073767,0.38894522
-5.77188594,11.78109496,1.83597354,7.75720964,0.08979458,0.13406499,0.08445885,2.98408618,1.38774415,0.38602128
-5.76588294,11.46041370,1.81244181,7.50987467,0.08665319,0.13194571,0.08374676,2.92201361,1.35561014,0.38289397
-5.75987994,11.13792996,1.79427270,7.25797665,0.08336302,0.13051090,0.08289869,2.86125260,1.32503415,0.37968052
-5.75387694,10.81860823,1.78211243,7.00495554,0.07995918,0.12982227,0.08194850,2.80289615,1.29667015,0.37651526
-5.74787394,10.50728866,1.77647647,6.75419617,0.07648116,0.12992478,0.08093499,2.74798914,1.27111419,0.37354629
-5.74187094,10.20859233,1.77773773,6.50896655,0.07297202,0.13084548,0.07990053,2.69750691,1.24889370,0.37093155
-5.73586793,9.92683474,1.78611974,6.27236088,0.06947759,0.13259298,0.07888963,2.65233613,1.23045991,0.36883420
-5.72986493,9.66594968,1.80169515,6.04724846,0.06604539,0.13515759,0.07794742,2.61325856,1.21618344,0.36741750
-5.72386193,9.42942521,1.82438922,5.83623008,0.06272351,0.13851221,0.07711808,2.58093788,1.20635294,0.36683957
-5.71785893,9.22025334,1.85398820,5.64160259,0.05955936,0.14261370,0.07644338,2.55590984,1.20117655,0.36724797
-5.71185593,9.04089386,1.89015176,5.46533235,0.05659845,0.14740489,0.07596130,2.53857578,1.20078586,0.36877453
-5.70585293,8.89325267,1.93242896,5.30903776,0.05388316,0.15281693,0.07570475,2.52919947,1.20524179,0.37153047
-5.69984992,8.77867393,1.98027666,5.17398063,0.05145155,0.15877196,0.07570055,2.52790696,1.21454179,0.37560214
-5.69384692,8.69794498,2.03307953,5.06106587,0.04933627,0.16518593,0.07596856,2.53468919,1.22862770,0.38104744
-5.68784392,8.65131254,2.09017049,4.97084864,0.04756369,0.17197148,0.07652109,2.54940690,1.24739366,0.38789311
-5.68184092,8.63850816,2.15085057,4.90354773,0.04615317,0.17904062,0.07736250,2.57179736,1.27069325,0.39613296
-5.67583792,8.65878087,2.21440725,4.85906413,0.04511650,0.18630723,0.07848913,2.60148246,1.29834553,0.40572712
-5.66983492,8.71093509,2.28013048,4.83700326,0.04445770,0.19368921,0.07988937,2.63797769,1.33013935,0.41660233
-5.66383192,8.79337157,2.34732567,4.83669979,0.04417296,0.20111012,0.08154404,2.68070171,1.36583582,0.42865319
-5.65782891,8.90412998,2.41532335,4.85724387,0.04425088,0.20850037,0.08342690,2.72898611,1.40516868,0.44174444
-5.65182591,9.04093182,2.48348528,4.89750795,0.04467301,0.21579788,0.08550537,2.78208536,1.44784291,0.45571409
-5.64582291,9.20122279,2.55120715,4.95617349,0.04541451,0.22294822,0.08774144,2.83918678,1.49353171,0.47037727
-5.63981991,9.38221431,2.61791837,5.03175715,0.04644516,0.22990421,0.09009263,2.89942077,1.54187247,0.48553085
-5.63381691,9.58092434,2.68307927,5.12263640,0.04773038,0.23662521,0.09251310,2.96187130,1.59246223,0.50095843
-5.62781391,9.79421766,2.74617683,5.22707442,0.04923255,0.24307598,0.09495487,3.02558705,1.64485354,0.51643576
-5.62181091,10.01884634,2.80671954,5.34324455,0.05091230,0.24922549,0.09736896,3.08959340,1.69855126,0.53173634
-5.61580790,10.25149092,2.86423240,5.46925436,0.05272984,0.25504544,0.09970671,3.15290540,1.75301122,0.54663702
-5.60980490,10.48880255,2.91825296,5.60316948,0.05464635,0.26050906,0.10192097,3.21454195,1.80764130,0.56092345
-5.60380190,10.72744657,2.96832909,5.74303733,0.05662521,0.26558990,0.10396734,3.27354116,1.86180541,0.57439525
-5.59779890,10.96414708,3.01401912,5.88691039,0.05863311,0.27026098,0.10580524,3.32897671,1.91483074,0.58687062
-5.59179590,11.19573196,3.05489455,6.03286885,0.06064102,0.27449424,0.10739905,3.37997484,1.96601827,0.59819047
-5.58579290,11.41917730,3.09054558,6.17904213,0.06262492,0.27826042,0.10871896,3.42573166,2.01465644,0.60822160
-5.57978989,11.63164978,3.12058913,6.32362853,0.06456628,0.28152934,0.10974176,3.46552990,2.06003750,0.61685920
