energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.18356406,0.33247454,0.00000000,0.00143188,0.97580398,0.44519149,0.00000000,2.16529288,0.53355515
-5.99399700,2.11435507,0.33675317,0.00000000,0.00125670,0.94347200,0.43124298,0.00000000,2.10076528,0.51400227
-5.98799400,2.04055238,0.34008669,0.00000000,0.00110091,0.90840825,0.41696222,0.00000000,2.02953147,0.49355614
-5.98199100,1.96324306,0.34231553,0.00000000,0.00096317,0.87135648,0.40232437,0.00000000,1.95296698,0.47259684
-5.97598799,1.88353787,0.34330299,0.00000000,0.00084218,0.83306351,0.38731716,0.00000000,1.87247669,0.45150251
-5.96998499,1.80254175,0.34294030,0.00000000,0.00073669,0.79425798,0.37194234,0.00000000,1.78945626,0.43063844
-5.96398199,1.72132654,0.34115117,0.00000000,0.00064559,0.75563089,0.35621685,0.00000000,1.70525639,0.41034699
-5.95797899,1.64090681,0.33789551,0.00000000,0.00056787,0.71781854,0.34017343,0.00000000,1.62115080,0.39093882
-5.95197599,1.56221932,0.33317228,0.00000000,0.00050270,0.68138833,0.32386090,0.00000000,1.53830891,0.37268561
-5.94597299,1.48610668,0.32702126,0.00000000,0.00044940,0.64682777,0.30734385,0.00000000,1.45777367,0.35581450
-5.93996998,1.41330528,0.31952354,0.00000000,0.00040746,0.61453675,0.29070198,0.00000000,1.38044486,0.34050431
-5.93396698,1.34443755,0.31080085,0.00000000,0.00037656,0.58482326,0.27402887,0.00000000,1.30706807,0.32688362
-5.92796398,1.28000836,0.30101351,0.00000000,0.00035650,0.55790227,0.25743045,0.00000000,1.23822902,0.31503062
-5.92196098,1.22040529,0.29035724,0.00000000,0.00034729,0.53389772,0.24102296,0.00000000,1.17435306,0.30497463
-5.91595798,1.16590223,0.27905872,0.00000000,0.00034905,0.51284714,0.22493063,0.00000000,1.11570935,0.29669916
-5.90995498,1.11666590,0.26737023,0.00000000,0.00036203,0.49470868,0.20928315,0.00000000,1.06241916,0.29014628
-5.90395198,1.07276464,0.25556337,0.00000000,0.00038661,0.47936998,0.19421285,0.00000000,1.01446766,0.28522204
-5.89794897,1.03417901,0.24392222,0.00000000,0.00042321,0.46665850,0.17985180,0.00000000,0.97171854,0.28180269
-5.89194597,1.00081340,0.23273591,0.00000000,0.00047233,0.45635288,0.16632895,0.00000000,0.93393066,0.27974147
-5.88594297,0.97250825,0.22229115,0.00000000,0.00053448,0.44819469,0.15376721,0.00000000,0.90077614,0.27887557
-5.87993997,0.94905223,0.21286461,0.00000000,0.00061013,0.44190037,0.14228073,0.00000000,0.87185915,0.27903303
-5.87393697,0.93019379,0.20471556,0.00000000,0.00069971,0.43717266,0.13197228,0.00000000,0.84673469,0.28003942
