energy_ev,total_up,Ag_p_up,Ag_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.89484982,0.69969977,1.30866636,2.57521602,0.70496745,0.00466728,1.14035430,0.06623215,0.40938228
-5.99399700,3.83966582,0.69194373,1.28113193,2.57832076,0.69294822,0.00453358,1.13095249,0.06378746,0.40443378
-5.98799400,3.78078333,0.68288380,1.25632604,2.57205405,0.67955896,0.00438271,1.11840044,0.06128949,0.39875600
-5.98199100,3.71804171,0.67274430,1.23434974,2.55578108,0.66471582,0.00421638,1.10244034,0.05874199,0.39241910
-5.97598799,3.65143294,0.66177729,1.21529851,2.52908854,0.64837219,0.00403652,1.08289369,0.05614941,0.38551112
-5.96998499,3.58111201,0.65025471,1.19926297,2.49180234,0.63052225,0.00384521,1.05967011,0.05351720,0.37813567
-5.96398199,3.50739924,0.63845979,1.18632808,2.44399665,0.61120280,0.00364466,1.03277279,0.05085210,0.37040885
-5.95797899,3.43077430,0.62667817,1.17657073,2.38599379,0.59049335,0.00343714,1.00230020,0.04816237,0.36245568
-5.95197599,3.35186206,0.61518898,1.17005599,2.31835489,0.56851447,0.00322493,0.96844420,0.04545777,0.35440599
-5.94597299,3.27141113,0.60425635,1.16683213,2.24186182,0.54542441,0.00301032,0.93148437,0.04274959,0.34639014
-5.93996998,3.19026596,0.59412147,1.16692480,2.15749113,0.52141426,0.00279549,0.89177914,0.04005043,0.33853460
-5.93396698,3.10933427,0.58499576,1.17033076,2.06638142,0.49670180,0.00258255,0.84975395,0.03737401,0.33095764
-5.92796398,3.02955129,0.57705505,1.17701168,1.96979549,0.47152442,0.00237343,0.80588725,0.03473483,0.32376536
-5.92196098,2.95184298,0.57043533,1.18688845,1.86907935,0.44613144,0.00216992,0.76069479,0.03214777,0.31704818
-5.91595798,2.87709004,0.56522987,1.19983662,1.76561966,0.42077613,0.00197360,0.71471323,0.02962769,0.31087802
-5.90995498,2.80609467,0.56148807,1.21568323,1.66080175,0.39570795,0.00178585,0.66848353,0.02718903,0.30530628
-5.90395198,2.73955185,0.55921576,1.23420561,1.55596992,0.37116523,0.00160783,0.62253520,0.02484538,0.30036273
-5.89794897,2.67802640,0.55837725,1.25513226,1.45239161,0.34736863,0.00144048,0.57737163,0.02260916,0.29605538
-5.89194597,2.62193713,0.55889865,1.27814609,1.35122674,0.32451567,0.00128453,0.53345752,0.02049125,0.29237134
-5.88594297,2.57154848,0.56067260,1.30288990,1.25350332,0.30277653,0.00114051,0.49120844,0.01850085,0.28927864
-5.87993997,2.52696996,0.56356403,1.32897418,1.16009971,0.28229110,0.00100875,0.45098303,0.01664528,0.28672893
-5.87393697,2.48816321,0.56741675,1.35598670,1.07173402,0.26316750,0.00088942,0.41307789,0.01492995,0.28466086
-5.86793397,2.45495583,0.57206058,1.38350383,0.98896025,0.24548192,0.00078255,0.37772520,0.01335838,0.28300416
-5.86193097,2.42706114,0.57731881,1.41110285,0.91217096,0.22927970,0.00068801,0.34509283,0.01193237,0.28168394
-5.85592796,2.40410246,0.58301546,1.43837488,0.84160544,0.21457746,0.00060561,0.31528680,0.01065214,0.28062524
-5.84992496,2.38564049,0.58898238,1.46493772,0.77736274,0.20136623,0.00053506,0.28835573,0.00951662,0.27975744
-5.84392196,2.37120214,0.59506561,1.49044820,0.71941811,0.18961511,0.00047603,0.26429680,0.00852378,0.27901834
-5.83791896,2.36030920,0.60113091,1.51461314,0.66764204,0.17927550,0.00042816,0.24306294,0.00767093,0.27835780
-5.83191596,2.35250538,0.60706828,1.53719878,0.62182048,0.17028539,0.00039109,0.22457067,0.00695511,0.27774055
-5.82591296,2.34738036,0.61279517,1.55803792,0.58167525,0.16257378,0.00036446,0.20870825,0.00637342,0.27714821
-5.81990995,2.34458974,0.61825844,1.57703461,0.54688373,0.15606474,0.00034797,0.19534377,0.00592337,0.27658037
-5.81390695,2.34386993,0.62343498,1.59416613,0.51709687,0.15068120,0.00034135,0.18433278,0.00560321,0.27605465
-5.80790395,2.34504772,0.62833090,1.60948206,0.49195505,0.14634818,0.00034440,0.17552522,0.00541214,0.27560580
-5.80190095,2.34804405,0.63297959,1.62310068,0.47110131,0.14299543,0.00035701,0.16877149,0.00535056,0.27528388
-5.79589795,2.35287222,0.63743857,1.63520264,0.45419163,0.14055947,0.00037917,0.16392743,0.00542021,0.27515165
-5.78989495,2.35963094,0.64178544,1.64602230,0.44090244,0.13898489,0.00041097,0.16085824,0.00562424,0.27528139
-5.78389195,2.36849283,0.64611306,1.65583711,0.43093522,0.13822515,0.00045262,0.15944117,0.00596719,0.27575115
-5.77788894,2.37968921,0.65052430,1.66495541,0.42401873,0.13824263,0.00050449,0.15956726,0.00645497,0.27664091
-5.77188594,2.39349212,0.65512653,1.67370334,0.41990895,0.13900831,0.00056707,0.16114192,0.00709464,0.27802865
-5.76588294,2.41019473,0.66002614,1.68241115,0.41838745,0.14050092,0.00064104,0.16408473,0.00789424,0.27998666
-5.75987994,2.43009114,0.66532336,1.69139979,0.41925851,0.14270576,0.00072725,0.16832841,0.00886241,0.28257821
-5.75387694,2.45345660,0.67110750,1.70096801,0.42234541,0.14561328,0.00082675,0.17381719,0.01000807,0.28585480
-5.74787394,2.48052909,0.67745300,1.71138073,0.42748659,0.14921745,0.00094078,0.18050473,0.01133995,0.28985407
-5.74187094,2.51149316,0.68441617,1.72285891,0.43453177,0.15351408,0.00107079,0.18835170,0.01286607,0.29459844
-5.73586793,2.54646649,0.69203296,1.73557149,0.44333868,0.15849906,0.00121844,0.19732327,0.01459323,0.30009457
-5.72986493,2.58548975,0.70031763,1.74962934,0.45377036,0.16416674,0.00138557,0.20738648,0.01652639,0.30633347
-5.72386193,2.62851996,0.70926239,1.76508174,0.46569351,0.17050830,0.00157420,0.21850773,0.01866812,0.31329140
-5.71785893,2.67542731,0.71883799,1.78191505,0.47897764,0.17751034,0.00178648,0.23065046,0.02101800,0.32093124
-5.71185593,2.72599552,0.72899503,1.80005382,0.49349536,0.18515356,0.00202465,0.24377306,0.02357212,0.32920433
-5.70585293,2.77992511,0.73966601,1.81936384,0.50912353,0.19341175,0.00229096,0.25782715,0.02632256,0.33805259
-5.69984992,2.83683950,0.75076785,1.83965719,0.52574514,0.20225088,0.00258761,0.27275622,0.02925703,0.34741073
-5.69384692,2.89629319,0.76220470,1.86069864,0.54325193,0.21162854,0.00291664,0.28849466,0.03235858,0.35720846
-5.68784392,2.95778164,0.77387099,1.88221325,0.56154736,0.22149354,0.00327979,0.30496731,0.03560548,0.36737245
-5.68184092,3.02075214,0.78565433,1.90389467,0.58054976,0.23178581,0.00367844,0.32208943,0.03897126,0.37782809
-5.67583792,3.08461526,0.79743834,1.92541365,0.60019557,0.24243668,0.00411339,0.33976713,0.04242489,0.38850083
-5.66983492,3.14875643,0.80910515,1.94642664,0.62044226,0.25336926,0.00458479,0.35789831,0.04593117,0.39931709
-5.66383192,3.21254719,0.82053748,1.96658381,0.64127086,0.26449933,0.00509197,0.37637404,0.04945133,0.41020479
-5.65782891,3.27535591,0.83162036,1.98553658,0.66268805,0.27573639,0.00563334,0.39508039,0.05294381,0.42109352
-5.65182591,3.33655786,0.84224230,2.00294418,0.68472736,0.28698504,0.00620626,0.41390060,0.05636516,0.43191428
-5.64582291,3.39554444,0.85229618,2.01847932,0.70744977,0.29814671,0.00680698,0.43271768,0.05967110,0.44259913
-5.63981991,3.45173174,0.86167963,2.03183297,0.73094338,0.30912155,0.00743060,0.45141725,0.06281774,0.45308061
-5.63381691,3.50456844,0.87029530,2.04271815,0.75532225,0.31981061,0.00807103,0.46989055,0.06576281,0.46329114
-5.62781391,3.55354320,0.87805081,2.05087301,0.78072449,0.33011813,0.00872109,0.48803762,0.06846691,0.47316254
