energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.70940609,0.00976070,0.47356007,1.25867541,0.57613171,1.57427342,0.87955218,0.02508429,1.70726837
-5.99399700,3.77225687,0.00990868,0.48671622,1.27598851,0.58696392,1.58156907,0.90141695,0.02563597,1.72832361
-5.98799400,3.82288231,0.01000167,0.49833413,1.28881794,0.59580242,1.58357174,0.92083074,0.02607945,1.74327522
-5.98199100,3.86039405,0.01003714,0.50826318,1.29692624,0.60245942,1.58033010,0.93748818,0.02640164,1.75178983
-5.97598799,3.88405535,0.01001364,0.51636850,1.30013221,0.60677990,1.57194590,0.95110525,0.02659195,1.75361960
-5.96998499,3.89330256,0.00993089,0.52253443,1.29831645,0.60864625,1.55856997,0.96142749,0.02664259,1.74861040
-5.96398199,3.88776411,0.00978975,0.52666793,1.29142601,0.60798189,1.54039832,0.96823833,0.02654892,1.73670795
-5.95797899,3.86727615,0.00959228,0.52870192,1.27947769,0.60475366,1.51766853,0.97136707,0.02630955,1.71796167
-5.95197599,3.83189412,0.00934163,0.52859840,1.26256000,0.59897287,1.49065632,0.97069632,0.02592638,1.69252597
-5.94597299,3.78189972,0.00904200,0.52635106,1.24083352,0.59069505,1.45967228,0.96616848,0.02540458,1.66065893
-5.93996998,3.71780273,0.00869850,0.52198748,1.21452954,0.58001852,1.42505874,0.95779100,0.02475231,1.62271824
-5.93396698,3.64033759,0.00831702,0.51557054,1.18394705,0.56708164,1.38718666,0.94564011,0.02398048,1.57915470
-5.92796398,3.55045465,0.00790402,0.50719908,1.14944800,0.55205921,1.34645253,0.92986281,0.02310238,1.53050338
-5.92196098,3.44930620,0.00746643,0.49700764,1.11145112,0.53515791,1.30327512,0.91067702,0.02213320,1.47737286
-5.91595798,3.33822782,0.00701136,0.48516532,1.07042426,0.51661121,1.25809211,0.88836968,0.02108963,1.42043290
-5.90995498,3.21871532,0.00654601,0.47187355,1.02687575,0.49667379,1.21135652,0.86329291,0.01998931,1.36040110
-5.90395198,3.09239814,0.00607744,0.45736304,0.98134475,0.47561583,1.16353283,0.83585820,0.01885038,1.29802886
-5.89794897,2.96100978,0.00561242,0.44188972,0.93439117,0.45371729,1.11509292,0.80652876,0.01769097,1.23408731
-5.89194597,2.82635619,0.00515729,0.42572988,0.88658523,0.43126238,1.06651158,0.77581029,0.01652886,1.16935349
