energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,3.79281743,0.01098359,0.79815925,0.01821015,1.81715918,0.96723907,0.36977933,1.20175399,0.62372277
-5.99399700,3.66192116,0.01071088,0.75952700,0.01843639,1.76067955,0.92455990,0.36271024,1.14330533,0.60232256
-5.98799400,3.52350506,0.01040508,0.72013653,0.01856219,1.70010758,0.88046027,0.35453180,1.08365539,0.57982106
-5.98199100,3.37984653,0.01007522,0.68049399,0.01858467,1.63658625,0.83567344,0.34541549,1.02379654,0.55657231
-5.97598799,3.23331065,0.00973092,0.64109098,0.01850310,1.57132467,0.79093729,0.33555274,0.96472161,0.53294311
-5.96998499,3.08631265,0.00938207,0.60239769,0.01831894,1.50557773,0.74698184,0.32515198,0.90740552,0.50930809
-5.96398199,2.94128061,0.00903859,0.56485705,0.01803584,1.44062539,0.70451764,0.31443518,0.85278789,0.48604477
-5.95797899,2.80061871,0.00871019,0.52887978,0.01765960,1.37775176,0.66422516,0.30363419,0.80175703,0.46352866
-5.95197599,2.66667135,0.00840610,0.49484030,0.01719802,1.31822428,0.62674546,0.29298664,0.75513560,0.44212844
-5.94597299,2.54168851,0.00813487,0.46307348,0.01666068,1.26327332,0.59267188,0.28273175,0.71366796,0.42220115
-5.93996998,2.42779241,0.00790409,0.43387196,0.01605870,1.21407236,0.56254309,0.27310581,0.67800949,0.40408736
-5.93396698,2.32694586,0.00772028,0.40748417,0.01540440,1.17171908,0.53683714,0.26433775,0.64871779,0.38810645
-5.92796398,2.24092255,0.00758866,0.38411279,0.01471096,1.13721743,0.51596669,0.25664451,0.62624585,0.37455182
-5.92196098,2.17127958,0.00751302,0.36391364,0.01399203,1.11146104,0.50027515,0.25022669,0.61093709,0.36368637
-5.91595798,2.11933261,0.00749567,0.34699508,0.01326135,1.09521821,0.49003389,0.24526426,0.60302232,0.35573800
-5.90995498,2.08613423,0.00753730,0.33341768,0.01253238,1.08911863,0.48544020,0.24191267,0.60261853,0.35089551
-5.90395198,2.07245587,0.00763701,0.32319451,0.01181788,1.09364227,0.48661621,0.24029935,0.60972955,0.34930479
-5.89794897,2.07877394,0.00779230,0.31629175,0.01112969,1.10911053,0.49360868,0.24052078,0.62424852,0.35106556
-5.89194597,2.10526069,0.00799915,0.31262997,0.01047832,1.13568008,0.50638960,0.24264015,0.64596218,0.35622878
-5.88594297,2.15178029,0.00825209,0.31208600,0.00987283,1.17333952,0.52485777,0.24668580,0.67455705,0.36479473
-5.87993997,2.21789060,0.00854437,0.31449550,0.00932059,1.22190908,0.54884136,0.25265039,0.70962733,0.37671208
-5.87393697,2.30285083,0.00886813,0.31965630,0.00882721,1.28104349,0.57810137,0.26049095,0.75068459,0.39187791
-5.86793397,2.40563534,0.00921461,0.32733243,0.00839649,1.35023811,0.61233619,0.27012974,0.79716906,0.41013870
-5.86193097,2.52495333,0.00957441,0.33725899,0.00803041,1.42883810,0.65118703,0.28145599,0.84846234,0.43129257
-5.85592796,2.65927424,0.00993777,0.34914762,0.00772929,1.51605067,0.69424435,0.29432835,0.90390119,0.45509243
-5.84992496,2.80685825,0.01029479,0.36269264,0.00749181,1.61095994,0.74105497,0.30857816,0.96279224,0.48125031
-5.84392196,2.96579102,0.01063580,0.37757757,0.00731530,1.71254411,0.79112993,0.32401326,1.02442687,0.50944254
-5.83791896,3.13402174,0.01095158,0.39348184,0.00719585,1.81969441,0.84395262,0.34042231,1.08809599,0.53931583
-5.83191596,3.30940329,0.01123365,0.41008754,0.00712860,1.93123523,0.89898714,0.35757948,1.15310410,0.57049390
-5.82591296,3.48973315,0.01147447,0.42708597,0.00710796,2.04594485,0.95568652,0.37524930,1.21878199,0.60258465
-5.81990995,3.67279380,0.01166769,0.44418360,0.00712784,2.16257608,1.01350049,0.39319160,1.28449761,0.63518751
-5.81390695,3.85639121,0.01180827,0.46110731,0.00718195,2.27987620,1.07188268,0.41116626,1.34966465,0.66790078
-5.80790395,4.03839015,0.01189261,0.47760868,0.00726393,2.39660558,1.13029675,0.42893773,1.41374832,0.70032877
-5.80190095,4.21674543,0.01191857,0.49346717,0.00736765,2.51155459,1.18822157,0.44627917,1.47626833,0.73208847
-5.79589795,4.38952801,0.01188549,0.50849193,0.00748727,2.62355825,1.24515513,0.46297603,1.53679877,0.76281553
-5.78989495,4.55494561,0.01179414,0.52252249,0.00761745,2.73150855,1.30061725,0.47882907,1.59496518,0.79216950
-5.78389195,4.71135760,0.01164660,0.53542804,0.00775342,2.83436425,1.35415111,0.49365673,1.65043903,0.81983812
-5.77788894,4.85728405,0.01144614,0.54710560,0.00789101,2.93115822,1.40532382,0.50729692,1.70293017,0.84554050
-5.77188594,4.99140969,0.01119700,0.55747725,0.00802670,3.02100256,1.45372610,0.51960806,1.75217779,0.86902944
-5.76588294,5.11258317,0.01090422,0.56648651,0.00815759,3.10309174,1.49897157,0.53046960,1.79794074,0.89009254
-5.75987994,5.21981268,0.01057342,0.57409433,0.00828133,3.17670422,1.54069577,0.53978204,1.83998799,0.90855257
-5.75387694,5.31225898,0.01021056,0.58027488,0.00839610,3.24120296,1.57855539,0.54746650,1.87808998,0.92426680
-5.74787394,5.38922695,0.00982173,0.58501143,0.00850047,3.29603538,1.61222796,0.55346388,1.91201175,0.93712583
-5.74187094,5.45015674,0.00941296,0.58829276,0.00859334,3.34073311,1.64141228,0.55773395,1.94150835,0.94705173
-5.73586793,5.49461568,0.00899003,0.59011013,0.00867380,3.37491193,1.66582986,0.56025419,1.96632317,0.95399597
-5.72986493,5.52229158,0.00855834,0.59045517,0.00874111,3.39827232,1.68522736,0.56101861,1.98618927,0.95793708
-5.72386193,5.53298826,0.00812279,0.58931879,0.00879453,3.41060061,1.69938026,0.56003666,2.00083405,0.95887834
-5.71785893,5.52662352,0.00768769,0.58669106,0.00883335,3.41177096,1.70809744,0.55733220,2.00998672,0.95684561
-5.71185593,5.50322962,0.00725674,0.58256217,0.00885678,3.40174792,1.71122662,0.55294258,2.01338853,0.95188542
-5.70585293,5.46295611,0.00683297,0.57692421,0.00886399,3.38058950,1.70866034,0.54691789,2.01080483,0.94406335
-5.69984992,5.40607441,0.00641884,0.56977370,0.00885410,3.34845035,1.70034209,0.53932029,2.00203849,0.93346283
-5.69384692,5.33298357,0.00601620,0.56111462,0.00882622,3.30558468,1.68627223,0.53022352,1.98694356,0.92018428
-5.68784392,5.24421620,0.00562640,0.55096161,0.00877952,3.25234852,1.66651322,0.51971241,1.96543844,0.90434462
-5.68184092,5.14044380,0.00525034,0.53934318,0.00871327,3.18920078,1.64119377,0.50788237,1.93751761,0.88607700
-5.67583792,5.02248038,0.00488857,0.52630447,0.00862700,3.11670283,1.61051148,0.49483893,1.90326110,0.86553073
-5.66983492,4.89128368,0.00454134,0.51190959,0.00852051,3.03551604,1.57473378,0.48069713,1.86284112,0.84287129
-5.66383192,4.74795306,0.00420871,0.49624305,0.00839399,2.94639730,1.53419681,0.46558076,1.81652523,0.81828020
-5.65782891,4.59372367,0.00389059,0.47941033,0.00824811,2.85019199,1.48930219,0.44962149,1.76467588,0.79195481
-5.65182591,4.42995644,0.00358684,0.46153747,0.00808404,2.74782474,1.44051173,0.43295777,1.70774623,0.76410770
-5.64582291,4.25812395,0.00329726,0.44276961,0.00790351,2.64028778,1.38834006,0.41573355,1.64627237,0.73496572
-5.63981991,4.07979217,0.00302166,0.42326858,0.00770881,2.52862725,1.33334552,0.39809682,1.58086236,0.70476856
-5.63381691,3.89659859,0.00275990,0.40320970,0.00750278,2.41392767,1.27611957,0.38019799,1.51218250,0.67376684
-5.62781391,3.71022721,0.00251185,0.38277780,0.00728872,2.29729513,1.21727502,0.36218808,1.44094163,0.64221960
-5.62181091,3.52238128,0.00227741,0.36216287,0.00707034,2.17983947,1.15743361,0.34421692,1.36787407,0.61039136
-5.61580790,3.33475449,0.00205654,0.34155537,0.00685167,2.06265607,1.09721333,0.32643117,1.29372197,0.57854869
-5.60980490,3.14900155,0.00184916,0.32114149,0.00663685,1.94680771,1.03721584,0.30897239,1.21921789,0.54695641
