energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.72986493,0.87189923,0.12754047,0.70136126,0.00291935,0.00726126,0.00023214,0.15440570,0.04793404,0.04374657
-5.72386193,0.86229907,0.13027568,0.68738486,0.00269545,0.00792528,0.00021729,0.15709185,0.04909019,0.04495530
-5.71785893,0.85373124,0.13324480,0.67411706,0.00247364,0.00861359,0.00020240,0.16004404,0.05033371,0.04625197
-5.71185593,0.84642145,0.13643569,0.66181613,0.00225628,0.00932071,0.00018769,0.16324918,0.05166020,0.04762059
-5.70585293,0.84052662,0.13982530,0.65068603,0.00204544,0.01004060,0.00017339,0.16668090,0.05306175,0.04904103
-5.69984992,0.83613349,0.14338033,0.64087338,0.00184292,0.01076688,0.00015975,0.17030058,0.05452738,0.05048977
-5.69384692,0.83326018,0.14705842,0.63246671,0.00165022,0.01149302,0.00014702,0.17405890,0.05604358,0.05194077
-5.68784392,0.83186030,0.15080956,0.62549774,0.00146852,0.01221256,0.00013548,0.17789776,0.05759500,0.05336646
-5.68184092,0.83182945,0.15457785,0.61994479,0.00129869,0.01291939,0.00012542,0.18175266,0.05916535,0.05473884
-5.67583792,0.83301364,0.15830345,0.61573778,0.00114132,0.01360796,0.00011715,0.18555520,0.06073830,0.05603061
-5.66983492,0.83521930,0.16192465,0.61276469,0.00099672,0.01427358,0.00011103,0.18923577,0.06229850,0.05721628
-5.66383192,0.83822423,0.16537990,0.61087911,0.00086494,0.01491266,0.00010743,0.19272622,0.06383259,0.05827322
-5.65782891,0.84178926,0.16860989,0.60990848,0.00074582,0.01552293,0.00010680,0.19596250,0.06533024,0.05918263
-5.65182591,0.84566986,0.17155943,0.60966283,0.00063901,0.01610370,0.00010964,0.19888705,0.06678508,0.05993036
-5.64582291,0.84962765,0.17417918,0.60994349,0.00054398,0.01665598,0.00011649,0.20145096,0.06819561,0.06050760
-5.63981991,0.85344110,0.17642716,0.61055173,0.00046011,0.01718271,0.00012801,0.20361584,0.06956593,0.06091134
-5.63381691,0.85691531,0.17827001,0.61129684,0.00038664,0.01768880,0.00014492,0.20535524,0.07090637,0.06114469
-5.62781391,0.85989060,0.17968391,0.61200367,0.00032280,0.01818125,0.00016805,0.20665576,0.07223390,0.06121694
-5.62181091,0.86224958,0.18065532,0.61251923,0.00026774,0.01866911,0.00019832,0.20751768,0.07357238,0.06114347
-5.61580790,0.86392267,0.18118139,0.61271839,0.00022061,0.01916347,0.00023671,0.20795525,0.07495253,0.06094544
-5.60980490,0.86489185,0.18127002,0.61250841,0.00018058,0.01967731,0.00028434,0.20799647,0.07641169,0.06064933
-5.60380190,0.86519263,0.18093975,0.61183235,0.00014683,0.02022532,0.00034236,0.20768257,0.07799327,0.06028623
-5.59779890,0.86491399,0.18021934,0.61067102,0.00011860,0.02082364,0.00041198,0.20706701,0.07974594,0.05989112
-5.59179590,0.86419644,0.17914704,0.60904374,0.00009516,0.02148949,0.00049444,0.20621413,0.08172252,0.05950185
-5.58579290,0.86322796,0.17776961,0.60700755,0.00007584,0.02224077,0.00059096,0.20519748,0.08397848,0.05915817
-5.57978989,0.86223808,0.17614118,0.60465500,0.00006004,0.02309552,0.00070272,0.20409771,0.08657030,0.05890055
