energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.06827630,0.70373714,3.76217171,0.00774783,0.05556319,0.37168823,0.00000000,0.20522274,0.06153326
-5.99399700,4.07923190,0.71061396,3.78035824,0.00766264,0.05647086,0.36641365,0.00000000,0.20781748,0.06064407
-5.98799400,4.09120493,0.71925152,3.79949907,0.00758543,0.05735096,0.36098967,0.00000000,0.21031792,0.05971411
-5.98199100,4.10486771,0.72990272,3.82014932,0.00751951,0.05822561,0.35542749,0.00000000,0.21280403,0.05875823
-5.97598799,4.12087906,0.74278584,3.84282806,0.00746846,0.05911860,0.34975231,0.00000000,0.21536284,0.05779389
-5.96998499,4.13986005,0.75807874,3.86799616,0.00743603,0.06005458,0.34400286,0.00000000,0.21808561,0.05684072
-5.96398199,4.16237084,0.77591465,3.89603650,0.00742607,0.06105813,0.33823016,0.00000000,0.22106459,0.05592002
-5.95797899,4.18888980,0.79637966,3.92723790,0.00744236,0.06215282,0.33249555,0.00000000,0.22438978,0.05505408
-5.95197599,4.21979634,0.81951189,3.96178361,0.00748852,0.06336032,0.32686823,0.00000000,0.22814561,0.05426542
-5.94597299,4.25535827,0.84530247,3.99974525,0.00756785,0.06469951,0.32142249,0.00000000,0.23240780,0.05357601
-5.93996998,4.29572434,0.87369799,4.04108222,0.00768317,0.06618574,0.31623477,0.00000000,0.23724056,0.05300642
-5.93396698,4.34092217,0.90460438,4.08564672,0.00783666,0.06783020,0.31138082,0.00000000,0.24269407,0.05257503
-5.92796398,4.39086138,0.93789165,4.13319369,0.00802979,0.06963942,0.30693304,0.00000000,0.24880254,0.05229731
-5.92196098,4.44534129,0.97339938,4.18339485,0.00826313,0.07161492,0.30295817,0.00000000,0.25558277,0.05218520
-5.91595798,4.50406241,1.01094225,4.23585581,0.00853627,0.07375309,0.29951534,0.00000000,0.26303320,0.05224657
-5.90995498,4.56664067,1.05031552,4.29013488,0.00884777,0.07604517,0.29665466,0.00000000,0.27113362,0.05248486
-5.90395198,4.63262294,1.09129980,4.34576218,0.00919512,0.07847740,0.29441619,0.00000000,0.27984531,0.05289888
-5.89794897,4.70150306,1.13366502,4.40225787,0.00957468,0.08103131,0.29282935,0.00000000,0.28911172,0.05348269
-5.89194597,4.77273681,1.17717331,4.45914825,0.00998178,0.08368419,0.29191273,0.00000000,0.29885958,0.05422580
-5.88594297,4.84575534,1.22158078,4.51597878,0.01041071,0.08640954,0.29167413,0.00000000,0.30900036,0.05511328
-5.87993997,4.91997623,1.26663813,4.57232357,0.01085488,0.08917779,0.29211093,0.00000000,0.31943208,0.05612628
-5.87393697,4.99481188,1.31209041,4.62779089,0.01130692,0.09195692,0.29321046,0.00000000,0.33004138,0.05724243
-5.86793397,5.06967547,1.35767619,4.68202502,0.01175884,0.09471325,0.29495057,0.00000000,0.34070585,0.05843654
-5.86193097,5.14398463,1.40312639,4.73470462,0.01220225,0.09741226,0.29730021,0.00000000,0.35129651,0.05968128
-5.85592796,5.21716360,1.44816337,4.78553871,0.01262856,0.10001940,0.30021999,0.00000000,0.36168055,0.06094800
-5.84992496,5.28864465,1.49250064,4.83426077,0.01302923,0.10250101,0.30366275,0.00000000,0.37172418,0.06220756
-5.84392196,5.35786963,1.53584361,4.88062240,0.01339598,0.10482518,0.30757422,0.00000000,0.38129562,0.06343122
-5.83791896,5.42429259,1.57789169,4.92438724,0.01372111,0.10696273,0.31189362,0.00000000,0.39026827,0.06459154
-5.83191596,5.48738409,1.61834206,4.96532645,0.01399768,0.10888803,0.31655442,0.00000000,0.39852387,0.06566326
-5.82591296,5.54663789,1.65689511,5.00321617,0.01421978,0.11057998,0.32148516,0.00000000,0.40595579,0.06662416
