energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-6.00000000,2.54572785,0.00121788,0.22678681,0.11829467,1.57511765,0.27780990,0.22727373,0.77356342,0.37721206
-5.99399700,2.60413336,0.00114884,0.24273844,0.12113615,1.60579786,0.29218712,0.24464162,0.77909446,0.37113993
-5.98799400,2.66743158,0.00108679,0.26060669,0.12375650,1.63688513,0.30790739,0.26378829,0.78517563,0.36560341
-5.98199100,2.73404442,0.00103147,0.28035706,0.12605537,1.66721817,0.32485354,0.28464954,0.79108330,0.36043030
-5.97598799,2.80244657,0.00098254,0.30192726,0.12794339,1.69571528,0.34289243,0.30713254,0.79614297,0.35546124
-5.96998499,2.87119358,0.00093958,0.32522657,0.12934426,1.72139608,0.36187614,0.33111552,0.79974615,0.35055419
-5.96398199,2.93894605,0.00090211,0.35013607,0.13019648,1.74339944,0.38164348,0.35644817,0.80136425,0.34558825
-5.95797899,3.00448964,0.00086960,0.37650974,0.13045453,1.76099709,0.40202199,0.38295303,0.80055951,0.34046682
-5.95197599,3.06675099,0.00084152,0.40417638,0.13008968,1.77360301,0.42283034,0.41042776,0.79699249,0.33511972
-5.94597299,3.12480932,0.00081732,0.43294252,0.12909026,1.78077843,0.44388113,0.43864827,0.79042641,0.32950457
-5.93996998,3.17790411,0.00079649,0.46259607,0.12746140,1.78223280,0.46498418,0.46737280,0.78072808,0.32360711
-5.93396698,3.22543886,0.00077853,0.49291080,0.12522435,1.77782088,0.48594995,0.49634670,0.76786580,0.31744071
-5.92796398,3.26698147,0.00076301,0.52365132,0.12241531,1.76753650,0.50659336,0.52530786,0.75190440,0.31104496
-5.92196098,3.30226131,0.00074955,0.55457849,0.11908392,1.75150338,0.52673756,0.55399258,0.73299769,0.30448354
-5.91595798,3.33116356,0.00073783,0.58545502,0.11529134,1.72996368,0.54621771,0.58214166,0.71137886,0.29784140
-5.90995498,3.35372106,0.00072760,0.61605096,0.11110810,1.70326472,0.56488460,0.60950654,0.68734907,0.29122145
-5.90395198,3.37010393,0.00071868,0.64614902,0.10661178,1.67184446,0.58260791,0.63585513,0.66126492,0.28474084
-5.89794897,3.38060744,0.00071097,0.67554928,0.10188456,1.63621637,0.59927900,0.66097720,0.63352502,0.27852707
-5.89194597,3.38563821,0.00070442,0.70407326,0.09701073,1.59695388,0.61481317,0.68468912,0.60455645,0.27271396
-5.88594297,3.38569909,0.00069904,0.73156711,0.09207433,1.55467506,0.62915124,0.70683767,0.57480121,0.26743773
-5.87993997,3.38137290,0.00069491,0.75790386,0.08715678,1.51002770,0.64226037,0.72730291,0.54470339,0.26283325
-5.87393697,3.37330532,0.00069213,0.78298460,0.08233487,1.46367502,0.65413415,0.74599992,0.51469716,0.25903055
-5.86793397,3.36218700,0.00069083,0.80673863,0.07767884,1.41628218,0.66479186,0.76287936,0.48519607,0.25615172
-5.86193097,3.34873536,0.00069115,0.82912264,0.07325089,1.36850370,0.67427711,0.77792702,0.45658372,0.25430824
-5.85592796,3.33367609,0.00069326,0.85011891,0.06910392,1.32097193,0.68265567,0.79116220,0.42920607,0.25359865
-5.84992496,3.31772495,0.00069730,0.86973281,0.06528065,1.27428637,0.69001278,0.80263515,0.40336547,0.25410673
-5.84392196,3.30156985,0.00070340,0.88798964,0.06181307,1.22900417,0.69644998,0.81242379,0.37931629,0.25590001
-5.83791896,3.28585399,0.00071165,0.90493105,0.05872227,1.18563160,0.70208153,0.82062962,0.35726233,0.25902873
-5.83191596,3.27116003,0.00072212,0.92061118,0.05601855,1.14461663,0.70703060,0.82737335,0.33735568,0.26352500
-5.82591296,3.25799604,0.00073483,0.93509278,0.05370186,1.10634266,0.71142537,0.83279008,0.31969706,0.26940226
-5.81990995,3.24678328,0.00074972,0.94844344,0.05176253,1.07112340,0.71539512,0.83702455,0.30433744,0.27665490
