energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,2.10288772,0.00776159,0.14368044,1.10532555,0.51067273,0.01641876,0.89580362
-5.99399700,2.17349135,0.00724974,0.15128257,1.15475461,0.52673315,0.01615125,0.92323131
-5.98799400,2.25694508,0.00689705,0.16049964,1.20855688,0.54613672,0.01618887,0.95478887
-5.98199100,2.35335426,0.00670285,0.17134430,1.26676826,0.56895187,0.01653862,0.99050582
-5.97598799,2.46269157,0.00666638,0.18380900,1.32937762,0.59521755,0.01720514,1.03037292
-5.96998499,2.58478043,0.00678706,0.19786526,1.39631600,0.62493899,0.01819082,1.07433429
-5.96398199,2.71927998,0.00706472,0.21346325,1.46744701,0.65808368,0.01949573,1.12227990
-5.95797899,2.86567337,0.00749989,0.23053180,1.54255952,0.69457791,0.02111771,1.17403927
-5.95197599,3.02326106,0.00809386,0.24897899,1.62136350,0.73430421,0.02305230,1.22937708
-5.94597299,3.19116026,0.00884888,0.26869329,1.70348950,0.77710018,0.02529274,1.28799126
-5.93996998,3.36831165,0.00976809,0.28954531,1.78849248,0.82275882,0.02782995,1.34951413
-5.93396698,3.55349378,0.01085555,0.31139006,1.87585979,0.87103057,0.03065246,1.41351687
-5.92796398,3.74534497,0.01211605,0.33406980,1.96502333,0.92162701,0.03374642,1.47951722
-5.92196098,3.94239194,0.01355489,0.35741721,2.05537510,0.97422620,0.03709560,1.54699022
-5.91595798,4.14308391,0.01517760,0.38125881,2.14628536,1.02847921,0.04068138,1.61538147
-5.90995498,4.34583012,0.01698950,0.40541842,2.23712224,1.08401764,0.04448279,1.68412213
-5.90395198,4.54903860,0.01899530,0.42972056,2.32727138,1.14046139,0.04847658,1.75264475
-5.89794897,4.75115374,0.02119849,0.45399348,2.41615428,1.19742640,0.05263727,1.82039882
-5.89194597,4.95069011,0.02360084,0.47807165,2.50324395,1.25453159,0.05693720,1.88686509
-5.88594297,5.14626027,0.02620175,0.50179769,2.58807672,1.31140459,0.06134668,1.95156757
-5.87993997,5.33659476,0.02899767,0.52502347,2.67025914,1.36768591,0.06583403,2.01408240
-5.87393697,5.52055292,0.03198152,0.54761046,2.74946955,1.42303111,0.07036568,2.07404304
-5.86793397,5.69712399,0.03514220,0.56942925,2.82545403,1.47711105,0.07490636,2.13114135
-5.86193097,5.86541870,0.03846413,0.59035836,2.89801700,1.52961015,0.07941915,2.18512461
-5.85592796,6.02465241,0.04192700,0.61028253,2.96700725,1.58022305,0.08386569,2.23578883
-5.84992496,6.17412144,0.04550563,0.62909058,3.03230037,1.62865001,0.08820639,2.28296899
-5.84392196,6.31317500,0.04917000,0.64667311,3.09377910,1.67459171,0.09240073,2.32652699
-5.83791896,6.44118548,0.05288552,0.66292041,3.15131309,1.71774408,0.09640760,2.36633862
-5.83191596,6.55752013,0.05661348,0.67772061,3.20473983,1.75779392,0.10018572,2.40228050
-5.82591296,6.66151694,0.06031177,0.69095851,3.25384837,1.79441600,0.10369427,2.43421840
-5.81990995,6.75246763,0.06393569,0.70251526,3.29836729,1.82727219,0.10689349,2.46199795
-5.81390695,6.82960964,0.06743911,0.71226890,3.33795803,1.85601327,0.10974551,2.48543870
-5.80790395,6.89212895,0.07077560,0.72009605,3.37221451,1.88028357,0.11221519,2.50433224
-5.80190095,6.93917407,0.07389985,0.72587459,3.40066922,1.89972859,0.11427108,2.51844467
-5.79589795,6.96988135,0.07676896,0.72948732,3.42280574,1.91400542,0.11588645,2.52752356
-5.78989495,6.98341018,0.07934392,0.73082644,3.43807709,1.92279571,0.11704027,2.53130901
-5.78389195,6.97898658,0.08159089,0.72979867,3.44592884,1.92582036,0.11771821,2.52954814
-5.77788894,6.95595232,0.08348248,0.72633061,3.44582566,1.92285549,0.11791355,2.52201219
-5.77188594,6.91381673,0.08499874,0.72037421,3.43727977,1.91374848,0.11762794,2.50851503
-5.76588294,6.85230784,0.08612808,0.71191185,3.41987941,1.89843342,0.11687202,2.48893196
-5.75987994,6.77141948,0.08686783,0.70096085,3.39331579,1.87694479,0.11566579,2.46321744
-5.75387694,6.67145137,0.08722454,0.68757700,3.35740681,1.84942866,0.11403875,2.43142064
-5.74787394,6.55303917,0.08721404,0.67185692,3.31211614,1.81615053,0.11202977,2.39369771
-5.74187094,6.41717266,0.08686116,0.65393914,3.25756668,1.77749921,0.10968664,2.35032005
-5.73586793,6.26520039,0.08619913,0.63400358,3.19404767,1.73398631,0.10706537,2.30167779
-5.72986493,6.09882009,0.08526881,0.61226957,3.12201501,1.68624132,0.10422921,2.24827847
-5.72386193,5.92005508,0.08411763,0.58899243,3.04208508,1.63500194,0.10124740,2.19074065
-5.71785893,5.73121729,0.08279831,0.56445859,2.95502233,1.58110032,0.09819374,2.12978286
-5.71185593,5.53485851,0.08136750,0.53897962,2.86172160,1.52544532,0.09514493,2.06620835
-5.70585293,5.33371173,0.07988423,0.51288520,2.76318598,1.46900155,0.09217882,2.00088630
-5.69984992,5.13062503,0.07840840,0.48651551,2.66050156,1.41276583,0.08937257,1.93473033
-5.69384692,4.92849052,0.07699915,0.46021313,2.55481035,1.35774188,0.08680077,1.86867516
-5.68784392,4.73017110,0.07571330,0.43431495,2.44728247,1.30491418,0.08453353,1.80365244
-5.68184092,4.53842758,0.07460388,0.40914422,2.33908905,1.25522166,0.08263472,1.74056642
-5.67583792,4.35584875,0.07371863,0.38500313,2.23137675,1.20953225,0.08116021,1.68027061
-5.66983492,4.18478653,0.07309875,0.36216614,2.12524485,1.16861900,0.08015629,1.62354584
-5.66383192,4.02729833,0.07277771,0.34087426,2.02172561,1.13313849,0.07965828,1.57108063
-5.65782891,3.88509807,0.07278021,0.32133047,1.92176835,1.10361226,0.07968932,1.52345424
-5.65182591,3.75951737,0.07312141,0.30369639,1.82622757,1.08041169,0.08025943,1.48112297
-5.64582291,3.65147788,0.07380628,0.28809026,1.73585516,1.06374708,0.08136484,1.44440992
-5.63981991,3.56147532,0.07482920,0.27458633,1.65129654,1.05366098,0.08298763,1.41349861
-5.63381691,3.48957586,0.07617387,0.26321550,1.57309067,1.05002639,0.08509571,1.38843049
-5.62781391,3.43542473,0.07781341,0.25396733,1.50167327,1.05254971,0.08764318,1.36910656
-5.62181091,3.39826698,0.07971081,0.24679316,1.43738311,1.06077871,0.09057106,1.35529301
-5.61580790,3.37697968,0.08181964,0.24161027,1.38047060,1.07411521,0.09380845,1.34663072
-5.60980490,3.37011496,0.08408512,0.23830689,1.33110818,1.09183240,0.09727402,1.34264865
-5.60380190,3.37595232,0.08644539,0.23674789,1.28940180,1.11309622,0.10087794,1.34278047
-5.59779890,3.39255874,0.08883315,0.23678083,1.25540290,1.13699029,0.10452410,1.34638420
-5.59179590,3.41785474,0.09117750,0.23824224,1.22912013,1.16254359,0.10811266,1.35276407
-5.58579290,3.44968375,0.09340590,0.24096381,1.21053002,1.18875995,0.11154278,1.36119403
-5.57978989,3.48588252,0.09544641,0.24477817,1.19958615,1.21464841,0.11471551,1.37094188
-5.57378689,3.52434963,0.09722981,0.24952420,1.19622581,1.23925319,0.11753667,1.38129313
-5.56778389,3.56310932,0.09869183,0.25505143,1.20037401,1.26168214,0.11991970,1.39157355
-5.56178089,3.60036790,0.09977513,0.26122343,1.21194395,1.28113258,0.12178825,1.40116953
-5.55577789,3.63456025,0.10043119,0.26792013,1.23083408,1.29691334,0.12307853,1.40954504
