energy_ev,total_up,Au_p_up,Au_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.87938823,0.07756279,0.79163650,0.02766564,0.02930699,0.00439151,0.00212294,0.09653230,0.00000000
-5.99399700,0.86770902,0.07711792,0.77996962,0.02815647,0.02888014,0.00427853,0.00233704,0.09552386,0.00000000
-5.98799400,0.85262616,0.07650643,0.76486328,0.02866371,0.02846718,0.00414290,0.00259764,0.09426323,0.00000000
-5.98199100,0.83472763,0.07579989,0.74679135,0.02922029,0.02810904,0.00398691,0.00291371,0.09283526,0.00000000
-5.97598799,0.81468592,0.07507843,0.72630217,0.02986367,0.02784892,0.00381320,0.00329488,0.09133428,0.00000000
-5.96998499,0.79324219,0.07442914,0.70400506,0.03063501,0.02773132,0.00362459,0.00375127,0.08986203,0.00000000
-5.96398199,0.77118814,0.07394413,0.68055525,0.03157832,0.02780106,0.00342406,0.00429336,0.08852538,0.00000000
-5.95797899,0.74934606,0.07371829,0.65663716,0.03273926,0.02810220,0.00321463,0.00493164,0.08743374,0.00000000
-5.95197599,0.72854766,0.07384693,0.63294702,0.03416382,0.02867688,0.00299932,0.00567641,0.08669625,0.00000000
-5.94597299,0.70961227,0.07442316,0.61017494,0.03589684,0.02956416,0.00278107,0.00653739,0.08641895,0.00000000
-5.93996998,0.69332489,0.07553526,0.58898722,0.03798036,0.03079884,0.00256268,0.00752336,0.08670174,0.00000000
-5.93396698,0.68041496,0.07726397,0.57000929,0.04045195,0.03241029,0.00234671,0.00864178,0.08763554,0.00000000
-5.92796398,0.67153624,0.07967986,0.55380980,0.04334298,0.03442134,0.00213552,0.00989837,0.08929942,0.00000000
-5.92196098,0.66724855,0.08284086,0.54088639,0.04667692,0.03684723,0.00193116,0.01129674,0.09175800,0.00000000
-5.91595798,0.66800199,0.08679001,0.53165349,0.05046785,0.03969471,0.00173538,0.01283797,0.09505916,0.00000000
-5.90995498,0.67412405,0.09155350,0.52643251,0.05471903,0.04296132,0.00154962,0.01452034,0.09923207,0.00000000
-5.90395198,0.68581010,0.09713920,0.52544480,0.05942184,0.04663487,0.00137499,0.01633904,0.10428575,0.00000000
-5.89794897,0.70311778,0.10353556,0.52880746,0.06455500,0.05069317,0.00121229,0.01828601,0.11020813,0.00000000
-5.89194597,0.72596526,0.11071117,0.53653223,0.07008419,0.05510408,0.00106204,0.02034989,0.11696574,0.00000000
