energy_ev,total_up,Ag_p_up,Ag_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.08613070,1.72896227,3.40061797,0.97043960,0.54640042,0.00855122,0.48624604,0.01624214,1.43721588
-5.99399700,6.17363928,1.73230101,3.46743161,0.96949336,0.55118680,0.00842712,0.49946868,0.01586993,1.44357485
-5.98799400,6.24861698,1.73170550,3.52779794,0.96639186,0.55461238,0.00826588,0.51148168,0.01542057,1.44695792
-5.98199100,6.31043457,1.72711236,3.58123197,0.96120924,0.55668839,0.00806856,0.52209599,0.01489938,1.44740352
-5.97598799,6.35869716,1.71853192,3.62736326,0.95407193,0.55745242,0.00783705,0.53113917,0.01431345,1.44501804
-5.96998499,6.39323226,1.70604180,3.66593390,0.94515214,0.55696485,0.00757401,0.53845851,0.01367139,1.43996671
-5.96398199,6.41407233,1.68977876,3.69679407,0.93465951,0.55530480,0.00728277,0.54392377,0.01298304,1.43246244
-5.95797899,6.42143284,1.66992918,3.71989535,0.92283150,0.55256554,0.00696723,0.54742970,0.01225912,1.42275318
-5.95197599,6.41568751,1.64671909,3.73528243,0.90992305,0.54884985,0.00663174,0.54889809,0.01151087,1.41110875
-5.94597299,6.39734180,1.62040407,3.74308350,0.89619592,0.54426535,0.00628096,0.54827941,0.01074971,1.39780757
-5.93996998,6.36700602,1.59125974,3.74349971,0.88190841,0.53892018,0.00591969,0.54555399,0.00998689,1.38312424
-5.93396698,6.32536909,1.55957312,3.73679417,0.86730573,0.53291903,0.00555275,0.54073254,0.00923320,1.36731828
-5.92796398,6.27317386,1.52563527,3.72328064,0.85261161,0.52635989,0.00518482,0.53385619,0.00849871,1.35062473
-5.92196098,6.21119455,1.48973524,3.70331233,0.83802134,0.51933134,0.00482033,0.52499581,0.00779250,1.33324672
-5.91595798,6.14021692,1.45215551,3.67727100,0.82369649,0.51191067,0.00446334,0.51425072,0.00712257,1.31535040
-5.90995498,6.06102132,1.41316880,3.64555650,0.80976150,0.50416269,0.00411746,0.50174678,0.00649567,1.29706218
