energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,4.43183730,0.00786207,0.00000000,0.15653352,0.05985108,2.07089743,1.18118827,0.01744091,3.01082035
-5.99399700,4.40454821,0.00791980,0.00000000,0.15867168,0.06126273,2.03806834,1.16662963,0.01725773,2.98612163
-5.98799400,4.35882665,0.00793438,0.00000000,0.16029665,0.06267757,1.99496578,1.14829335,0.01698371,2.94828335
-5.98199100,4.29534364,0.00790542,0.00000000,0.16140214,0.06414063,1.94199469,1.12650650,0.01662212,2.89773708
-5.97598799,4.21523854,0.00783368,0.00000000,0.16199420,0.06571145,1.87979296,1.10169719,0.01617832,2.83522199
-5.96998499,4.12007450,0.00772102,0.00000000,0.16209088,0.06746330,1.80920428,1.07438097,0.01565957,2.76175355
-5.96398199,4.01178192,0.00757027,0.00000000,0.16172147,0.06948171,1.73124608,1.04514515,0.01507472,2.67858474
-5.95797899,3.89259177,0.00738517,0.00000000,0.16092535,0.07186248,1.64707343,1.01463130,0.01443389,2.58716114
-5.95197599,3.76496049,0.00717013,0.00000000,0.15975034,0.07470919,1.55794044,0.98351637,0.01374817,2.48907120
-5.94597299,3.63148909,0.00693014,0.00000000,0.15825071,0.07813012,1.46516052,0.95249266,0.01302917,2.38599354
-5.93996998,3.49483909,0.00667051,0.00000000,0.15648490,0.08223471,1.37006677,0.92224746,0.01228872,2.27964313
-5.93396698,3.35764837,0.00639676,0.00000000,0.15451303,0.08712967,1.27397410,0.89344262,0.01153850,2.17171818
-5.92796398,3.22244979,0.00611434,0.00000000,0.15239428,0.09291479,1.17814422,0.86669486,0.01078969,2.06384993
-5.92196098,3.09159565,0.00582854,0.00000000,0.15018445,0.09967854,1.08375462,0.84255738,0.01005274,1.95755696
-5.91595798,2.96719078,0.00554430,0.00000000,0.14793353,0.10749375,0.99187257,0.82150336,0.00933706,1.85420579
-5.90995498,2.85103645,0.00526608,0.00000000,0.14568377,0.11641328,0.90343447,0.80391207,0.00865089,1.75497916
-5.90395198,2.74458733,0.00499775,0.00000000,0.14346805,0.12646614,0.81923135,0.79005792,0.00800116,1.66085287
