energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,7.47267293,0.03658766,1.17150859,0.66758164,0.28927138,4.28691322,3.41730625,2.60239737,0.00000000
-5.99399700,7.67743201,0.03868221,1.18153393,0.67816178,0.30468632,4.43912611,3.48204100,2.69508549,0.00000000
-5.98799400,7.90996692,0.04071398,1.20097356,0.68802289,0.32069985,4.60913551,3.56282963,2.79083585,0.00000000
-5.98199100,8.16807894,0.04265049,1.22980020,0.69716060,0.33707806,4.79718297,3.65860586,2.88854031,0.00000000
-5.97598799,8.44878435,0.04445990,1.26776293,0.70556095,0.35356755,5.00300462,3.76789744,2.98693315,0.00000000
-5.96998499,8.74833908,0.04611167,1.31438517,0.71319640,0.36989965,5.22577469,3.88884956,3.08460636,0.00000000
-5.96398199,9.06228895,0.04757723,1.36896839,0.72002289,0.38579571,5.46406648,4.01925918,3.18003244,0.00000000
-5.95797899,9.38554498,0.04883074,1.43060194,0.72597820,0.40097316,5.71583403,4.15661953,3.27159449,0.00000000
-5.95197599,9.71248258,0.04984965,1.49817868,0.73098168,0.41515207,5.97841648,4.29817385,3.35762238,0.00000000
-5.94597299,10.03706206,0.05061532,1.57041655,0.73493541,0.42806214,6.24856651,4.44097712,3.43643404,0.00000000
-5.93996998,10.35296748,0.05111349,1.64588556,0.73772666,0.43944973,6.52250320,4.58196411,3.50638006,0.00000000
-5.93396698,10.65375961,0.05133464,1.72303976,0.73923168,0.44908467,6.79598869,4.71802214,3.56588993,0.00000000
-5.92796398,10.93303866,0.05127425,1.80025346,0.73932048,0.45676651,7.06442688,4.84606656,3.61351803,0.00000000
-5.92196098,11.18461135,0.05093288,1.87586087,0.73786249,0.46233009,7.32298142,4.96311695,3.64798739,0.00000000
-5.91595798,11.40265735,0.05031617,1.94819805,0.73473276,0.46565004,7.56670935,5.06637186,3.66822939,0.00000000
-5.90995498,11.58188937,0.04943461,2.01564603,0.72981834,0.46664410,7.79070565,5.15328012,3.67341780,0.00000000
-5.90395198,11.71770180,0.04830325,2.07667383,0.72302469,0.46527516,7.99025378,5.22160657,3.66299570,0.00000000
-5.89794897,11.80630282,0.04694126,2.12987995,0.71428166,0.46155185,8.16097630,5.26949039,3.63669436,0.00000000
-5.89194597,11.84482565,0.04537131,2.17403110,0.70354876,0.45552785,8.29897983,5.29549429,3.59454321,0.00000000
-5.88594297,11.83141512,0.04361901,2.20809671,0.69081959,0.44729982,8.40098857,5.29864296,3.53687084,0.00000000
-5.87993997,11.76528665,0.04171216,2.23127806,0.67612509,0.43700410,8.46446076,5.27844974,3.46429698,0.00000000
-5.87393697,11.64675552,0.03968004,2.24303089,0.65953552,0.42481248,8.48768337,5.23493053,3.37771606,0.00000000
-5.86793397,11.47723554,0.03755268,2.24308069,0.64116109,0.41092707,8.46984076,5.16860439,3.27827314,0.00000000
-5.86193097,11.25920694,0.03536015,2.23142996,0.62115113,0.39557452,8.41105432,5.08048076,3.16733330,0.00000000
-5.85592796,10.99615444,0.03313193,2.20835709,0.59969201,0.37900000,8.31239125,4.97203352,3.04644577,0.00000000
-5.84992496,10.69247759,0.03089634,2.17440680,0.57700366,0.36146088,8.17584165,4.84516246,2.91730423,0.00000000
-5.84392196,10.35337586,0.02868003,2.13037249,0.55333506,0.34322061,8.00426478,4.70214329,2.78170479,0.00000000
-5.83791896,9.98471243,0.02650764,2.07727089,0.52895869,0.32454277,7.80130622,4.54556738,2.64150304,0.00000000
