energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.11288340,0.00842346,0.11287401,0.79722045,0.91651286,0.84981111,0.00000000,0.70987912,0.44393684
-5.99399700,2.13243856,0.00862911,0.11585008,0.81337573,0.91919179,0.86966779,0.00000000,0.73476167,0.44113808
-5.98799400,2.14711134,0.00883285,0.11861173,0.82781756,0.92011822,0.88767331,0.00000000,0.75811214,0.43673648
-5.98199100,2.15705695,0.00903817,0.12114297,0.84048813,0.91938778,0.90373321,0.00000000,0.77973125,0.43088339
-5.97598799,2.16248990,0.00924894,0.12343005,0.85135009,0.91710696,0.91778463,0.00000000,0.79944939,0.42374885
-5.96998499,2.16367998,0.00946926,0.12546186,0.86038793,0.91339251,0.92979802,0.00000000,0.81713238,0.41551629
-5.96398199,2.16094888,0.00970332,0.12723046,0.86760957,0.90837184,0.93977856,0.00000000,0.83268656,0.40637723
-5.95797899,2.15466715,0.00995522,0.12873151,0.87304789,0.90218424,0.94776710,0.00000000,0.84606285,0.39652630
-5.95197599,2.14525101,0.01022884,0.12996466,0.87676188,0.89498252,0.95384028,0.00000000,0.85725934,0.38615659
-5.94597299,2.13315851,0.01052754,0.13093386,0.87883712,0.88693462,0.95810954,0.00000000,0.86632218,0.37545552
-5.93996998,2.11888448,0.01085406,0.13164745,0.87938540,0.87822502,0.96071896,0.00000000,0.87334450,0.36460112
-5.93396698,2.10295403,0.01121022,0.13211805,0.87854318,0.86905528,0.96184165,0.00000000,0.87846321,0.35375890
-5.92796398,2.08591408,0.01159677,0.13236223,0.87646876,0.85964377,0.96167473,0.00000000,0.88185376,0.34307924
-5.92196098,2.06832312,0.01201322,0.13239996,0.87333826,0.85022402,0.96043301,0.00000000,0.88372293,0.33269530
-5.91595798,2.05073897,0.01245768,0.13225381,0.86934033,0.84104188,0.95834145,0.00000000,0.88430001,0.32272143
-5.90995498,2.03370521,0.01292676,0.13194798,0.86466990,0.83235129,0.95562687,0.00000000,0.88382667,0.31325202
-5.90395198,2.01773651,0.01341554,0.13150722,0.85952119,0.82440897,0.95250905,0.00000000,0.88254619,0.30436089
-5.89794897,2.00330365,0.01391760,0.13095562,0.85408039,0.81746810,0.94919200,0.00000000,0.88069238,0.29610106
-5.89194597,1.99081915,0.01442508,0.13031543,0.84851844,0.81177141,0.94585553,0.00000000,0.87847901,0.28850498
-5.88594297,1.98062399,0.01492886,0.12960599,0.84298428,0.80754405,0.94264790,0.00000000,0.87609015,0.28158516
-5.87993997,1.97297672,0.01541880,0.12884277,0.83759905,0.80498666,0.93967982,0.00000000,0.87367213,0.27533529
-5.87393697,1.96804518,0.01588398,0.12803662,0.83245166,0.80426894,0.93702031,0.00000000,0.87132734,0.26973168
-5.86793397,1.96590187,0.01631308,0.12719336,0.82759591,0.80552434,0.93469450,0.00000000,0.86911046,0.26473513
-5.86193097,1.96652303,0.01669475,0.12631353,0.82304948,0.80884593,0.93268380,0.00000000,0.86702711,0.26029314
-5.85592796,1.96979184,0.01701801,0.12539266,0.81879482,0.81428385,0.93092815,0.00000000,0.86503506,0.25634239
-5.84992496,1.97550552,0.01727267,0.12442166,0.81478188,0.82184448,0.92933054,0.00000000,0.86304793,0.25281153
-5.84392196,1.98338621,0.01744970,0.12338764,0.81093271,0.83149136,0.92776328,0.00000000,0.86094110,0.24962403
-5.83791896,1.99309496,0.01754165,0.12227492,0.80714738,0.84314778,0.92607597,0.00000000,0.85855954,0.24670124
-5.83191596,2.00424837,0.01754289,0.12106621,0.80331130,0.85670105,0.92410444,0.00000000,0.85572715,0.24396529
-5.82591296,2.01643702,0.01744992,0.11974398,0.79930312,0.87200803,0.92168042,0.00000000,0.85225705,0.24134199
-5.81990995,2.02924481,0.01726152,0.11829181,0.79500321,0.88890185,0.91864137,0.00000000,0.84796235,0.23876352
-5.81390695,2.04226843,0.01697886,0.11669578,0.79030197,0.90719933,0.91483995,0.00000000,0.84266696,0.23617074
-5.80790395,2.05513606,0.01660547,0.11494571,0.78510778,0.92670894,0.91015271,0.00000000,0.83621584,0.23351527
-5.80190095,2.06752453,0.01614715,0.11303628,0.77935413,0.94723867,0.90448765,0.00000000,0.82848429,0.23076112
-5.79589795,2.07917425,0.01561184,0.11096789,0.77300560,0.96860373,0.89779027,0.00000000,0.81938599,0.22788580
-5.78989495,2.08990133,0.01500934,0.10874734,0.76606249,0.99063349,0.89004792,0.00000000,0.80887936,0.22488109
-5.78389195,2.09960633,0.01435102,0.10638814,0.75856385,1.01317748,0.88129235,0.00000000,0.79697215,0.22175322
-5.77788894,2.10827944,0.01364945,0.10391056,0.75058886,1.03611008,0.87160028,0.00000000,0.78372399,0.21852264
-5.77188594,2.11600171,0.01291802,0.10134140,0.74225635,1.05933370,0.86109214,0.00000000,0.76924700,0.21522336
-5.76588294,2.12294227,0.01217059,0.09871341,0.73372270,1.08278017,0.84992898,0.00000000,0.75370430,0.21190178
-5.75987994,2.12935156,0.01142100,0.09606449,0.72517784,1.10641025,0.83830768,0.00000000,0.73730654,0.20861525
-5.75387694,2.13555063,0.01068278,0.09343661,0.71683979,1.13021125,0.82645469,0.00000000,0.72030659,0.20543015
-5.74787394,2.14191674,0.00996875,0.09087453,0.70894763,1.15419257,0.81461850,0.00000000,0.70299257,0.20241979
-5.74187094,2.14886569,0.00929074,0.08842439,0.70175322,1.17837950,0.80306098,0.00000000,0.68567929,0.19966189
