energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,4.64638400,0.93996654,2.88509111,0.00652252,0.67887140,0.05787506,0.61677278
-5.99399700,4.61503622,0.93531188,2.87301336,0.00630088,0.67537957,0.05634242,0.60757100
-5.98799400,4.57459625,0.92757762,2.85646637,0.00606664,0.67016010,0.05464043,0.59705821
-5.98199100,4.52811408,0.91732832,2.83734095,0.00582522,0.66361499,0.05281617,0.58568694
-5.97598799,4.47879798,0.90520197,2.81760331,0.00558201,0.65617431,0.05091823,0.57393139
-5.96998499,4.42991115,0.89189107,2.79923042,0.00534230,0.64828182,0.04899512,0.56227304
-5.96398199,4.38466676,0.87812171,2.78414489,0.00511109,0.64038024,0.04709386,0.55118627
-5.95797899,4.34612511,0.86463131,2.77415195,0.00489303,0.63289671,0.04525842,0.54112434
-5.95197599,4.31709693,0.85214586,2.77088072,0.00469228,0.62622890,0.04352853,0.53250635
-5.94597299,4.30005629,0.84135756,2.77573224,0.00451245,0.62073248,0.04193849,0.52570554
-5.93996998,4.29706626,0.83290355,2.78983595,0.00435658,0.61671015,0.04051627,0.52103941
-5.93396698,4.30971989,0.82734653,2.81401632,0.00422706,0.61440289,0.03928283,0.51876185
-5.92796398,4.33909845,0.82515795,2.84877076,0.00412568,0.61398342,0.03825173,0.51905759
-5.92196098,4.38574818,0.82670431,2.89425940,0.00405359,0.61555235,0.03742896,0.52203901
-5.91595798,4.44967589,0.83223702,2.95030696,0.00401139,0.61913685,0.03681306,0.52774537
-5.90995498,4.53036306,0.84188606,3.01641642,0.00399917,0.62469197,0.03639548,0.53614433
-5.90395198,4.62679745,0.85565769,3.09179340,0.00401653,0.63210441,0.03616119,0.54713568
-5.89794897,4.73752024,0.87343601,3.17538030,0.00406272,0.64119849,0.03608951,0.56055689
-5.89194597,4.86068638,0.89498841,3.26589824,0.00413670,0.65174413,0.03615504,0.57619024
-5.88594297,4.99413533,0.91997453,3.36189490,0.00423720,0.66346623,0.03632881,0.59377126
-5.87993997,5.13546877,0.94795826,3.46179615,0.00436281,0.67605529,0.03657946,0.61299779
-5.87393697,5.28213207,0.97842240,3.56395902,0.00451202,0.68917858,0.03687449,0.63353967
-5.86793397,5.43149591,1.01078533,3.66672384,0.00468330,0.70249163,0.03718148,0.65504831
-5.86193097,5.58093491,1.04441901,3.76846326,0.00487513,0.71564935,0.03746928,0.67716591
-5.85592796,5.72790016,1.07866775,3.86762643,0.00508599,0.72831660,0.03770913,0.69953411
-5.84992496,5.86998315,1.11286701,3.96277649,0.00531438,0.74017765,0.03787561,0.72180160
-5.84392196,6.00496912,1.14636166,4.05262039,0.00555882,0.75094445,0.03794746,0.74363071
