energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.32039660,-9.77271681,0.02481898,-0.16373930,0.19983607,-0.74383147,1.61603309,-3.83244636,0.46550361,-1.16822394,0.27260165,-1.38445510,0.12904317,-0.29587166,0.07234870,-0.12198358,1.70067419,-5.03033486
-5.99399700,3.10022779,-9.48288070,0.02312778,-0.16007836,0.19189299,-0.72213920,1.55955709,-3.71095203,0.43313761,-1.14015548,0.25204485,-1.32771741,0.12203000,-0.28845273,0.06747949,-0.12098079,1.58337051,-4.87843604
-5.98799400,2.91058486,-9.16901863,0.02187362,-0.15574784,0.18711588,-0.69903568,1.52120980,-3.58068056,0.40505202,-1.10903938,0.23570852,-1.26769132,0.11623030,-0.28025762,0.06296457,-0.11985778,1.48011800,-4.71384170
-5.98199100,2.75303859,-8.83575139,0.02105933,-0.15081402,0.18562904,-0.67484028,1.50190619,-3.44383082,0.38152678,-1.07531893,0.22360277,-1.20519661,0.11173399,-0.27142090,0.05885359,-0.11862518,1.39168169,-4.53901074
-5.97598799,2.62886292,-8.48776437,0.02068519,-0.14535344,0.18753342,-0.64987910,1.50233227,-3.30261842,0.36281183,-1.03945276,0.21571449,-1.14105929,0.10861679,-0.26208189,0.05519105,-0.11729153,1.31867860,-4.35642481
-5.96998499,2.53902137,-8.12968690,0.02074890,-0.13945079,0.19290475,-0.62447532,1.52292920,-3.15922701,0.34912371,-1.00190102,0.21200883,-1.07609122,0.10693943,-0.25238095,0.05201586,-0.11586271,1.26157214,-4.16852693
-5.96398199,2.48415261,-7.76598295,0.02124543,-0.13319644,0.20179127,-0.59894036,1.56387927,-3.01576451,0.34064154,-0.96311288,0.21242995,-1.01107138,0.10674685,-0.24245624,0.04936087,-0.11434163,1.22066655,-3.97766627
-5.95797899,2.46455535,-7.40085706,0.02216675,-0.12668401,0.21421105,-0.57356645,1.62509404,-2.87422536,0.33750248,-0.92351561,0.21690121,-0.94672936,0.10806727,-0.23244071,0.04725244,-0.11272817,1.19610167,-3.78605080
-5.95197599,2.48017281,-7.03817843,0.02350151,-0.12000786,0.23014888,-0.54862066,1.70620512,-2.73645977,0.33979669,-0.88350583,0.22532471,-0.88373170,0.11091133,-0.22245971,0.04571007,-0.11101927,1.18784788,-3.59570932
-5.94597299,2.53057728,-6.68142510,0.02523462,-0.11326061,0.24955300,-0.52434066,1.80655829,-2.60415019,0.34756178,-0.84344309,0.23758034,-0.82267150,0.11527116,-0.21262905,0.04474591,-0.10920937,1.19570172,-3.40846371
-5.93996998,2.61495570,-6.33364869,0.02734684,-0.10653097,0.27233162,-0.50093227,1.92521140,-2.47879514,0.36077707,-0.80364602,0.25352449,-0.76406141,0.12111946,-0.20305374,0.04436448,-0.10729101,1.21928214,-3.22591157
-5.93396698,2.73209739,-5.99745938,0.02981435,-0.09990169,0.29834961,-0.47856873,2.06093701,-2.36170003,0.37935783,-0.76439090,0.27298857,-0.70833009,0.12840870,-0.19382724,0.04456230,-0.10525562,1.25802814,-3.04941911
-5.92796398,2.88038515,-5.67502967,0.03260830,-0.09344788,0.32742557,-0.45739151,2.21223031,-2.25397422,0.40314975,-0.72591252,0.29577752,-0.65582203,0.13707038,-0.18503126,0.04532765,-0.10309445,1.31119799,-2.88012342
