energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-4.39119560,4.52070330,0.02732363,0.23106895,0.03875853,2.45072176,0.98867530,0.68600824
-4.38519260,4.62613307,0.02879744,0.22911807,0.03881948,2.52435725,1.01712738,0.70227445
-4.37918959,4.73451957,0.03034784,0.22873223,0.03895145,2.59703665,1.04413253,0.71992922
-4.37318659,4.84385179,0.03194427,0.22975528,0.03913115,2.66776861,1.06941651,0.73863398
-4.36718359,4.95237981,0.03355440,0.23202397,0.03933499,2.73574113,1.09280866,0.75807044
-4.36118059,5.05865980,0.03514488,0.23537240,0.03953969,2.80034224,1.11424639,0.77794905
-4.35517759,5.16158303,0.03668202,0.23963602,0.03972303,2.86117106,1.13377446,0.79801559
-4.34917459,5.26038818,0.03813265,0.24465529,0.03986450,2.91803890,1.15153934,0.81805568
-4.34317159,5.35465707,0.03946493,0.25027889,0.03994590,2.97096067,1.16777873,0.83789715
-4.33716858,5.44429482,0.04064914,0.25636637,0.03995192,3.02013721,1.18280687,0.85741026
-4.33116558,5.52949597,0.04165850,0.26279027,0.03987057,3.06592973,1.19699650,0.87650591
-4.32516258,5.61069896,0.04246986,0.26943768,0.03969355,3.10882773,1.21075820,0.89513197
-4.31915958,5.68853148,0.04306440,0.27621122,0.03941653,3.14941228,1.22451831,0.91326817
-4.31315658,5.76374999,0.04342809,0.28302937,0.03903925,3.18831649,1.23869649,0.93091956
-4.30715358,5.83717643,0.04355214,0.28982639,0.03856559,3.22618521,1.25368396,0.94810937
-4.30115058,5.90963546,0.04343322,0.29655158,0.03800342,3.26363605,1.26982361,0.96487123
-4.29514757,5.98189532,0.04307354,0.30316819,0.03736444,3.30122338,1.28739272,0.98124152
-4.28914457,6.05461493,0.04248078,0.30965194,0.03666384,3.33940715,1.30658919,0.99725207
-4.28314157,6.12829956,0.04166783,0.31598919,0.03591995,3.37852769,1.32752178,1.01292361
-4.27713857,6.20326693,0.04065242,0.32217498,0.03515374,3.41878750,1.35020463,1.02826035
-4.27113557,6.27962471,0.03945657,0.32821092,0.03438836,3.46024069,1.37455623,1.04324586
-4.26513257,6.35726004,0.03810597,0.33410304,0.03364859,3.50279006,1.40040262,1.05784055
-4.25912956,6.43584082,0.03662928,0.33985980,0.03296030,3.54619165,1.42748459,1.07198064
-4.25312656,6.51482819,0.03505734,0.34549017,0.03234993,3.59006621,1.45546814,1.08557893
-4.24712356,6.59349886,0.03342244,0.35100198,0.03184398,3.63391664,1.48395774,1.09852690
-4.24112056,6.67097567,0.03175751,0.35640056,0.03146853,3.67715017,1.51251154,1.11069841
-4.23511756,6.74626447,0.03009542,0.36168771,0.03124882,3.71910419,1.54065777,1.12195438
-4.22911456,6.81829520,0.02846829,0.36686094,0.03120888,3.75907409,1.56791144,1.13214851
-4.22311156,6.88596500,0.02690692,0.37191319,0.03137117,3.79634188,1.59379079,1.14113347
-4.21710855,6.94818135,0.02544027,0.37683271,0.03175626,3.83020437,1.61783268,1.14876739
-4.21110555,7.00390319,0.02409504,0.38160341,0.03238259,3.85999945,1.63960653,1.15492025
-4.20510255,7.05217855,0.02289533,0.38620531,0.03326618,3.88512978,1.65872627,1.15947988
-4.19909955,7.09217715,0.02186241,0.39061528,0.03442037,3.90508299,1.67486015,1.16235730
-4.19309655,7.12321712,0.02101451,0.39480789,0.03585561,3.91944775,1.68773829,1.16349105
-4.18709355,7.14478507,0.02036672,0.39875632,0.03757912,3.92792558,1.69715784,1.16285052
-4.18109055,7.15654923,0.01993088,0.40243325,0.03959465,3.93033808,1.70298599,1.16043794
-4.17508754,7.15836558,0.01971556,0.40581179,0.04190217,3.92662980,1.70516085,1.15628912
-4.16908454,7.15027730,0.01972600,0.40886617,0.04449753,3.91686688,1.70369056,1.15047277
-4.16308154,7.13250788,0.01996409,0.41157242,0.04737212,3.90123179,1.69865072,1.14308870
-4.15707854,7.10544857,0.02042837,0.41390879,0.05051263,3.88001464,1.69018041,1.13426465
-4.15107554,7.06964094,0.02111402,0.41585611,0.05390069,3.85360153,1.67847715,1.12415224
-4.14507254,7.02575536,0.02201285,0.41739792,0.05751273,3.82246034,1.66379079,1.11292203
-4.13906953,6.97456628,0.02311334,0.41852052,0.06131985,3.78712467,1.64641665,1.10075797
-4.13306653,6.91692534,0.02440070,0.41921295,0.06528781,3.74817625,1.62668803,1.08785145
-4.12706353,6.85373314,0.02585697,0.41946698,0.06937723,3.70622649,1.60496814,1.07439525
-4.12106053,6.78591070,0.02746115,0.41927707,0.07354391,3.66189760,1.58164168,1.06057759
-4.11505753,6.71437153,0.02918944,0.41864056,0.07773938,3.61580379,1.55710606,1.04657656
-4.10905453,6.63999515,0.03101556,0.41755790,0.08191171,3.56853316,1.53176250,1.03255507
-4.10305153,6.56360293,0.03291108,0.41603316,0.08600639,3.52063060,1.50600705,1.01865660
-4.09704852,6.48593713,0.03484595,0.41407474,0.08996755,3.47258234,1.48022176,1.00500186
-4.09104552,6.40764350,0.03678895,0.41169626,0.09373931,3.42480259,1.45476619,0.99168644
-4.08504252,6.32925827,0.03870841,0.40891769,0.09726718,3.37762260,1.42996937,0.97877956
-4.07903952,6.25119975,0.04057277,0.40576650,0.10049965,3.33128266,1.40612259,0.96632384
-4.07303652,6.17376459,0.04235133,0.40227890,0.10338971,3.28592715,1.38347307,0.95433616
-4.06703352,6.09712897,0.04401492,0.39850094,0.10589637,3.24160311,1.36221889,0.94280946
-4.06103052,6.02135409,0.04553661,0.39448939,0.10798601,3.19826212,1.34250519,0.93171527
-4.05502751,5.94639586,0.04689230,0.39031219,0.10963354,3.15576566,1.32442190,0.92100693
-4.04902451,5.87211789,0.04806130,0.38604848,0.11082327,3.11389370,1.30800305,0.91062325
-4.04302151,5.79830710,0.04902677,0.38178790,0.11154952,3.07235617,1.29322767,0.90049231
-4.03701851,5.72469098,0.04977606,0.37762918,0.11181677,3.03080694,1.28002225,0.89053534
-4.03101551,5.65095553,0.05030090,0.37367803,0.11163943,2.98885966,1.26826462,0.88067039
-4.02501251,5.57676293,0.05059745,0.37004409,0.11104129,2.94610487,1.25778917,0.87081554
-4.01900950,5.50176787,0.05066619,0.36683730,0.11005445,2.90212761,1.24839301,0.86089171
-4.01300650,5.42563196,0.05051171,0.36416353,0.10871803,2.85652479,1.23984303,0.85082472
-4.00700350,5.34803533,0.05014232,0.36211977,0.10707651,2.80892166,1.23188327,0.84054670
-4.00100050,5.26868511,0.04956959,0.36078910,0.10517786,2.75898657,1.22424267,0.82999682
-3.99499750,5.18732067,0.04880779,0.36023559,0.10307163,2.70644350,1.21664250,0.81912130
-3.98899450,5.10371541,0.04787329,0.36049955,0.10080690,2.65108191,1.20880362,0.80787288
-3.98299150,5.01767571,0.04678393,0.36159321,0.09843040,2.59276347,1.20045298,0.79620983
-3.97698849,4.92903729,0.04555838,0.36349741,0.09598476,2.53142560,1.19132947,0.78409464
-3.97098549,4.83765982,0.04421558,0.36615923,0.09350702,2.46708177,1.18118888,0.77149259
-3.96498249,4.74342046,0.04277416,0.36949100,0.09102747,2.39981867,1.16980792,0.75837034
-3.95897949,4.64620732,0.04125205,0.37337078,0.08856892,2.32979072,1.15698743,0.74469477
-3.95297649,4.54591361,0.03966606,0.37764430,0.08614631,2.25721215,1.14255469,0.73043212
-3.94697349,4.44243335,0.03803167,0.38212850,0.08376682,2.18234738,1.12636503,0.71554767
-3.94097049,4.33565923,0.03636286,0.38661653,0.08143028,2.10550022,1.10830291,0.70000594
-3.93496748,4.22548316,0.03467201,0.39088393,0.07913010,2.02700255,1.08828248,0.68377151
-3.92896448,4.11179972,0.03297002,0.39469603,0.07685434,1.94720311,1.06624790,0.66681035
-3.92296148,3.99451263,0.03126630,0.39781593,0.07458710,1.86645704,1.04217344,0.64909179
-3.91695848,3.87354391,0.02956900,0.40001302,0.07231005,1.78511655,1.01606349,0.63059086
-3.91095548,3.74884530,0.02788518,0.40107142,0.07000398,1.70352322,0.98795264,0.61129088
-3.90495248,3.62041136,0.02622099,0.40079814,0.06765030,1.62200218,0.95790561,0.59118625
-3.89894947,3.48829337,0.02458191,0.39903053,0.06523252,1.54085824,0.92601730,0.57028521
-3.89294647,3.35261318,0.02297291,0.39564266,0.06273737,1.46037398,0.89241270,0.54861229
-3.88694347,3.21357598,0.02139863,0.39055039,0.06015585,1.38080972,0.85724670,0.52621047
-3.88094047,3.07148128,0.01986347,0.38371501,0.05748383,1.30240510,0.82070366,0.50314280
-3.87493747,2.92673113,0.01837171,0.37514510,0.05472250,1.22538186,0.78299666,0.47949330
-3.86893447,2.77983504,0.01692752,0.36489688,0.05187839,1.14994756,0.74436643,0.45536724
-3.86293147,2.63141117,0.01553496,0.35307283,0.04896314,1.07629979,0.70507974,0.43089062
-3.85692846,2.48218351,0.01419797,0.33981883,0.04599305,1.00463044,0.66542738,0.40620892
-3.85092546,2.33297515,0.01292027,0.32531997,0.04298838,0.93512971,0.62572162,0.38148516
-3.84492246,2.18469787,0.01170531,0.30979535,0.03997250,0.86798956,0.58629320,0.35689741
-3.83891946,2.03833851,0.01055622,0.29349201,0.03697096,0.80340632,0.54748801,0.33263577
-3.83291646,1.89494276,0.00947565,0.27667836,0.03401049,0.74158234,0.50966330,0.30889908
-3.82691346,1.75559704,0.00846579,0.25963749,0.03111806,0.68272667,0.47318384,0.28589139
-3.82091046,1.62140930,0.00752827,0.24266045,0.02831999,0.62705460,0.43841778,0.26381844
-3.81490745,1.49348955,0.00666417,0.22603987,0.02564115,0.57478638,0.40573260,0.24288424
-3.80890445,1.37293069,0.00587401,0.21006408,0.02310432,0.52614497,0.37549093,0.22328774
-3.80290145,1.26079039,0.00515779,0.19501187,0.02072970,0.48135319,0.34804658,0.20521999
-3.79689845,1.15807433,0.00451505,0.18114796,0.01853462,0.44063023,0.32374046,0.18886137
-3.79089545,1.06572116,0.00394497,0.16871917,0.01653331,0.40418787,0.30289667,0.17437937
-3.78489245,0.98458919,0.00344645,0.15795135,0.01473697,0.37222636,0.28581846,0.16192658
-3.77888944,0.91544482,0.00301825,0.14904689,0.01315382,0.34493015,0.27278413,0.15163894
-3.77288644,0.85895251,0.00265912,0.14218282,0.01178939,0.32246357,0.26404275,0.14363423
-3.76688344,0.81566599,0.00236791,0.13750924,0.01064676,0.30496645,0.25980963,0.13801070
-3.76088044,0.78602037,0.00214371,0.13514815,0.00972696,0.29254980,0.26026152,0.13484569
-3.75487744,0.77032494,0.00198595,0.13519239,0.00902929,0.28529142,0.26553143,0.13419433
-3.74887444,0.76875632,0.00189451,0.13770470,0.00855172,0.28323169,0.27570333,0.13608815
-3.74287144,0.78135204,0.00186972,0.14271692,0.00829120,0.28636939,0.29080670,0.14053368
-3.73686843,0.80800430,0.00191247,0.15022914,0.00824394,0.29465777,0.31081113,0.14751101
-3.73086543,0.84845451,0.00202413,0.16020908,0.00840563,0.30800085,0.33562134,0.15697246
-3.72486243,0.90228858,0.00220654,0.17259159,0.00877160,0.32625025,0.36507288,0.16884131
-3.71885943,0.96893382,0.00246191,0.18727847,0.00933687,0.34920261,0.39892894,0.18301097
-3.71285643,1.04765797,0.00279269,0.20413880,0.01009621,0.37659794,0.43687860,0.19934445
-3.70685343,1.13757098,0.00320138,0.22300978,0.01104407,0.40811892,0.47853704,0.21767449
-3.70085043,1.23763039,0.00369035,0.24369844,0.01217445,0.44339173,0.52344786,0.23780447
-3.69484742,1.34665086,0.00426155,0.26598419,0.01348082,0.48198825,0.57108811,0.25951016
-3.68884442,1.46331824,0.00491631,0.28962228,0.01495592,0.52343000,0.62087583,0.28254248
-3.68284142,1.58620860,0.00565499,0.31434837,0.01659164,0.56719395,0.67218047,0.30663123
-3.67683842,1.71381201,0.00647678,0.33988399,0.01837882,0.61272000,0.72433581,0.33148992
-3.67083542,1.84456086,0.00737935,0.36594285,0.02030715,0.65942032,0.77665528,0.35682142
-3.66483242,1.97686199,0.00835867,0.39223793,0.02236509,0.70669011,0.82844905,0.38232449
-3.65882941,2.10913169,0.00940879,0.41848892,0.02453984,0.75391970,0.87904249,0.40770076
-3.65282641,2.23983235,0.01052171,0.44442980,0.02681733,0.80050745,0.92779496,0.43266214
-3.64682341,2.36750918,0.01168729,0.46981631,0.02918235,0.84587304,0.97411840,0.45693806
-3.64082041,2.49082550,0.01289326,0.49443274,0.03161870,0.88947069,1.01749462,0.48028250
-3.63481741,2.60859502,0.01412537,0.51809786,0.03410941,0.93080167,1.05749050,0.50248025
-3.62881441,2.71980934,0.01536753,0.54066958,0.03663707,0.96942561,1.09377031,0.52335212
-3.62281141,2.82365953,0.01660214,0.56204805,0.03918410,1.00497011,1.12610444,0.54275900
-3.61680840,2.91955043,0.01781047,0.58217705,0.04173321,1.03713821,1.15437399,0.56060426
-3.61080540,3.00710711,0.01897312,0.60104351,0.04426779,1.06571342,1.17857100,0.57683458
-3.60480240,3.08617303,0.02007055,0.61867513,0.04677230,1.09056200,1.19879419,0.59143910
-3.59879940,3.15680003,0.02108369,0.63513628,0.04923272,1.11163261,1.21524042,0.60444682
-3.59279640,3.21923064,0.02199450,0.65052232,0.05163693,1.12895307,1.22819226,0.61592258
-3.58679340,3.27387378,0.02278662,0.66495258,0.05397500,1.14262482,1.23800241,0.62596165
-3.58079040,3.32127505,0.02344589,0.67856255,0.05623953,1.15281502,1.24507559,0.63468333
-3.57478739,3.36208326,0.02396090,0.69149547,0.05842575,1.15974695,1.24984915,0.64222395
-3.56878439,3.39701495,0.02432340,0.70389396,0.06053166,1.16368909,1.25277309,0.64872944
-3.56278139,3.42681868,0.02452864,0.71589203,0.06255799,1.16494351,1.25429084,0.65434814
-3.55677839,3.45224095,0.02457555,0.72760793,0.06450804,1.16383391,1.25482147,0.65922395
-3.55077539,3.47399523,0.02446682,0.73913814,0.06638750,1.16069415,1.25474450,0.66349032
-3.54477239,3.49273554,0.02420882,0.75055285,0.06820400,1.15585747,1.25438767,0.66726532
-3.53876938,3.50903557,0.02381141,0.76189302,0.06996676,1.14964694,1.25401846,0.67064786
-3.53276638,3.52337409,0.02328756,0.77316918,0.07168599,1.14236752,1.25383946,0.67371543
-3.52676338,3.53612686,0.02265295,0.78436198,0.07337235,1.13429983,1.25398768,0.67652309
-3.52076038,3.54756505,0.02192543,0.79542420,0.07503632,1.12569586,1.25453760,0.67910394
-3.51475738,3.55785977,0.02112438,0.80628429,0.07668756,1.11677664,1.25550771,0.68147084
-3.50875438,3.56709221,0.02027014,0.81685103,0.07833437,1.10773180,1.25686991,0.68361915
-3.50275138,3.57526832,0.01938331,0.82701907,0.07998314,1.09872096,1.25856116,0.68553052
