energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.46598234,0.52859619,0.00000000,0.04295512,0.16641726,0.58439109,0.00000000,0.79056845,0.16571774
-5.99399700,1.43344561,0.51236490,0.00000000,0.04536749,0.15816140,0.57262969,0.00000000,0.75316125,0.16384281
-5.98799400,1.39968348,0.49577030,0.00000000,0.04793038,0.14981416,0.55989130,0.00000000,0.71460733,0.16199699
-5.98199100,1.36506973,0.47903891,0.00000000,0.05061402,0.14148103,0.54631114,0.00000000,0.67536135,0.16019248
-5.97598799,1.32996854,0.46239174,0.00000000,0.05338460,0.13325783,0.53204236,0.00000000,0.63586451,0.15843590
-5.96998499,1.29472428,0.44603877,0.00000000,0.05620519,0.12522846,0.51725181,0.00000000,0.59653303,0.15672795
-5.96398199,1.25965384,0.43017429,0.00000000,0.05903685,0.11746319,0.50211592,0.00000000,0.55774887,0.15506342
-5.95797899,1.22504167,0.41497294,0.00000000,0.06183990,0.11001789,0.48681665,0.00000000,0.51985269,0.15343178
-5.95197599,1.19113730,0.40058681,0.00000000,0.06457539,0.10293380,0.47153780,0.00000000,0.48313921,0.15181802
-5.94597299,1.15815532,0.38714328,0.00000000,0.06720655,0.09623808,0.45646152,0.00000000,0.44785484,0.15020388
-5.93996998,1.12627715,0.37474377,0.00000000,0.06970032,0.08994489,0.44176519,0.00000000,0.41419737,0.14856927
-5.93396698,1.09565444,0.36346334,0.00000000,0.07202871,0.08405681,0.42761860,0.00000000,0.38231745,0.14689381
-5.92796398,1.06641323,0.35335086,0.00000000,0.07417006,0.07856670,0.41418146,0.00000000,0.35232148,0.14515837
-5.92196098,1.03865855,0.34442989,0.00000000,0.07611003,0.07345969,0.40160114,0.00000000,0.32427562,0.14334646
-5.91595798,1.01247881,0.33670005,0.00000000,0.07784229,0.06871515,0.39001065,0.00000000,0.29821046,0.14144550
-5.90995498,0.98794947,0.33013872,0.00000000,0.07936885,0.06430870,0.37952678,0.00000000,0.27412607,0.13944769
-5.90395198,0.96513564,0.32470305,0.00000000,0.08069995,0.06021399,0.37024838,0.00000000,0.25199711,0.13735064
-5.89794897,0.94409331,0.32033216,0.00000000,0.08185362,0.05640429,0.36225466,0.00000000,0.23177769,0.13515750
-5.89194597,0.92486911,0.31694947,0.00000000,0.08285472,0.05285372,0.35560366,0.00000000,0.21340576,0.13287677
-5.88594297,0.90749848,0.31446491,0.00000000,0.08373366,0.04953829,0.35033072,0.00000000,0.19680706,0.13052174
-5.87993997,0.89200250,0.31277726,0.00000000,0.08452478,0.04643647,0.34644704,0.00000000,0.18189822,0.12810950
-5.87393697,0.87838361,0.31177628,0.00000000,0.08526444,0.04352958,0.34393845,0.00000000,0.16858939,0.12565980
-5.86793397,0.86662053,0.31134474,0.00000000,0.08598897,0.04080185,0.34276438,0.00000000,0.15678606,0.12319362
-5.86193097,0.85666294,0.31136033,0.00000000,0.08673250,0.03824026,0.34285710,0.00000000,0.14639040,0.12073168
-5.85592796,0.84842631,0.31169747,0.00000000,0.08752487,0.03583420,0.34412149,0.00000000,0.13730208,0.11829302
-5.84992496,0.84178745,0.31222891,0.00000000,0.08838971,0.03357505,0.34643527,0.00000000,0.12941877,0.11589356
-5.84392196,0.83658126,0.31282732,0.00000000,0.08934269,0.03145566,0.34964992,0.00000000,0.12263641,0.11354493
-5.83791896,0.83259915,0.31336673,0.00000000,0.09039026,0.02946983,0.35359234,0.00000000,0.11684936,0.11125359
-5.83191596,0.82958936,0.31372404,0.00000000,0.09152865,0.02761183,0.35806732,0.00000000,0.11195063,0.10902020
-5.82591296,0.82725953,0.31378040,0.00000000,0.09274356,0.02587601,0.36286091,0.00000000,0.10783222,0.10683941
-5.81990995,0.82528152,0.31342269,0.00000000,0.09401022,0.02425643,0.36774452,0.00000000,0.10438556,0.10469999
-5.81390695,0.82329846,0.31254502,0.00000000,0.09529407,0.02274671,0.37247996,0.00000000,0.10150232,0.10258540
-5.80790395,0.82093389,0.31105027,0.00000000,0.09655191,0.02133986,0.37682504,0.00000000,0.09907537,0.10047453
-5.80190095,0.81780247,0.30885165,0.00000000,0.09773353,0.02002835,0.38053975,0.00000000,0.09700000,0.09834294
-5.79589795,0.81352204,0.30587425,0.00000000,0.09878374,0.01880415,0.38339273,0.00000000,0.09517532,0.09616409
