energy_ev,total_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.28965845,0.53092736,1.12419659,0.01234959,1.32789356,0.04081960,0.00015673
-5.99399700,2.21337754,0.50827933,1.10266767,0.01094621,1.28801288,0.03799407,0.00014928
-5.98799400,2.14828194,0.48886194,1.08581962,0.00964006,1.25467430,0.03549051,0.00014269
-5.98199100,2.09465759,0.47275963,1.07372394,0.00843630,1.22805109,0.03330193,0.00013703
-5.97598799,2.05249008,0.45997726,1.06632042,0.00733784,1.20814017,0.03141514,0.00013234
-5.96998499,2.02147420,0.45044322,1.06341980,0.00634564,1.19476617,0.02981174,0.00012866
-5.96398199,2.00103083,0.44401427,1.06470990,0.00545893,1.18758990,0.02846916,0.00012598
-5.95797899,1.99033065,0.44048181,1.06976509,0.00467558,1.18612084,0.02736177,0.00012429
-5.95197599,1.98832371,0.43957967,1.07805877,0.00399245,1.18973339,0.02646194,0.00012354
-5.94597299,1.99377427,0.44099296,1.08897869,0.00340568,1.19768638,0.02574111,0.00012366
-5.93996998,2.00529963,0.44436791,1.10184446,0.00291110,1.20914530,0.02517077,0.00012458
-5.93396698,2.02141220,0.44932243,1.11592713,0.00250449,1.22320680,0.02472336,0.00012619
-5.92796398,2.04056357,0.45545716,1.13046998,0.00218193,1.23892472,0.02437312,0.00012838
-5.92196098,2.06118948,0.46236676,1.14471024,0.00193998,1.25533700,0.02409678,0.00013103
-5.91595798,2.08175449,0.46965115,1.15790094,0.00177600,1.27149283,0.02387423,0.00013401
-5.90995498,2.10079526,0.47692634,1.16933236,0.00168822,1.28647916,0.02368895,0.00013721
-5.90395198,2.11696104,0.48383476,1.17835246,0.00167594,1.29944589,0.02352844,0.00014049
-5.89794897,2.12905040,0.49005456,1.18438548,0.00173954,1.30962897,0.02338448,0.00014375
-5.89194597,2.13604303,0.49530781,1.18694828,0.00188054,1.31637076,0.02325326,0.00014688
-5.88594297,2.13712566,0.49936718,1.18566388,0.00210155,1.31913685,0.02313545,0.00014979
-5.87993997,2.13171126,0.50206108,1.18027151,0.00240615,1.31752901,0.02303609,0.00015242
-5.87393697,2.11945101,0.50327685,1.17063311,0.00279875,1.31129368,0.02296442,0.00015472
-5.86793397,2.10023852,0.50296213,1.15673580,0.00328441,1.30032583,0.02293361,0.00015665
