energy_ev,total_up,Ag_p_up,Ag_d_up,B_p_up,B_d_up,Te_p_up,Te_d_up
-5.32166083,3.79161803,0.31525280,3.23067308,0.03592603,0.00000000,0.37572270,0.00000000
-5.31565783,3.76580873,0.33150872,3.17497152,0.03550666,0.00000000,0.39457983,0.00000000
-5.30965483,3.76037140,0.34890434,3.13960038,0.03531991,0.00000000,0.41327106,0.00000000
-5.30365183,3.77293015,0.36721543,3.12277814,0.03534665,0.00000000,0.43139738,0.00000000
-5.29764882,3.80094152,0.38624433,3.12251357,0.03556884,0.00000000,0.44858645,0.00000000
-5.29164582,3.84177327,0.40583175,3.13666467,0.03597060,0.00000000,0.46450581,0.00000000
-5.28564282,3.89278573,0.42586802,3.16300121,0.03653918,0.00000000,0.47887542,0.00000000
-5.27963982,3.95141316,0.44630334,3.19926931,0.03726588,0.00000000,0.49147887,0.00000000
-5.27363682,4.01524259,0.46715647,3.24325605,0.03814685,0.00000000,0.50217289,0.00000000
-5.26763382,4.08208762,0.48852146,3.29285239,0.03918365,0.00000000,0.51089472,0.00000000
-5.26163082,4.15005481,0.51057171,3.34611253,0.04038369,0.00000000,0.51766691,0.00000000
-5.25562781,4.21760032,0.53356114,3.40130791,0.04176035,0.00000000,0.52259932,0.00000000
-5.24962481,4.28357496,0.55782197,3.45697430,0.04333291,0.00000000,0.52588814,0.00000000
-5.24362181,4.34725590,0.58375877,3.51195029,0.04512609,0.00000000,0.52781182,0.00000000
-5.23761881,4.40836379,0.61183880,3.56540616,0.04716933,0.00000000,0.52872397,0.00000000
-5.23161581,4.46706440,0.64257838,3.61686168,0.04949577,0.00000000,0.52904343,0.00000000
-5.22561281,4.52395432,0.67652568,3.66619224,0.05214091,0.00000000,0.52924168,0.00000000
-5.21960980,4.58003073,0.71424008,3.71362266,0.05514097,0.00000000,0.52982811,0.00000000
-5.21360680,4.63664564,0.75626867,3.75970833,0.05853108,0.00000000,0.53133349,0.00000000
-5.20760380,4.69544575,0.80312063,3.80530392,0.06234320,0.00000000,0.53429214,0.00000000
-5.20160080,4.75829911,0.85524019,3.85152009,0.06660405,0.00000000,0.53922353,0.00000000
-5.19559780,4.82721072,0.91297932,3.89966899,0.07133292,0.00000000,0.54661374,0.00000000
-5.18959480,4.90422927,0.97657116,3.95120002,0.07653955,0.00000000,0.55689744,0.00000000
-5.18359180,4.99134793,1.04610531,4.00762753,0.08222227,0.00000000,0.57044098,0.00000000
-5.17758879,5.09040225,1.12150633,4.07045252,0.08836629,0.00000000,0.58752717,0.00000000
-5.17158579,5.20296873,1.20251634,4.14108109,0.09494239,0.00000000,0.60834223,0.00000000
-5.16558279,5.33026761,1.28868308,4.22074233,0.10190611,0.00000000,0.63296534,0.00000000
-5.15957979,5.47307383,1.37935399,4.31040890,0.10919736,0.00000000,0.66136126,0.00000000
-5.15357679,5.63163975,1.47367738,4.41072344,0.11674072,0.00000000,0.69337622,0.00000000
-5.14757379,5.80563338,1.57061078,4.52193428,0.12444623,0.00000000,0.72873734,0.00000000
-5.14157079,5.99409523,1.66893687,4.64384341,0.13221092,0.00000000,0.76705573,0.00000000
-5.13556778,6.19541673,1.76728673,4.77576976,0.13992086,0.00000000,0.80783319,0.00000000
-5.12956478,6.40734214,1.86416991,4.91653011,0.14745375,0.00000000,0.85047254,0.00000000
-5.12356178,6.62699541,1.95801053,5.06443958,0.15468206,0.00000000,0.89429119,0.00000000
-5.11755878,6.85093231,2.04718833,5.21733273,0.16147645,0.00000000,0.93853787,0.00000000
-5.11155578,7.07521708,2.13008322,5.37260560,0.16770947,0.00000000,0.98241183,0.00000000
-5.10555278,7.29552203,2.20512178,5.52727794,0.17325939,0.00000000,1.02508418,0.00000000
-5.09954977,7.50724702,2.27082405,5.67807416,0.17801396,0.00000000,1.06572061,0.00000000
-5.09354677,7.70565516,2.32584885,5.82152018,0.18187397,0.00000000,1.10350481,0.00000000
-5.08754377,7.88601983,2.36903569,5.95405307,0.18475648,0.00000000,1.13766191,0.00000000
-5.08154077,8.04377749,2.39944194,6.07213895,0.18659758,0.00000000,1.16748099,0.00000000
-5.07553777,8.17468042,2.41637359,6.17239462,0.18735458,0.00000000,1.19233597,0.00000000
-5.06953477,8.27494289,2.41940848,6.25170773,0.18700748,0.00000000,1.21170415,0.00000000
-5.06353177,8.34137495,2.40841109,6.30735027,0.18555978,0.00000000,1.22518155,0.00000000
-5.05752876,8.37149768,2.38353848,6.33708034,0.18303849,0.00000000,1.23249472,0.00000000
-5.05152576,8.36363521,2.34523707,6.33922769,0.17949338,0.00000000,1.23350827,0.00000000
-5.04552276,8.31697917,2.29423058,6.31275908,0.17499557,0.00000000,1.22822811,0.00000000
-5.03951976,8.23162289,2.23149979,6.25732048,0.16963547,0.00000000,1.21680011,0.00000000
-5.03351676,8.10856372,2.15825482,6.17325434,0.16352013,0.00000000,1.19950436,0.00000000
-5.02751376,7.94967371,2.07590132,6.06159118,0.15677023,0.00000000,1.17674527,0.00000000
-5.02151076,7.75763981,1.98600182,5.92401607,0.14951670,0.00000000,1.14903799,0.00000000
-5.01550775,7.53587675,1.89023379,5.76281182,0.14189722,0.00000000,1.11699172,0.00000000
-5.00950475,7.28841653,1.79034596,5.58078167,0.13405260,0.00000000,1.08129068,0.00000000
-5.00350175,7.01977962,1.68811444,5.38115524,0.12612334,0.00000000,1.04267355,0.00000000
-4.99749875,6.73483363,1.58530005,5.16748216,0.11824630,0.00000000,1.00191219,0.00000000
-4.99149575,6.43864558,1.48360831,4.94351833,0.11055168,0.00000000,0.95979063,0.00000000
-4.98549275,6.13633391,1.38465295,4.71310955,0.10316036,0.00000000,0.91708491,0.00000000
-4.97948974,5.83292604,1.28992408,4.48007765,0.09618166,0.00000000,0.87454470,0.00000000
-4.97348674,5.53322673,1.20076149,4.24811340,0.08971157,0.00000000,0.83287714,0.00000000
