energy_ev,total_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.04233077,0.56668092,0.40369441,1.10224296,0.53163268,0.00173486,0.44224730,0.82801895,0.00000000
-5.99399700,2.10935788,0.58677784,0.43002991,1.10165641,0.54811950,0.00188743,0.45540255,0.85828061,0.00000000
-5.98799400,2.18512327,0.60968491,0.45800716,1.10675486,0.56686783,0.00205833,0.46957636,0.89291951,0.00000000
-5.98199100,2.26907341,0.63534642,0.48734459,1.11779085,0.58770178,0.00224737,0.48464351,0.93174033,0.00000000
-5.97598799,2.36044701,0.66364120,0.51771421,1.13489159,0.61039405,0.00245410,0.50044687,0.97445017,0.00000000
-5.96998499,2.45828352,0.69438143,0.54874692,1.15804751,0.63467046,0.00267769,0.51679992,1.02066040,0.00000000
-5.96398199,2.56143887,0.72731368,0.58003951,1.18710452,0.66021621,0.00291695,0.53349050,1.06989185,0.00000000
-5.95797899,2.66860798,0.76212211,0.61116334,1.22176028,0.68668364,0.00317027,0.55028570,1.12158305,0.00000000
-5.95197599,2.77835346,0.79843402,0.64167440,1.26156492,0.71370119,0.00343567,0.56693781,1.17510149,0.00000000
-5.94597299,2.88913950,0.83582736,0.67112435,1.30592627,0.74088316,0.00371080,0.58319104,1.22975737,0.00000000
-5.93996998,2.99936976,0.87384019,0.69907230,1.35411988,0.76783997,0.00399293,0.59878873,1.28481968,0.00000000
-5.93396698,3.10742804,0.91198178,0.72509674,1.40530347,0.79418838,0.00427904,0.61348089,1.33953385,0.00000000
-5.92796398,3.21172026,0.94974496,0.74880731,1.45853578,0.81956140,0.00456587,0.62703160,1.39314068,0.00000000
-5.92196098,3.31071630,0.98661940,0.76985589,1.51279920,0.84361746,0.00484998,0.63922615,1.44489570,0.00000000
-5.91595798,3.40299032,1.02210547,0.78794659,1.56702565,0.86604846,0.00512789,0.64987754,1.49408857,0.00000000
-5.90995498,3.48725821,1.05572807,0.80284430,1.62012500,0.88658665,0.00539613,0.65883210,1.54006172,0.00000000
-5.90395198,3.56241090,1.08705014,0.81438144,1.67101495,0.90500997,0.00565136,0.66597404,1.58222776,0.00000000
-5.89794897,3.62754251,1.11568531,0.82246258,1.71865164,0.92114577,0.00589052,0.67122880,1.62008507,0.00000000
-5.89194597,3.68197239,1.14130928,0.82706685,1.76205954,0.93487302,0.00611091,0.67456496,1.65323092,0.00000000
-5.88594297,3.72526042,1.16366945,0.82824808,1.80035981,0.94612282,0.00631030,0.67599480,1.68137192,0.00000000
-5.87993997,3.75721509,1.18259250,0.82613242,1.83279585,0.95487746,0.00648700,0.67557343,1.70433109,0.00000000
-5.87393697,3.77789398,1.19798954,0.82091382,1.85875501,0.96116812,0.00663997,0.67339646,1.72205152,0.00000000
-5.86793397,3.78759679,1.20985856,0.81284734,1.87778552,0.96507126,0.00676883,0.66959648,1.73459629,0.00000000
-5.86193097,3.78685101,1.21828400,0.80224060,1.88960802,0.96670400,0.00687389,0.66433836,1.74214456,0.00000000
-5.85592796,3.77639066,1.22343338,0.78944364,1.89412099,0.96621868,0.00695614,0.65781354,1.74498386,0.00000000
-5.84992496,3.75712878,1.22555097,0.77483763,1.89139988,0.96379660,0.00701719,0.65023362,1.74349879,0.00000000
-5.84392196,3.73012449,1.22494864,0.75882267,1.88169005,0.95964140,0.00705922,0.64182340,1.73815637,0.00000000
-5.83791896,3.69654577,1.22199421,0.74180530,1.86539370,0.95397210,0.00708486,0.63281369,1.72948851,0.00000000
-5.83191596,3.65762911,1.21709758,0.72418602,1.84305150,0.94701592,0.00709705,0.62343413,1.71807216,0.00000000
