energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.70481245,1.79911041,1.59445383,0.02768786,0.52154256,0.05820167,3.12388836,1.49129010,0.69814882
-5.99399700,5.70347231,1.80884247,1.57625087,0.02850290,0.52541458,0.06115299,3.12242316,1.48272453,0.69261840
-5.98799400,5.69832612,1.82801647,1.55665563,0.02925009,0.53157356,0.06421243,3.11553367,1.47086126,0.68522771
-5.98199100,5.68909684,1.85678387,1.53576518,0.02992366,0.54006633,0.06736167,3.10303341,1.45544119,0.67609967
-5.97598799,5.67593718,1.89547646,1.51382061,0.03052082,0.55099822,0.07058126,3.08494476,1.43634048,0.66540047
-5.96998499,5.65941297,1.94459422,1.49119874,0.03104189,0.56452797,0.07385057,3.06149277,1.41357296,0.65333472
-5.96398199,5.64046963,2.00478202,1.46839821,0.03149013,0.58085952,0.07714768,3.03309209,1.38728830,0.64013961
-5.95797899,5.62038305,2.07679579,1.44602046,0.03187165,0.60023085,0.08044926,3.00032748,1.35776589,0.62607830
-5.95197599,5.60069704,2.16145955,1.42474642,0.03219504,0.62290041,0.08373041,2.96392902,1.32540503,0.61143267
-5.94597299,5.58314987,2.25961467,1.40530976,0.03247101,0.64913154,0.08696463,2.92474284,1.29071158,0.59649569
-5.93996998,5.56959321,2.37206362,1.38846774,0.03271197,0.67917542,0.09012368,2.88369877,1.25428168,0.58156364
-5.93396698,5.56190672,2.49951042,1.37497084,0.03293147,0.71325345,0.09317772,2.84177627,1.21678324,0.56692837
-5.92796398,5.56191207,2.64250056,1.36553244,0.03314370,0.75153958,0.09609539,2.79996995,1.17893576,0.55286993
-5.92196098,5.57128999,2.80136297,1.36079953,0.03336294,0.79414346,0.09884411,2.75925623,1.14148933,0.53964963
-5.91595798,5.59150369,2.97615684,1.36132579,0.03360309,0.84109518,0.10139049,2.72056224,1.10520338,0.52750388
-5.90995498,5.62373201,3.16662592,1.36754791,0.03387710,0.89233223,0.10370086,2.68473833,1.07082600,0.51663893
-5.90395198,5.66881455,3.37216240,1.37976610,0.03419667,0.94768943,0.10574199,2.65253491,1.03907433,0.50722664
-5.89794897,5.72721106,3.59178255,1.39812940,0.03457181,1.00689217,0.10748183,2.62458429,1.01061662,0.49940132
-5.89194597,5.79897601,3.82411519,1.42262626,0.03501063,1.06955351,0.10889046,2.60138792,0.98605630,0.49325784
-5.88594297,5.88374898,4.06740401,1.45308063,0.03551912,1.13517521,0.10994098,2.58330898,0.96591832,0.48885086
-5.87993997,5.98076031,4.31952379,1.48915353,0.03610108,1.20315278,0.11061047,2.57057007,0.95063798,0.48619511
-5.87393697,6.08885103,4.57801000,1.53034983,0.03675802,1.27278441,0.11088086,2.56325537,0.94055225,0.48526681
-5.86793397,6.20650517,4.84010073,1.57602983,0.03748925,1.34328337,0.11073978,2.56131659,0.93589345,0.48600581
-5.86193097,6.33189237,5.10278923,1.62542508,0.03829189,1.41379357,0.11018118,2.56458176,0.93678521,0.48831852
-5.85592796,6.46291795,5.36288502,1.67765752,0.03916102,1.48340752,0.10920584,2.57276580,0.94324055,0.49208131
-5.84992496,6.59727793,5.61708111,1.73176130,0.04008975,1.55118606,0.10782155,2.58548209,0.95516170,0.49714424
-5.84392196,6.73251607,5.86202474,1.78670626,0.04106941,1.61617925,0.10604320,2.60225390,0.97234165,0.50333490
-5.83791896,6.86608064,6.09438906,1.84142231,0.04208962,1.67744740,0.10389242,2.62252519,0.99446707,0.51046225
-5.83191596,6.99537870,6.31094330,1.89482382,0.04313847,1.73408182,0.10139715,2.64567030,1.02112262,0.51832031
-5.82591296,7.11782628,6.50861915,1.94583327,0.04420257,1.78522444,0.09859082,2.67100212,1.05179647,0.52669165
-5.81990995,7.23089346,6.68457154,1.99340371,0.04526725,1.83008580,0.09551139,2.69777903,1.08588708,0.53535058
-5.81390695,7.33214393,6.83623234,2.03653930,0.04631662,1.86796095,0.09220025,2.72521077,1.12271136,0.54406607
-5.80790395,7.41926898,6.96135610,2.07431382,0.04733371,1.89824298,0.08870097,2.75246388,1.16151412,0.55260453
-5.80190095,7.49011660,7.05805711,2.10588681,0.04830069,1.92043390,0.08505798,2.77866730,1.20147920,0.56073236
-5.79589795,7.54271656,7.12483785,2.13051726,0.04919899,1.93415282,0.08131537,2.80291899,1.24174206,0.56821855
