energy_ev,total_up,Bi_p_up,Bi_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.56960038,0.31404626,0.00265613,1.10837187,0.49444925,0.01252214,0.88376265
-5.99399700,1.57522572,0.31647304,0.00274343,1.09748179,0.50331567,0.01202524,0.88626892
-5.98799400,1.58425513,0.31944788,0.00284251,1.08836181,0.51332895,0.01156754,0.89081419
-5.98199100,1.59656522,0.32283948,0.00295219,1.08127309,0.52436828,0.01115398,0.89746590
-5.97598799,1.61189849,0.32649627,0.00307096,1.07638292,0.53627253,0.01078818,0.90620879
-5.96998499,1.62987382,0.33025148,0.00319706,1.07376414,0.54884485,0.01047241,0.91694650
-5.96398199,1.65000211,0.33392891,0.00332851,1.07339870,0.56185893,0.01020768,0.92950638
-5.95797899,1.67170630,0.33734915,0.00346317,1.07518489,0.57506638,0.00999381,0.94364734
-5.95197599,1.69434449,0.34033587,0.00359876,1.07894769,0.58820509,0.00982963,0.95907011
-5.94597299,1.71723537,0.34272204,0.00373298,1.08445145,0.60100799,0.00971310,0.97542952
-5.93996998,1.73968422,0.34435574,0.00386356,1.09141400,0.61321206,0.00964152,0.99234803
-5.93396698,1.76100868,0.34510533,0.00398826,1.09952149,0.62456685,0.00961175,1.00942986
-5.92796398,1.78056273,0.34486374,0.00410503,1.10844286,0.63484251,0.00962039,1.02627504
-5.92196098,1.79775806,0.34355167,0.00421199,1.11784338,0.64383665,0.00966395,1.04249283
-5.91595798,1.81208176,0.34111971,0.00430748,1.12739655,0.65137997,0.00973901,1.05771378
-5.90995498,1.82310990,0.33754915,0.00439012,1.13679383,0.65734035,0.00984233,1.07160022
-5.90395198,1.83051639,0.33285161,0.00445883,1.14575198,0.66162532,0.00997094,1.08385462
-5.89794897,1.83407715,0.32706744,0.00451283,1.15401783,0.66418290,0.01012219,1.09422575
-5.89194597,1.83366973,0.32026318,0.00455165,1.16137057,0.66500077,0.01029373,1.10251256
-5.88594297,1.82926874,0.31252801,0.00457512,1.16762183,0.66410405,0.01048352,1.10856584
-5.87993997,1.82093768,0.30396962,0.00458336,1.17261385,0.66155177,0.01068977,1.11228783
-5.87393697,1.80881802,0.29470958,0.00457675,1.17621629,0.65743237,0.01091087,1.11363004
-5.86793397,1.79311629,0.28487852,0.00455589,1.17832220,0.65185856,0.01114531,1.11258980
-5.86193097,1.77409024,0.27461138,0.00452158,1.17884366,0.64496173,0.01139158,1.10920562
-5.85592796,1.75203489,0.26404282,0.00447480,1.17770773,0.63688645,0.01164814,1.10355219
-5.84992496,1.72726932,0.25330323,0.00441660,1.17485314,0.62778512,0.01191336,1.09573503
-5.84392196,1.70012497,0.24251522,0.00434816,1.17022813,0.61781324,0.01218544,1.08588543
-5.83791896,1.67093607,0.23179096,0.00427068,1.16378969,0.60712540,0.01246246,1.07415591
