energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.56790836,0.00696746,0.31309797,1.23731121,0.91656704,1.40847172,1.26836461,0.01143592,2.13135201
-5.99399700,4.61571380,0.00701335,0.31165285,1.25675263,0.93562007,1.41313000,1.27818985,0.01136636,2.16109091
-5.98799400,4.65125696,0.00703491,0.31020570,1.27299573,0.95124695,1.41412680,1.28587153,0.01124836,2.18362779
-5.98199100,4.67319559,0.00703531,0.30863069,1.28564952,0.96311806,1.41107308,1.29102413,0.01108369,2.19836113
-5.97598799,4.68050263,0.00701835,0.30681434,1.29439954,0.97097629,1.40367496,1.29334614,0.01087488,2.20484407
-5.96998499,4.67250234,0.00698825,0.30465919,1.29901888,0.97464639,1.39174379,1.29262974,0.01062516,2.20280122
-5.96398199,4.64889353,0.00694953,0.30208660,1.29937586,0.97404162,1.37520216,1.28876661,0.01033831,2.19213941
-5.95797899,4.60975921,0.00690675,0.29903886,1.29543771,0.96916760,1.35408582,1.28175004,0.01001859,2.17295207
-5.95197599,4.55556240,0.00686431,0.29548042,1.28727044,0.96012311,1.32854140,1.27167324,0.00967057,2.14551693
-5.94597299,4.48712870,0.00682624,0.29139829,1.27503484,0.94709771,1.29882036,1.25872404,0.00929904,2.11028732
-5.93996998,4.40561652,0.00679605,0.28680178,1.25897888,0.93036638,1.26526937,1.24317644,0.00890885,2.06787744
-5.93396698,4.31247679,0.00677649,0.28172157,1.23942718,0.91028140,1.22831797,1.22537932,0.00850482,2.01904246
-5.92796398,4.20940398,0.00676950,0.27620825,1.21676789,0.88726169,1.18846392,1.20574321,0.00809161,1.96465416
-5.92196098,4.09828104,0.00677603,0.27033047,1.19143793,0.86178017,1.14625727,1.18472547,0.00767366,1.90567351
-5.91595798,3.98112054,0.00679608,0.26417291,1.16390730,0.83434959,1.10228373,1.16281485,0.00725508,1.84312119
-5.90995498,3.86000483,0.00682862,0.25783402,1.13466315,0.80550745,1.05714820,1.14051606,0.00683963,1.77804743
-5.90395198,3.73702762,0.00687167,0.25142386,1.10419458,0.77580052,1.01145921,1.11833496,0.00643066,1.71150236
-5.89794897,3.61423922,0.00692239,0.24506200,1.07297862,0.74576961,0.96581474,1.09676514,0.00603108,1.64450801
-5.89194597,3.49359750,0.00697720,0.23887562,1.04146810,0.71593506,0.92079002,1.07627620,0.00564340,1.57803293
-5.88594297,3.37692598,0.00703195,0.23299781,1.01008180,0.68678354,0.87692755,1.05730432,0.00526971,1.51297030
-5.87993997,3.26588029,0.00708211,0.22756613,0.97919709,0.65875645,0.83472963,1.04024511,0.00491171,1.45012009
-5.87393697,3.16192340,0.00712297,0.22272138,0.94914518,0.63224032,0.79465321,1.02544909,0.00457075,1.39017560
-5.86793397,3.06630977,0.00714987,0.21860652,0.92020896,0.60755946,0.75710717,1.01321946,0.00424788,1.33371462
-5.86193097,2.98007808,0.00715840,0.21536564,0.89262313,0.58497079,0.72245157,1.00381217,0.00394389,1.28119498
-5.85592796,2.90405166,0.00714460,0.21314306,0.86657628,0.56466125,0.69099860,0.99743782,0.00365940,1.23295441
-5.84992496,2.83884554,0.00710514,0.21208213,0.84221471,0.54674728,0.66301478,0.99426496,0.00339484,1.18921406
-5.84392196,2.78487878,0.00703743,0.21232396,0.81964711,0.53127658,0.63872395,0.99442433,0.00315059,1.15008537
-5.83791896,2.74239046,0.00693979,0.21400578,0.79895007,0.51823183,0.61831045,0.99801350,0.00292697,1.11557943
-5.83191596,2.71145795,0.00681144,0.21725888,0.78017356,0.50753603,0.60192220,1.00510120,0.00272431,1.08561839
-5.82591296,2.69201586,0.00665260,0.22220613,0.76334615,0.49905933,0.58967317,1.01573111,0.00254298,1.06004803
-5.81990995,2.68387432,0.00646439,0.22895899,0.74847958,0.49262690,0.58164496,1.02992432,0.00238342,1.03865104
-5.81390695,2.68673544,0.00624884,0.23761411,0.73557233,0.48802763,0.57788726,1.04768045,0.00224620,1.02116031
-5.80790395,2.70020720,0.00600876,0.24824948,0.72461206,0.48502317,0.57841711,1.06897695,0.00213197,1.00727179
-5.80190095,2.72381394,0.00574758,0.26092023,0.71557691,0.48335721,0.58321698,1.09376664,0.00204151,0.99665643
-5.79589795,2.75700346,0.00546930,0.27565439,0.70843549,0.48276449,0.59223176,1.12197349,0.00197571,0.98897092
-5.78989495,2.79915059,0.00517822,0.29244856,0.70314592,0.48297941,0.60536491,1.15348697,0.00193559,0.98386700
-5.78389195,2.84955764,0.00487884,0.31126381,0.69965391,0.48374391,0.62247421,1.18815513,0.00192221,0.98099911
-5.77788894,2.90745239,0.00457568,0.33202208,0.69789013,0.48481438,0.64336727,1.22577721,0.00193668,0.98003040
-5.77188594,2.97198440,0.00427308,0.35460326,0.69776737,0.48596757,0.66779751,1.26609610,0.00198014,0.98063712
-5.76588294,3.04222069,0.00397513,0.37884320,0.69917749,0.48700521,0.69546083,1.30879148,0.00205365,0.98251132
-5.75987994,3.11714182,0.00368551,0.40453284,0.70198868,0.48775733,0.72599365,1.35347421,0.00215816,0.98536223
-5.75387694,3.19563953,0.00340739,0.43141879,0.70604334,0.48808432,0.75897246,1.39968284,0.00229446,0.98891637
-5.74787394,3.27651714,0.00314337,0.45920531,0.71115666,0.48787760,0.79391547,1.44688265,0.00246308,0.99291666
