energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.92067234,0.02316887,0.00000000,0.04009165,0.61632075,0.01545098,1.52271293,0.93353733,0.51194678
-5.99399700,2.89033698,0.02272493,0.00000000,0.03871959,0.61632695,0.01501410,1.50193304,0.91693928,0.50932009
-5.98799400,2.85513817,0.02227867,0.00000000,0.03723997,0.61436418,0.01457812,1.47927688,0.89916740,0.50589919
-5.98199100,2.81494204,0.02182949,0.00000000,0.03567121,0.61037005,0.01414475,1.45473746,0.88050402,0.50156722
-5.97598799,2.76975175,0.02137730,0.00000000,0.03403333,0.60431804,0.01371543,1.42837681,0.86126906,0.49623292
-5.96998499,2.71972316,0.02092277,0.00000000,0.03234766,0.59622081,0.01329150,1.40033309,0.84181434,0.48983609
-5.96398199,2.66517472,0.02046744,0.00000000,0.03063646,0.58613235,0.01287434,1.37082460,0.82251653,0.48235185
-5.95797899,2.60659056,0.02001384,0.00000000,0.02892250,0.57414884,0.01246556,1.34015003,0.80376869,0.47379345
-5.95197599,2.54461632,0.01956555,0.00000000,0.02722858,0.56040798,0.01206707,1.30868492,0.78597067,0.46421352
-5.94597299,2.48004746,0.01912711,0.00000000,0.02557704,0.54508688,0.01168123,1.27687410,0.76951847,0.45370360
-5.93996998,2.41381043,0.01870401,0.00000000,0.02398927,0.52839849,0.01131086,1.24522046,0.75479296,0.44239203
-5.93396698,2.34693692,0.01830247,0.00000000,0.02248521,0.51058659,0.01095924,1.21427009,0.74214811,0.43044013
-5.92796398,2.28053236,0.01792921,0.00000000,0.02108286,0.49191967,0.01063009,1.18459470,0.73189928,0.41803690
-5.92196098,2.21573979,0.01759124,0.00000000,0.01979788,0.47268368,0.01032746,1.15677152,0.72431183,0.40539253
-5.91595798,2.15370043,0.01729550,0.00000000,0.01864318,0.45317416,0.01005559,1.13136200,0.71959064,0.39273075
-5.90995498,2.09551277,0.01704855,0.00000000,0.01762861,0.43368794,0.00981876,1.10888974,0.71787084,0.38028070
-5.90395198,2.04219190,0.01685625,0.00000000,0.01676077,0.41451474,0.00962107,1.08981898,0.71921024,0.36826833
-5.89794897,1.99463079,0.01672340,0.00000000,0.01604282,0.39592902,0.00946621,1.07453440,0.72358391,0.35690797
-5.89194597,1.95356531,0.01665352,0.00000000,0.01547449,0.37818242,0.00935731,1.06332321,0.73088110,0.34639428
-5.88594297,1.91954459,0.01664851,0.00000000,0.01505207,0.36149703,0.00929667,1.05636047,0.74090485,0.33689507
-5.87993997,1.89290798,0.01670852,0.00000000,0.01476857,0.34605987,0.00928557,1.05369813,0.75337446,0.32854511
-5.87393697,1.87376980,0.01683183,0.00000000,0.01461398,0.33201854,0.00932416,1.05525865,0.76793081,0.32144141
-5.86793397,1.86201251,0.01701473,0.00000000,0.01457553,0.31947847,0.00941130,1.06083335,0.78414439,0.31563994
-5.86193097,1.85728860,0.01725165,0.00000000,0.01463812,0.30850152,0.00954450,1.07008564,0.80152604,0.31115412
-5.85592796,1.85903131,0.01753516,0.00000000,0.01478475,0.29910625,0.00971994,1.08255933,0.81953993,0.30795497
-5.84992496,1.86647360,0.01785622,0.00000000,0.01499700,0.29126952,0.00993243,1.09769140,0.83761835,0.30597286
-5.84392196,1.87867466,0.01820442,0.00000000,0.01525559,0.28492942,0.01017561,1.11482905,0.85517791,0.30510097
-5.83791896,1.89455272,0.01856826,0.00000000,0.01554091,0.27998935,0.01044202,1.13325023,0.87163658,0.30519993
