energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.76809358,-2.76809277,0.78083926,-0.78083953,0.16486956,-0.16486943,0.00365320,-0.00365318,0.69639334,-0.69639289,1.52039697,-1.52039660,0.95508486,-0.95508443,0.85583472,-0.85583489,0.00000000,-0.00000000
-5.99399700,2.80640634,-2.80640572,0.77074866,-0.77074898,0.16554963,-0.16554951,0.00396962,-0.00396960,0.72004487,-0.72004447,1.54200548,-1.54200526,0.98097126,-0.98097086,0.84775524,-0.84775548,0.00000000,-0.00000000
-5.98799400,2.84073982,-2.84073938,0.75944961,-0.75944997,0.16573264,-0.16573253,0.00430037,-0.00430035,0.74266588,-0.74266553,1.55962821,-1.55962815,1.00691612,-1.00691575,0.83828983,-0.83829011,0.00000000,-0.00000000
-5.98199100,2.87090456,-2.87090432,0.74707396,-0.74707437,0.16540166,-0.16540157,0.00464143,-0.00464141,0.76411004,-0.76410974,1.57314329,-1.57314338,1.03279774,-1.03279741,0.82752686,-0.82752720,0.00000000,-0.00000000
-5.97598799,2.89668786,-2.89668782,0.73374947,-0.73374991,0.16454424,-0.16454417,0.00498811,-0.00498809,0.78422521,-0.78422497,1.58246894,-1.58246919,1.05844426,-1.05844396,0.81555403,-0.81555442,0.00000000,-0.00000000
-5.96998499,2.91785673,-2.91785688,0.71959935,-0.71959983,0.16315326,-0.16315321,0.00533514,-0.00533512,0.80285426,-0.80285409,1.58756680,-1.58756720,1.08363253,-1.08363227,0.80245900,-0.80245944,0.00000000,-0.00000000
-5.96398199,2.93416277,-2.93416312,0.70474231,-0.70474282,0.16122779,-0.16122776,0.00567679,-0.00567677,0.81983650,-0.81983638,1.58844402,-1.58844457,1.10808950,-1.10808929,0.78833034,-0.78833082,0.00000000,-0.00000000
-5.95797899,2.94534888,-2.94534942,0.68929281,-0.68929335,0.15877380,-0.15877378,0.00600697,-0.00600695,0.83500963,-0.83500958,1.58515404,-1.58515473,1.13149613,-1.13149596,0.77325848,-0.77325901,0.00000000,-0.00000000
-5.95197599,2.95115740,-2.95115814,0.67336144,-0.67336201,0.15580471,-0.15580471,0.00631944,-0.00631942,0.84821239,-0.84821240,1.57779567,-1.57779650,1.15349391,-1.15349380,0.75733655,-0.75733711,0.00000000,-0.00000000
-5.94597299,2.95133956,-2.95134049,0.65705535,-0.65705594,0.15234175,-0.15234177,0.00660798,-0.00660796,0.85928771,-0.85928779,1.56651053,-1.56651149,1.17369402,-1.17369396,0.74066084,-0.74066143,0.00000000,-0.00000000
-5.93996998,2.94566578,-2.94566690,0.64047848,-0.64047909,0.14841408,-0.14841411,0.00686656,-0.00686654,0.86808642,-0.86808656,1.55147887,-1.55147994,1.19168880,-1.19168880,0.72333103,-0.72333166,0.00000000,-0.00000000
-5.93396698,2.93393674,-2.93393804,0.62373171,-0.62373235,0.14405859,-0.14405865,0.00708955,-0.00708954,0.87447140,-0.87447160,1.53291398,-1.53291516,1.20706528,-1.20706535,0.70544998,-0.70545064,0.00000000,-0.00000000
-5.92796398,2.91599479,-2.91599627,0.60691288,-0.60691353,0.13931956,-0.13931964,0.00727192,-0.00727191,0.87832215,-0.87832241,1.51105558,-1.51105685,1.21942027,-1.21942040,0.68712311,-0.68712380,0.00000000,-0.00000000
-5.92196098,2.89173560,-2.89173723,0.59011663,-0.59011730,0.13424795,-0.13424804,0.00740937,-0.00740936,0.87953949,-0.87953981,1.48616254,-1.48616388,1.22837642,-1.22837662,0.66845765,-0.66845836,0.00000000,-0.00000000
-5.91595798,2.86111951,-2.86112129,0.57343435,-0.57343503,0.12890057,-0.12890068,0.00749852,-0.00749852,0.87805042,-0.87805079,1.45850550,-1.45850690,1.23359869,-1.23359897,0.64956163,-0.64956235,0.00000000,-0.00000000
-5.90995498,2.82418264,-2.82418456,0.55695405,-0.55695474,0.12333908,-0.12333920,0.00753702,-0.00753702,0.87381287,-0.87381329,1.42835992,-1.42836137,1.23481043,-1.23481078,0.63054292,-0.63054365,0.00000000,-0.00000000
-5.90395198,2.78104716,-2.78104921,0.54076055,-0.54076124,0.11762883,-0.11762896,0.00752362,-0.00752363,0.86682012,-0.86682059,1.39599990,-1.39600139,1.23180832,-1.23180874,0.61150849,-0.61150923,0.00000000,-0.00000000
-5.89794897,2.73193049,-2.73193264,0.52493586,-0.52493655,0.11183773,-0.11183787,0.00745823,-0.00745824,0.85710479,-0.85710531,1.36169345,-1.36169496,1.22447560,-1.22447608,0.59256387,-0.59256462,0.00000000,-0.00000000
-5.89194597,2.67715306,-2.67715531,0.50955989,-0.50956058,0.10603506,-0.10603521,0.00734191,-0.00734192,0.84474207,-0.84474262,1.32569920,-1.32570072,1.21279282,-1.21279338,0.57381313,-0.57381388,0.00000000,-0.00000000
-5.88594297,2.61714424,-2.61714655,0.49471158,-0.49471226,0.10029037,-0.10029053,0.00717682,-0.00717684,0.82985205,-0.82985263,1.28826496,-1.28826647,1.19684562,-1.19684623,0.55535921,-0.55535995,0.00000000,-0.00000000
-5.87993997,2.55244589,-2.55244826,0.48047028,-0.48047095,0.09467249,-0.09467265,0.00696620,-0.00696621,0.81260095,-0.81260157,1.24962800,-1.24962951,1.17682898,-1.17682965,0.53730482,-0.53730555,0.00000000,-0.00000000
-5.87393697,2.48371330,-2.48371571,0.46691739,-0.46691805,0.08924861,-0.08924877,0.00671416,-0.00671418,0.79320117,-0.79320180,1.21001697,-1.21001846,1.15304784,-1.15304856,0.51975370,-0.51975442,0.00000000,-0.00000000
-5.86793397,2.41171298,-2.41171540,0.45413816,-0.45413880,0.08408362,-0.08408377,0.00642561,-0.00642563,0.77190979,-0.77191044,1.16965505,-1.16965651,1.12591377,-1.12591454,0.50281220,-0.50281290,0.00000000,-0.00000000
-5.86193097,2.33731703,-2.33731945,0.44222333,-0.44222395,0.07923949,-0.07923964,0.00610607,-0.00610610,0.74902580,-0.74902647,1.12876403,-1.12876546,1.09593785,-1.09593865,0.48659092,-0.48659159,0.00000000,-0.00000000
