energy_ev,total_up,Cu_p_up,Cu_d_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up
-6.00000000,2.46493204,0.58277192,0.41300199,0.01313145,0.00000000,0.07324058,2.01456556
-5.99399700,2.43130303,0.58217424,0.41085573,0.01342439,0.00000000,0.07291349,1.97332509
-5.98799400,2.40325438,0.58247667,0.40942125,0.01374200,0.00000000,0.07264150,1.93732055
-5.98199100,2.38065316,0.58361272,0.40865440,0.01407350,0.00000000,0.07241657,1.90656251
-5.97598799,2.36315882,0.58547535,0.40847979,0.01440859,0.00000000,0.07222537,1.88087102
-5.96998499,2.35025153,0.58792277,0.40879579,0.01473755,0.00000000,0.07205010,1.85989870
-5.96398199,2.34126626,0.59078577,0.40948043,0.01505140,0.00000000,0.07186955,1.84315903
-5.95797899,2.33543049,0.59387565,0.41039776,0.01534208,0.00000000,0.07166029,1.83005796
-5.95197599,2.33190326,0.59699262,0.41140439,0.01560251,0.00000000,0.07139784,1.81992711
-5.94597299,2.32981353,0.59993393,0.41235570,0.01582672,0.00000000,0.07105796,1.81205662
-5.93996998,2.32829600,0.60250145,0.41311162,0.01600991,0.00000000,0.07061773,1.80572629
-5.93396698,2.32652270,0.60450827,0.41354149,0.01614847,0.00000000,0.07005659,1.80023367
-5.92796398,2.32372951,0.60578404,0.41352812,0.01623997,0.00000000,0.06935720,1.79491795
-5.92196098,2.31923665,0.60617900,0.41297066,0.01628309,0.00000000,0.06850607,1.78917934
-5.91595798,2.31246312,0.60556657,0.41178648,0.01627756,0.00000000,0.06749400,1.78249333
-5.90995498,2.30293510,0.60384461,0.40991200,0.01622404,0.00000000,0.06631628,1.77442013
-5.90395198,2.29028886,0.60093544,0.40730261,0.01612395,0.00000000,0.06497273,1.76460940
-5.89794897,2.27426894,0.59678492,0.40393181,0.01597936,0.00000000,0.06346748,1.75280087
-5.89194597,2.25472252,0.59136076,0.39978978,0.01579283,0.00000000,0.06180862,1.73882163
-5.88594297,2.23159094,0.58465035,0.39488159,0.01556725,0.00000000,0.06000778,1.72258051
-5.87993997,2.20489944,0.57665842,0.38922512,0.01530573,0.00000000,0.05807951,1.70406068
-5.87393697,2.17474591,0.56740471,0.38284904,0.01501147,0.00000000,0.05604066,1.68331082
-5.86793397,2.14128955,0.55692183,0.37579078,0.01468767,0.00000000,0.05390978,1.66043571
-5.86193097,2.10473981,0.54525353,0.36809476,0.01433747,0.00000000,0.05170645,1.63558656
-5.85592796,2.06534612,0.53245329,0.35981085,0.01396391,0.00000000,0.04945067,1.60895148
-5.84992496,2.02338863,0.51858342,0.35099305,0.01356990,0.00000000,0.04716237,1.58074626
-5.84392196,1.97916976,0.50371447,0.34169845,0.01315820,0.00000000,0.04486086,1.55120571
-5.83791896,1.93300666,0.48792491,0.33198641,0.01273150,0.00000000,0.04256446,1.52057528
-5.83191596,1.88522429,0.47130098,0.32191785,0.01229235,0.00000000,0.04029018,1.48910334
