energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
-6.00000000,0.90731307,-0.06779739,0.24981851,-0.00501860,0.31383025,-0.01519326,0.03168704,-0.00290894,0.15198482,-0.01820499,0.31679187,-0.02121904,0.00000000,-0.00000000
-5.99399700,0.82869735,-0.06643845,0.22226439,-0.00593230,0.28717573,-0.01494613,0.02933136,-0.00278801,0.14069229,-0.01756414,0.28651104,-0.02114828,0.00000000,-0.00000000
-5.98799400,0.75445032,-0.06561767,0.19706455,-0.00712364,0.26202599,-0.01483313,0.02704877,-0.00267551,0.12973943,-0.01700288,0.25832813,-0.02132937,0.00000000,-0.00000000
-5.98199100,0.68493107,-0.06555312,0.17425551,-0.00865911,0.23851912,-0.01490605,0.02485593,-0.00257770,0.11920333,-0.01656596,0.23234087,-0.02184830,0.00000000,-0.00000000
-5.97598799,0.62043114,-0.06648578,0.15383884,-0.01061623,0.21677214,-0.01522231,0.02276827,-0.00250126,0.10915471,-0.01630169,0.20861581,-0.02280156,0.00000000,-0.00000000
-5.96998499,0.56118375,-0.06868012,0.13578805,-0.01308431,0.19688408,-0.01584521,0.02080000,-0.00245326,0.09965792,-0.01626193,0.18719364,-0.02429658,0.00000000,-0.00000000
-5.96398199,0.50737267,-0.07242446,0.12005527,-0.01616511,0.17893881,-0.01684403,0.01896418,-0.00244113,0.09077100,-0.01650195,0.16809443,-0.02645204,0.00000000,-0.00000000
-5.95797899,0.45914041,-0.07803082,0.10657749,-0.01997316,0.16300778,-0.01829399,0.01727277,-0.00247265,0.08254574,-0.01708034,0.15132248,-0.02939799,0.00000000,-0.00000000
-5.95197599,0.41659552,-0.08583416,0.09528210,-0.02463566,0.14915223,-0.02027610,0.01573666,-0.00255592,0.07502765,-0.01805877,0.13687058,-0.03327561,0.00000000,-0.00000000
-5.94597299,0.37981879,-0.09619064,0.08609162,-0.03029193,0.13742513,-0.02287679,0.01436572,-0.00269932,0.06825600,-0.01950166,0.12472366,-0.03823652,0.00000000,-0.00000000
-5.93996998,0.34886825,-0.10947480,0.07892747,-0.03709223,0.12787255,-0.02618715,0.01316888,-0.00291141,0.06226394,-0.02147566,0.11486172,-0.04444154,0.00000000,-0.00000000
-5.93396698,0.32378288,-0.12607515,0.07371281,-0.04519583,0.12053457,-0.03030192,0.01215414,-0.00320092,0.05707844,-0.02404888,0.10726198,-0.05205885,0.00000000,-0.00000000
-5.92796398,0.30458508,-0.14638823,0.07037444,-0.05476836,0.11544575,-0.03531800,0.01132868,-0.00357653,0.05272048,-0.02728993,0.10190022,-0.06126125,0.00000000,-0.00000000
-5.92196098,0.29128192,-0.17081075,0.06884378,-0.06597824,0.11263498,-0.04133253,0.01069885,-0.00404681,0.04920509,-0.03126659,0.09875151,-0.07222274,0.00000000,-0.00000000
-5.91595798,0.28386512,-0.19972979,0.06905699,-0.07899229,0.11212496,-0.04844049,0.01027024,-0.00461999,0.04654144,-0.03604421,0.09779010,-0.08511413,0.00000000,-0.00000000
-5.90995498,0.28231000,-0.23351110,0.07095438,-0.09397042,0.11393116,-0.05673182,0.01004766,-0.00530370,0.04473298,-0.04168376,0.09898876,-0.10009782,0.00000000,-0.00000000
-5.90395198,0.28657339,-0.27248550,0.07447927,-0.11105950,0.11806042,-0.06628805,0.01003520,-0.00610478,0.04377747,-0.04823962,0.10231758,-0.11732171,0.00000000,-0.00000000
-5.89794897,0.29659062,-0.31693377,0.07957632,-0.13038659,0.12450912,-0.07717863,0.01023612,-0.00702891,0.04366707,-0.05575710,0.10774223,-0.13691247,0.00000000,-0.00000000
-5.89194597,0.31227186,-0.36707034,0.08618957,-0.15205158,0.13326111,-0.08945688,0.01065282,-0.00808032,0.04438835,-0.06426974,0.11522200,-0.15896821,0.00000000,-0.00000000
-5.88594297,0.33349782,-0.42302635,0.09426035,-0.17611961,0.14428543,-0.10315579,0.01128672,-0.00926144,0.04592224,-0.07379658,0.12470750,-0.18355093,0.00000000,-0.00000000
-5.87993997,0.36011518,-0.48483278,0.10372510,-0.20261339,0.15753390,-0.11828393,0.01213811,-0.01057259,0.04824394,-0.08433941,0.13613830,-0.21067888,0.00000000,-0.00000000
-5.87393697,0.39193192,-0.55240440,0.11451344,-0.23150596,0.17293868,-0.13482140,0.01320597,-0.01201165,0.05132289,-0.09588022,0.14944058,-0.24031934,0.00000000,-0.00000000
-5.86793397,0.42871277,-0.62552550,0.12654636,-0.26271412,0.19041003,-0.15271633,0.01448771,-0.01357378,0.05512255,-0.10837893,0.16452492,-0.27238212,0.00000000,-0.00000000
-5.86193097,0.47017513,-0.70383828,0.13973495,-0.29609296,0.20983421,-0.17188199,0.01597893,-0.01525122,0.05960030,-0.12177162,0.18128438,-0.30671417,0.00000000,-0.00000000
-5.85592796,0.51598569,-0.78683482,0.15397943,-0.33143194,0.23107183,-0.19219474,0.01767314,-0.01703314,0.06470735,-0.13596943,0.19959294,-0.34309583,0.00000000,-0.00000000
-5.84992496,0.56575809,-0.87385358,0.16916895,-0.36845281,0.25395669,-0.21349315,0.01956145,-0.01890560,0.07038861,-0.15085813,0.21930455,-0.38123892,0.00000000,-0.00000000
-5.84392196,0.61905176,-0.96408106,0.18518176,-0.40680979,0.27829526,-0.23557829,0.02163233,-0.02085163,0.07658276,-0.16629870,0.24025263,-0.42078720,0.00000000,-0.00000000
-5.83791896,0.67537238,-1.05655927,0.20188620,-0.44609218,0.30386682,-0.25821553,0.02387132,-0.02285141,0.08322233,-0.18212887,0.26225042,-0.46131931,0.00000000,-0.00000000
-5.83191596,0.73417386,-1.15019929,0.21914216,-0.48582961,0.33042454,-0.28113779,0.02626082,-0.02488260,0.09023399,-0.19816566,0.28509198,-0.50235441,0.00000000,-0.00000000
-5.82591296,0.79486226,-1.24380105,0.23680317,-0.52549999,0.35769735,-0.30405034,0.02877998,-0.02692078,0.09753894,-0.21420895,0.30855392,-0.54336058,0.00000000,-0.00000000
-5.81990995,0.85680147,-1.33607888,0.25471889,-0.56454000,0.38539276,-0.32663697,0.03140463,-0.02894007,0.10505354,-0.23004609,0.33239802,-0.58376578,0.00000000,-0.00000000
-5.81390695,0.91932084,-1.42569246,0.27273808,-0.60235796,0.41320059,-0.34856759,0.03410730,-0.03091374,0.11269011,-0.24545727,0.35637441,-0.62297130,0.00000000,-0.00000000
-5.80790395,0.98172438,-1.51128201,0.29071168,-0.63834870,0.44079748,-0.36950680,0.03685745,-0.03281504,0.12035786,-0.26022158,0.38022548,-0.66036705,0.00000000,-0.00000000
-5.80190095,1.04330171,-1.59150669,0.30849607,-0.67190993,0.46785227,-0.38912328,0.03962168,-0.03461797,0.12796417,-0.27412359,0.40369036,-0.69534848,0.00000000,-0.00000000
-5.79589795,1.10334013,-1.66508456,0.32595617,-0.70245952,0.49403199,-0.40709967,0.04236425,-0.03629815,0.13541580,-0.28696003,0.42650969,-0.72733422,0.00000000,-0.00000000
-5.78989495,1.16113766,-1.73083254,0.34296836,-0.72945298,0.51900822,-0.42314238,0.04504758,-0.03783363,0.14262046,-0.29854638,0.44843072,-0.75578390,0.00000000,-0.00000000
-5.78389195,1.21601663,-1.78770455,0.35942293,-0.75240047,0.54246394,-0.43699102,0.04763293,-0.03920565,0.14948836,-0.30872306,0.46921241,-0.78021527,0.00000000,-0.00000000
-5.77788894,1.26733725,-1.83482604,0.37522604,-0.77088252,0.56410021,-0.44842698,0.05008126,-0.04039934,0.15593380,-0.31736081,0.48863047,-0.80021999,0.00000000,-0.00000000
-5.77188594,1.31451077,-1.87152331,0.39030091,-0.78456376,0.58364285,-0.45728078,0.05235405,-0.04140420,0.16187679,-0.32436517,0.50648197,-0.81547712,0.00000000,-0.00000000
-5.76588294,1.35701168,-1.89734603,0.40458832,-0.79320411,0.60084860,-0.46343771,0.05441425,-0.04221453,0.16724465,-0.32967961,0.52258950,-0.82576389,0.00000000,-0.00000000
-5.75987994,1.39438838,-1.91208181,0.41804623,-0.79666672,0.61551067,-0.46684165,0.05622729,-0.04282955,0.17197336,-0.33328721,0.53680460,-0.83096307,0.00000000,-0.00000000
-5.75387694,1.42627208,-1.91576208,0.43064863,-0.79492247,0.62746331,-0.46749668,0.05776195,-0.04325342,0.17600889,-0.33521083,0.54901034,-0.83106657,0.00000000,-0.00000000
-5.74787394,1.45238331,-1.90865871,0.44238352,-0.78805058,0.63658542,-0.46546648,0.05899136,-0.04349496,0.17930816,-0.33551161,0.55912299,-0.82617509,0.00000000,-0.00000000
-5.74187094,1.47253586,-1.89127166,0.45325031,-0.77623553,0.64280280,-0.46087150,0.05989369,-0.04356725,0.18183982,-0.33428596,0.56709254,-0.81649383,0.00000000,-0.00000000
-5.73586793,1.48663802,-1.86430795,0.46325650,-0.75976028,0.64608908,-0.45388401,0.06045291,-0.04348698,0.18358465,-0.33166105,0.57290227,-0.80232431,0.00000000,-0.00000000
-5.72986493,1.49469092,-1.82865315,0.47241407,-0.73899605,0.64646529,-0.44472132,0.06065926,-0.04327364,0.18453565,-0.32778915,0.57656723,-0.78405293,0.00000000,-0.00000000
-5.72386193,1.49678417,-1.78533658,0.48073569,-0.71438939,0.64399791,-0.43363733,0.06050958,-0.04294865,0.18469784,-0.32284096,0.57813171,-0.76213653,0.00000000,-0.00000000
-5.71785893,1.49308888,-1.73549195,0.48823084,-0.68644689,0.63879574,-0.42091306,0.06000739,-0.04253434,0.18408763,-0.31699836,0.57766597,-0.73708582,0.00000000,-0.00000000
-5.71185593,1.48384854,-1.68031538,0.49490233,-0.65571833,0.63100547,-0.40684634,0.05916282,-0.04205297,0.18273196,-0.31044685,0.57526218,-0.70944742,0.00000000,-0.00000000
