energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,0.88775537,0.06850231,0.03042715,0.00675256,0.00000000,0.32768869,0.15528325,0.03677210,0.34309457
-5.99399700,0.87193243,0.06486032,0.03001310,0.00694290,0.00000000,0.31684934,0.14867639,0.03677995,0.34034901
-5.98799400,0.85852309,0.06105440,0.02970307,0.00719239,0.00000000,0.30619647,0.14193209,0.03697765,0.33902247
-5.98199100,0.84881564,0.05715700,0.02954387,0.00751276,0.00000000,0.29615848,0.13523129,0.03742316,0.33964946
-5.97598799,0.84407334,0.05323807,0.02958182,0.00791535,0.00000000,0.28715557,0.12874931,0.03817285,0.34275521
-5.96998499,0.84550305,0.04936320,0.02986168,0.00841080,0.00000000,0.27958961,0.12265120,0.03927988,0.34884268
-5.96398199,0.85422552,0.04559201,0.03042565,0.00900872,0.00000000,0.27383489,0.11708766,0.04079271,0.35838000
-5.95797899,0.87124808,0.04197685,0.03131243,0.00971738,0.00000000,0.27023000,0.11219147,0.04275362,0.37178869
-5.95197599,0.89744052,0.03856184,0.03255639,0.01054346,0.00000000,0.26907097,0.10807470,0.04519741,0.38943289
-5.94597299,0.93351445,0.03538225,0.03418685,0.01149182,0.00000000,0.27060573,0.10482672,0.04815018,0.41160997
-5.93996998,0.98000686,0.03246425,0.03622747,0.01256525,0.00000000,0.27503020,0.10251287,0.05162838,0.43854260
-5.93396698,1.03726795,0.02982496,0.03869578,0.01376437,0.00000000,0.28248558,0.10117402,0.05563804,0.47037252
-5.92796398,1.10545342,0.02747283,0.04160281,0.01508753,0.00000000,0.29305719,0.10082680,0.06017427,0.50715620
-5.92196098,1.18452130,0.02540826,0.04495293,0.01653079,0.00000000,0.30677455,0.10146447,0.06522104,0.54886236
-5.91595798,1.27423328,0.02362446,0.04874371,0.01808794,0.00000000,0.32361252,0.10305846,0.07075126,0.59537142
-5.90995498,1.37416016,0.02210841,0.05296597,0.01975064,0.00000000,0.34349353,0.10556035,0.07672712,0.64647697
-5.90395198,1.48369131,0.02084204,0.05760394,0.02150855,0.00000000,0.36629062,0.10890425,0.08310075,0.70188904
-5.89794897,1.60204767,0.01980337,0.06263545,0.02334957,0.00000000,0.39183115,0.11300955,0.08981519,0.76123915
-5.89194597,1.72829781,0.01896774,0.06803226,0.02526010,0.00000000,0.41990098,0.11778373,0.09680552,0.82408699
-5.88594297,1.86137651,0.01830900,0.07376044,0.02722535,0.00000000,0.45024905,0.12312545,0.10400030,0.88992844
