energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.53518539,0.11997247,0.00000000,1.23499278,0.00000000,0.68284347,0.23964232
-5.99399700,2.53257384,0.12218329,0.00000000,1.22509300,0.00000000,0.68140582,0.23908111
-5.98799400,2.52859829,0.12459076,0.00000000,1.21324154,0.00000000,0.68155340,0.23848603
-5.98199100,2.52301242,0.12717776,0.00000000,1.19941447,0.00000000,0.68319561,0.23780019
-5.97598799,2.51565352,0.12992614,0.00000000,1.18365533,0.00000000,0.68623019,0.23697559
-5.96998499,2.50643740,0.13281638,0.00000000,1.16606964,0.00000000,0.69054057,0.23597369
-5.96398199,2.49535064,0.13582719,0.00000000,1.14681757,0.00000000,0.69599379,0.23476558
-5.95797899,2.48244033,0.13893526,0.00000000,1.12610516,0.00000000,0.70243909,0.23333179
-5.95197599,2.46780200,0.14211487,0.00000000,1.10417445,0.00000000,0.70970716,0.23166170
-5.94597299,2.45156621,0.14533768,0.00000000,1.08129303,0.00000000,0.71761033,0.22975267
-5.93996998,2.43388486,0.14857261,0.00000000,1.05774346,0.00000000,0.72594364,0.22760880
-5.93396698,2.41491782,0.15178579,0.00000000,1.03381324,0.00000000,0.73448682,0.22523963
-5.92796398,2.39482100,0.15494073,0.00000000,1.00978563,0.00000000,0.74300744,0.22265866
-5.92196098,2.37373667,0.15799861,0.00000000,0.98593200,0.00000000,0.75126494,0.21988195
-5.91595798,2.35178669,0.16091886,0.00000000,0.96250593,0.00000000,0.75901573,0.21692679
-5.90995498,2.32906930,0.16365983,0.00000000,0.93973944,0.00000000,0.76601905,0.21381069
-5.90395198,2.30565982,0.16617973,0.00000000,0.91784144,0.00000000,0.77204366,0.21055052
-5.89794897,2.28161517,0.16843776,0.00000000,0.89699841,0.00000000,0.77687489,0.20716212
-5.89194597,2.25698217,0.17039529,0.00000000,0.87737714,0.00000000,0.78032204,0.20366021
-5.88594297,2.23180893,0.17201724,0.00000000,0.85912929,0.00000000,0.78222569,0.20005868
-5.87993997,2.20615869,0.17327344,0.00000000,0.84239714,0.00000000,0.78246455,0.19637120
-5.87393697,2.18012486,0.17414003,0.00000000,0.82732025,0.00000000,0.78096169,0.19261210
-5.86793397,2.15384631,0.17460066,0.00000000,0.81404214,0.00000000,0.77768958,0.18879738
-5.86193097,2.12752139,0.17464769,0.00000000,0.80271644,0.00000000,0.77267386,0.18494582
-5.85592796,2.10141948,0.17428302,0.00000000,0.79351183,0.00000000,0.76599528,0.18108003
-5.84992496,2.07588881,0.17351874,0.00000000,0.78661511,0.00000000,0.75778986,0.17722728
-5.84392196,2.05135938,0.17237736,0.00000000,0.78223187,0.00000000,0.74824692,0.17342013
-5.83791896,2.02834027,0.17089169,0.00000000,0.78058442,0.00000000,0.73760495,0.16969662
-5.83191596,2.00741073,0.16910430,0.00000000,0.78190664,0.00000000,0.72614532,0.16610006
-5.82591296,1.98920484,0.16706658,0.00000000,0.78643591,0.00000000,0.71418407,0.16267829
-5.81990995,1.97439021,0.16483732,0.00000000,0.79440214,0.00000000,0.70206176,0.15948250
-5.81390695,1.96364112,0.16248103,0.00000000,0.80601439,0.00000000,0.69013187,0.15656556
-5.80790395,1.95760730,0.16006576,0.00000000,0.82144569,0.00000000,0.67874807,0.15397995
-5.80190095,1.95687978,0.15766082,0.00000000,0.84081685,0.00000000,0.66825088,0.15177541
-5.79589795,1.96195543,0.15533422,0.00000000,0.86418011,0.00000000,0.65895415,0.14999634
-5.78989495,1.97320212,0.15315004,0.00000000,0.89150377,0.00000000,0.65113203,0.14867920
-5.78389195,1.99082651,0.15116591,0.00000000,0.92265874,0.00000000,0.64500695,0.14785003
-5.77788894,2.01484642,0.14943053,0.00000000,0.95740805,0.00000000,0.64073914,0.14752216
-5.77188594,2.04506961,0.14798157,0.00000000,0.99540027,0.00000000,0.63841830,0.14769437
-5.76588294,2.08108058,0.14684383,0.00000000,1.03616750,0.00000000,0.63805773,0.14834956
-5.75987994,2.12223659,0.14602796,0.00000000,1.07912854,0.00000000,0.63959140,0.14945407
-5.75387694,2.16767373,0.14552968,0.00000000,1.12359748,0.00000000,0.64287413,0.15095768
-5.74787394,2.21632325,0.14532963,0.00000000,1.16879770,0.00000000,0.64768492,0.15279441
-5.74187094,2.26693797,0.14539386,0.00000000,1.21388098,0.00000000,0.65373356,0.15488398
-5.73586793,2.31812792,0.14567493,0.00000000,1.25795105,0.00000000,0.66067010,0.15713411
