energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-5.35767884,10.85584227,1.91909890,8.20345544,0.02786866,0.31452369,1.54935383,0.49338990,0.05334886,1.44094574
-5.35167584,10.84793930,1.89419726,8.22766138,0.02730333,0.30967916,1.51216405,0.49032784,0.05276697,1.42586909
-5.34567284,10.83937127,1.86851430,8.25087016,0.02680524,0.30458760,1.47429240,0.48728168,0.05227157,1.41168050
-5.33966983,10.82875536,1.84195747,8.27178717,0.02637812,0.29921368,1.43585899,0.48423453,0.05186504,1.39831719
-5.33366683,10.81466071,1.81445863,8.28907197,0.02602466,0.29352885,1.39698904,0.48117141,0.05154888,1.38569707
-5.32766383,10.79569236,1.78598464,8.30140665,0.02574657,0.28751350,1.35781933,0.47808230,0.05132410,1.37372793
-5.32166083,10.77057479,1.75654618,8.30756476,0.02554467,0.28115876,1.31850351,0.47496513,0.05119158,1.36231647
-5.31565783,10.73823091,1.72620457,8.30647753,0.02541895,0.27446783,1.27921596,0.47182842,0.05115239,1.35137703
-5.30965483,10.69785277,1.69507584,8.29729423,0.02536870,0.26745681,1.24015396,0.46869336,0.05120812,1.34083931
-5.30365183,10.64896047,1.66333210,8.27943400,0.02539253,0.26015491,1.20153790,0.46559528,0.05136104,1.33065475
-5.29764882,10.59144666,1.63119985,8.25262667,0.02548847,0.25260418,1.16360963,0.46258441,0.05161419,1.32080134
-5.29164582,10.52560451,1.59895546,8.21694089,0.02565405,0.24485858,1.12662894,0.45972579,0.05197147,1.31128657
-5.28564282,10.45213796,1.56691793,8.17279811,0.02588631,0.23698266,1.09086856,0.45709835,0.05243750,1.30214844
-5.27963982,10.37215379,1.53543935,8.12097203,0.02618189,0.22904970,1.05660769,0.45479322,0.05301748,1.29345458
-5.27363682,10.28713594,1.50489353,8.06257340,0.02653699,0.22113962,1.02412471,0.45291128,0.05371693,1.28529945
-5.26763382,10.19890320,1.47566324,7.99902078,0.02694749,0.21333651,0.99368928,0.45156005,0.05454141,1.27780002
-5.26163082,10.10955209,1.44812682,7.93199851,0.02740890,0.20572616,0.96555434,0.45085008,0.05549613,1.27108996
-5.25562781,10.02138734,1.42264457,7.86340340,0.02791642,0.19839338,0.93994832,0.45089099,0.05658555,1.26531280
-5.24962481,9.93684263,1.39954567,7.79528243,0.02846497,0.19141955,0.91706804,0.45178730,0.05781299,1.26061437
-5.24362181,9.85839496,1.37911610,7.72976361,0.02904920,0.18488018,0.89707251,0.45363423,0.05918024,1.25713492
-5.23761881,9.78847579,1.36158796,7.66898271,0.02966359,0.17884273,0.88007786,0.45651372,0.06068712,1.25500120
