energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,13.08422395,2.74541907,9.29900769,0.04222336,0.66601589,0.95672583,0.51286356,0.06390121,1.84822151
-5.99399700,13.01580164,2.75650832,9.25210969,0.04209282,0.66134270,0.95017807,0.50779146,0.06222228,1.83708110
-5.98799400,12.93936690,2.76557682,9.19878179,0.04194259,0.65654606,0.94385916,0.50272175,0.06053492,1.82588676
-5.98199100,12.85561254,2.77234501,9.13967084,0.04177164,0.65158405,0.93781596,0.49769629,0.05884898,1.81473609
-5.97598799,12.76543233,2.77656316,9.07557952,0.04157907,0.64641724,0.93210863,0.49275830,0.05717461,1.80373894
-5.96998499,12.66987787,2.77801401,9.00743162,0.04136399,0.64100902,0.92680661,0.48795020,0.05552221,1.79301065
-5.96398199,12.57011162,2.77651513,8.93623391,0.04112546,0.63532574,0.92198434,0.48331171,0.05390225,1.78266535
-5.95797899,12.46735891,2.77192100,8.86303706,0.04086231,0.62933699,0.91771706,0.47887825,0.05232518,1.77280994
-5.95197599,12.36286160,2.76412490,8.78889757,0.04057316,0.62301573,0.91407691,0.47467988,0.05080124,1.76353892
-5.94597299,12.25783571,2.75306048,8.71484277,0.04025635,0.61633853,0.91112958,0.47074055,0.04934037,1.75493056
-5.93996998,12.15343536,2.73870308,8.64184059,0.03990993,0.60928575,0.90893168,0.46707808,0.04795201,1.74704449
-5.93396698,12.05072434,2.72107073,8.57077544,0.03953180,0.60184178,0.90752895,0.46370447,0.04664500,1.73992089
-5.92796398,11.95065645,2.70022463,8.50243107,0.03911973,0.59399534,0.90695538,0.46062675,0.04542746,1.73358119
-5.92196098,11.85406488,2.67626921,8.43748077,0.03867156,0.58573979,0.90723326,0.45784817,0.04430668,1.72803027
-5.91595798,11.76166053,2.64935149,8.37648492,0.03818535,0.57707346,0.90837397,0.45536970,0.04328904,1.72325987
-5.90995498,11.67403821,2.61965985,8.31989517,0.03765958,0.56800003,0.91037949,0.45319164,0.04238001,1.71925294
-5.90395198,11.59168968,2.58742193,8.26806441,0.03709334,0.55852889,0.91324447,0.45131527,0.04158405,1.71598861
-5.89794897,11.51502163,2.55290188,8.22126117,0.03648654,0.54867551,0.91695851,0.44974444,0.04090468,1.71344741
-5.89194597,11.44437682,2.51639669,8.17968694,0.03584009,0.53846174,0.92150865,0.44848687,0.04034446,1.71161625
-5.88594297,11.38005616,2.47823187,8.14349476,0.03515602,0.52791610,0.92688162,0.44755518,0.03990507,1.71049304
-5.87993997,11.32234005,2.43875637,8.11280762,0.03443764,0.51707391,0.93306588,0.44696748,0.03958735,1.71009029
-5.87393697,11.27150678,2.39833700,8.08773491,0.03368956,0.50597733,0.94005317,0.44674755,0.03939133,1.71043780
-5.86793397,11.22784681,2.35735238,8.06838591,0.03291773,0.49467526,0.94783939,0.44692446,0.03931639,1.71158391
-5.86193097,11.19167163,2.31618660,8.05487919,0.03212939,0.48322308,0.95642488,0.44753179,0.03936121,1.71359549
-5.85592796,11.16331648,2.27522286,8.04734732,0.03133294,0.47168213,0.96581404,0.44860630,0.03952394,1.71655649
-5.84992496,11.14313676,2.23483712,8.04593663,0.03053785,0.46011908,0.97601423,0.45018628,0.03980215,1.72056509
-5.84392196,11.13149827,2.19539209,8.05080206,0.02975438,0.44860507,0.98703409,0.45230959,0.04019293,1.72572973
-5.83791896,11.12876193,2.15723154,8.06209757,0.02899343,0.43721459,0.99888145,0.45501139,0.04069286,1.73216410
