energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.94212166,0.01231501,0.05176309,0.01853724,0.00000000,0.00945435,1.15292461,0.51564981,0.14092564
-5.99399700,2.01244623,0.01270029,0.05352161,0.01925025,0.00000000,0.00979516,1.19500089,0.53447543,0.14645459
-5.98799400,2.07387505,0.01302041,0.05503117,0.01987869,0.00000000,0.01008878,1.23183830,0.55089330,0.15141532
-5.98199100,2.12571808,0.01327286,0.05626957,0.02041544,0.00000000,0.01033159,1.26303456,0.56471410,0.15575839
-5.97598799,2.16750516,0.01345713,0.05722056,0.02085547,0.00000000,0.01052115,1.28831791,0.57580391,0.15944967
-5.96998499,2.19900555,0.01357479,0.05787451,0.02119597,0.00000000,0.01065635,1.30755861,0.58408902,0.16247189
-5.96398199,2.22024021,0.01362960,0.05822889,0.02143652,0.00000000,0.01073746,1.32077613,0.58955901,0.16482556
-5.95797899,2.23148623,0.01362744,0.05828844,0.02157916,0.00000000,0.01076621,1.32814162,0.59226783,0.16652937
-5.95197599,2.23327314,0.01357623,0.05806529,0.02162837,0.00000000,0.01074576,1.32997562,0.59233285,0.16762009
-5.94597299,2.22637106,0.01348579,0.05757869,0.02159095,0.00000000,0.01068071,1.32674090,0.58993198,0.16815172
-5.93996998,2.21177102,0.01336757,0.05685463,0.02147585,0.00000000,0.01057692,1.31903062,0.58529878,0.16819420
-5.93396698,2.19065811,0.01323433,0.05592517,0.02129395,0.00000000,0.01044148,1.30755225,0.57871593,0.16783153
-5.92796398,2.16437825,0.01309981,0.05482770,0.02105768,0.00000000,0.01028241,1.29310772,0.57050715,0.16715941
-5.92196098,2.13439976,0.01297831,0.05360389,0.02078067,0.00000000,0.01010857,1.27657046,0.56102785,0.16628246
-5.91595798,2.10227101,0.01288423,0.05229865,0.02047735,0.00000000,0.00992932,1.25886007,0.55065496,0.16531116
-5.90995498,2.06957546,0.01283164,0.05095889,0.02016248,0.00000000,0.00975430,1.24091553,0.53977605,0.16435855
-5.90395198,2.03788580,0.01283380,0.04963233,0.01985068,0.00000000,0.00959315,1.22366781,0.52877842,0.16353681
-5.89794897,2.00871841,0.01290276,0.04836617,0.01955601,0.00000000,0.00945524,1.20801268,0.51803814,0.16295387
-5.89194597,1.98348992,0.01304888,0.04720588,0.01929153,0.00000000,0.00934939,1.19478486,0.50790978,0.16271013
-5.88594297,1.96347706,0.01328057,0.04619405,0.01906891,0.00000000,0.00928363,1.18473404,0.49871675,0.16289541
-5.87993997,1.94978125,0.01360390,0.04536923,0.01889812,0.00000000,0.00926496,1.17850388,0.49074298,0.16358620
-5.87393697,1.94329892,0.01402247,0.04476497,0.01878712,0.00000000,0.00929919,1.17661440,0.48422579,0.16484338
-5.86793397,1.94469862,0.01453721,0.04440900,0.01874170,0.00000000,0.00939076,1.17944847,0.47935041,0.16671043
-5.86193097,1.95440559,0.01514637,0.04432254,0.01876540,0.00000000,0.00954267,1.18724281,0.47624629,0.16921217
-5.85592796,1.97259414,0.01584558,0.04451979,0.01885944,0.00000000,0.00975638,1.20008379,0.47498512,0.17235416
-5.84992496,1.99918818,0.01662800,0.04500762,0.01902283,0.00000000,0.01003189,1.21790810,0.47558086,0.17612267
-5.84392196,2.03386972,0.01748457,0.04578542,0.01925249,0.00000000,0.01036768,1.24050818,0.47799150,0.18048536
-5.83791896,2.07609486,0.01840434,0.04684522,0.01954353,0.00000000,0.01076091,1.26754237,0.48212265,0.18539245
-5.83191596,2.12511679,0.01937483,0.04817187,0.01988946,0.00000000,0.01120749,1.29854907,0.48783265,0.19077855
-5.82591296,2.18001460,0.02038254,0.04974353,0.02028261,0.00000000,0.01170227,1.33296452,0.49493916,0.19656490
-5.81990995,2.23972698,0.02141340,0.05153226,0.02071443,0.00000000,0.01223926,1.37014347,0.50322673,0.20266203
-5.81390695,2.30308918,0.02245325,0.05350479,0.02117592,0.00000000,0.01281182,1.40938170,0.51245525,0.20897266
-5.80790395,2.36887193,0.02348835,0.05562338,0.02165800,0.00000000,0.01341290,1.44993965,0.52236880,0.21539476
-5.80190095,2.43582053,0.02450578,0.05784689,0.02215187,0.00000000,0.01403528,1.49106611,0.53270461,0.22182468
-5.79589795,2.50269269,0.02549389,0.06013186,0.02264931,0.00000000,0.01467175,1.53202084,0.54320166,0.22816012
-5.78989495,2.56829350,0.02644254,0.06243367,0.02314295,0.00000000,0.01531529,1.57209548,0.55360869,0.23430287
-5.78389195,2.63150617,0.02734335,0.06470771,0.02362648,0.00000000,0.01595928,1.61063160,0.56369120,0.24016121
-5.77788894,2.69131747,0.02818980,0.06691062,0.02409475,0.00000000,0.01659756,1.64703544,0.57323729,0.24565193
-5.77188594,2.74683696,0.02897725,0.06900136,0.02454382,0.00000000,0.01722452,1.68078877,0.58206198,0.25070178
-5.76588294,2.79730962,0.02970280,0.07094229,0.02497093,0.00000000,0.01783516,1.71145559,0.59001003,0.25524846
-5.75987994,2.84212161,0.03036510,0.07270014,0.02537436,0.00000000,0.01842506,1.73868457,0.59695718,0.25924097
-5.75387694,2.88079953,0.03096411,0.07424676,0.02575329,0.00000000,0.01899032,1.76220764,0.60280983,0.26263959
-5.74787394,2.91300375,0.03150066,0.07555977,0.02610758,0.00000000,0.01952754,1.78183486,0.60750334,0.26541528
-5.74187094,2.93851667,0.03197617,0.07662297,0.02643748,0.00000000,0.02003364,1.79744642,0.61099912,0.26754876
-5.73586793,2.95722712,0.03239215,0.07742657,0.02674343,0.00000000,0.02050583,1.80898239,0.61328081,0.26902929
-5.72986493,2.96911223,0.03274989,0.07796714,0.02702571,0.00000000,0.02094144,1.81643117,0.61434984,0.26985334
-5.72386193,2.97421817,0.03305008,0.07824746,0.02728427,0.00000000,0.02133785,1.81981744,0.61422075,0.27002308
-5.71785893,2.97264104,0.03329253,0.07827603,0.02751851,0.00000000,0.02169238,1.81919057,0.61291650,0.26954505
-5.71185593,2.96450932,0.03347602,0.07806650,0.02772710,0.00000000,0.02200225,1.81461416,0.61046416,0.26842891
-5.70585293,2.94996888,0.03359815,0.07763688,0.02790793,0.00000000,0.02226453,1.80615752,0.60689128,0.26668642
-5.69984992,2.92917125,0.03365540,0.07700861,0.02805806,0.00000000,0.02247618,1.79388937,0.60222300,0.26433071
-5.69384692,2.90226588,0.03364324,0.07620565,0.02817375,0.00000000,0.02263409,1.77787419,0.59648017,0.26137586
-5.68784392,2.86939629,0.03355635,0.07525336,0.02825061,0.00000000,0.02273512,1.75817113,0.58967852,0.25783680
-5.68184092,2.83070022,0.03338894,0.07417753,0.02828372,0.00000000,0.02277630,1.73483549,0.58182874,0.25372943
-5.67583792,2.78631315,0.03313510,0.07300333,0.02826786,0.00000000,0.02275484,1.70792233,0.57293763,0.24907103
-5.66983492,2.73637471,0.03278925,0.07175444,0.02819772,0.00000000,0.02266841,1.67749172,0.56300985,0.24388084
-5.66383192,2.68103702,0.03234659,0.07045221,0.02806817,0.00000000,0.02251518,1.64361519,0.55205040,0.23818070
-5.65782891,2.62047414,0.03180347,0.06911505,0.02787453,0.00000000,0.02229402,1.60638257,0.54006735,0.23199572
-5.65182591,2.55489172,0.03115786,0.06775790,0.02761277,0.00000000,0.02200464,1.56590884,0.52707474,0.22535490
-5.64582291,2.48453584,0.03040965,0.06639200,0.02727974,0.00000000,0.02164764,1.52234014,0.51309542,0.21829164
-5.63981991,2.40970059,0.02956092,0.06502475,0.02687339,0.00000000,0.02122463,1.47585869,0.49816348,0.21084402
-5.63381691,2.33073353,0.02861611,0.06365982,0.02639283,0.00000000,0.02073825,1.42668618,0.48232635,0.20305490
-5.62781391,2.24803883,0.02758210,0.06229746,0.02583847,0.00000000,0.02019219,1.37508539,0.46564621,0.19497184
-5.62181091,2.16207791,0.02646818,0.06093495,0.02521205,0.00000000,0.01959113,1.32135995,0.44820078,0.18664674
