energy_ev,total_up,total_down,Li_s_up,Li_s_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.53868106,-3.00611084,0.23577939,-0.06625665,1.12194069,-2.37352112,0.28481948,-0.89252013,0.00186384,-0.00138477,0.29946330,-1.49699925,0.65028331,-0.40450217,0.00000000,-0.00000000
-5.99399700,1.58765990,-3.06480631,0.24205042,-0.06844669,1.14734174,-2.41827823,0.28907916,-0.91150381,0.00198355,-0.00137927,0.29906212,-1.52689189,0.68437295,-0.41247365,0.00000000,-0.00000000
-5.98799400,1.63817162,-3.11727758,0.24753116,-0.07138276,1.17175465,-2.45476974,0.29445020,-0.92868649,0.00211484,-0.00137711,0.29891684,-1.55166996,0.71921650,-0.42173405,0.00000000,-0.00000000
-5.98199100,1.69018752,-3.16232454,0.25219754,-0.07506291,1.19508722,-2.48210532,0.30088205,-0.94364058,0.00225994,-0.00137816,0.29898173,-1.57068334,0.75484219,-0.43218313,0.00000000,-0.00000000
-5.97598799,1.74366271,-3.19886138,0.25603817,-0.07948495,1.21725602,-2.49954652,0.30830852,-0.95596026,0.00242111,-0.00138217,0.29920863,-1.58336334,0.79126876,-0.44371105,0.00000000,-0.00000000
-5.96998499,1.79851566,-3.22596702,0.25905242,-0.08464754,1.23817723,-2.50654266,0.31664539,-0.96527896,0.00260060,-0.00138878,0.29954622,-1.58924862,0.82849345,-0.45620404,0.00000000,-0.00000000
-5.96398199,1.85460773,-3.24293101,0.26124836,-0.09055123,1.25775739,-2.50276100,0.32578832,-0.97128588,0.00280048,-0.00139754,0.29993919,-1.58800827,0.86648004,-0.46955015,0.00000000,-0.00000000
-5.95797899,1.91172401,-3.24929253,0.26264065,-0.09719926,1.27588463,-2.48810978,0.33561130,-0.97374088,0.00302258,-0.00140792,0.30032743,-1.57946060,0.90514772,-0.48364497,0.00000000,-0.00000000
-5.95197599,1.96955678,-3.24487064,0.26324849,-0.10459816,1.29242128,-2.46275278,0.34596580,-0.97248676,0.00326835,-0.00141938,0.30064556,-1.56358680,0.94436136,-0.49839700,0.00000000,-0.00000000
-5.94597299,2.02769285,-3.22978410,0.26309380,-0.11275798,1.30719852,-2.42711438,0.35668077,-0.96745852,0.00353872,-0.00143139,0.30082254,-1.54053854,0.98392403,-0.51373249,0.00000000,-0.00000000
