energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.64790667,0.50550027,0.35298677,0.00341971,0.56999211,0.02551644,1.01682150,0.71687026,0.71951726
-5.99399700,2.57284320,0.47963563,0.33398600,0.00328070,0.56778235,0.02458066,0.97270640,0.69533618,0.71147783
-5.98799400,2.49121015,0.45342072,0.31492530,0.00313494,0.56248851,0.02369030,0.92786252,0.67107415,0.70045976
-5.98199100,2.40403429,0.42718658,0.29599923,0.00298373,0.55424015,0.02284668,0.88279875,0.64445536,0.68665193
-5.97598799,2.31239379,0.40123896,0.27738161,0.00282851,0.54323471,0.02204948,0.83798068,0.61589687,0.67029429
-5.96998499,2.21739686,0.37585366,0.25922405,0.00267084,0.52973088,0.02129699,0.79382430,0.58585288,0.65167027
-5.96398199,2.12016136,0.35127331,0.24165535,0.00251239,0.51404029,0.02058641,0.75069214,0.55480553,0.63109851
-5.95797899,2.02179608,0.32770584,0.22478167,0.00235492,0.49651812,0.01991412,0.70889184,0.52325575,0.60892402
-5.95197599,1.92338420,0.30532436,0.20868742,0.00220029,0.47755303,0.01927597,0.66867687,0.49171412,0.58550937
-5.94597299,1.82596945,0.28426831,0.19343669,0.00205037,0.45755685,0.01866758,0.63024928,0.46069240,0.56122613
-5.93996998,1.73054508,0.26464573,0.17907518,0.00190709,0.43695451,0.01808459,0.59376410,0.43069557,0.53644706
-5.93396698,1.63804590,0.24653644,0.16563251,0.00177235,0.41617458,0.01752287,0.55933502,0.40221483,0.51153906
-5.92796398,1.54934323,0.22999572,0.15312466,0.00164801,0.39564058,0.01697877,0.52704102,0.37572150,0.48685737
-5.92196098,1.46524255,0.21505838,0.14155659,0.00153588,0.37576354,0.01644923,0.49693343,0.35166197,0.46274076
-5.91595798,1.38648335,0.20174290,0.13092489,0.00143767,0.35693561,0.01593200,0.46904314,0.33045361,0.43950799
-5.90995498,1.31374076,0.19005529,0.12122022,0.00135497,0.33952503,0.01542565,0.44338742,0.31248155,0.41745532
-5.90395198,1.24762822,0.17999268,0.11242970,0.00128925,0.32387224,0.01492966,0.41997611,0.29809635,0.39685498
-5.89794897,1.18870067,0.17154616,0.10453888,0.00124182,0.31028709,0.01444441,0.39881682,0.28761222,0.37795440
