energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.08366615,0.03458519,0.70104111,1.14301783,1.76075361,0.05682653,1.82027595,1.24878923,0.43713073
-5.99399700,5.07749733,0.03494833,0.71518219,1.15884134,1.80390473,0.05648520,1.78732104,1.19579261,0.43822442
-5.98799400,5.09549479,0.03553676,0.73373936,1.18069782,1.85785780,0.05639484,1.76113245,1.14701563,0.44105609
-5.98199100,5.13796258,0.03633420,0.75657022,1.20857068,1.92229450,0.05655381,1.74220732,1.10321827,0.44565268
-5.97598799,5.20470551,0.03732070,0.78343739,1.24232538,1.99666342,0.05695802,1.73091710,1.06504565,0.45201376
-5.96998499,5.29502852,0.03847317,0.81400940,1.28170918,2.08018171,0.05760116,1.72750445,1.03301895,0.46011226
-5.96398199,5.40774708,0.03976595,0.84786392,1.32635338,2.17184220,0.05847489,1.73208244,1.00752980,0.46989555
-5.95797899,5.54120859,0.04117144,0.88449329,1.37577827,2.27042635,0.05956895,1.74463589,0.98883798,0.48128681
-5.95197599,5.69332473,0.04266071,0.92331263,1.42940062,2.37452318,0.06087126,1.76502453,0.97707204,0.49418661
-5.94597299,5.86161392,0.04420406,0.96367035,1.48654387,2.48255416,0.06236790,1.79298774,0.97223256,0.50847465
-5.93996998,6.04325332,0.04577172,1.00486101,1.54645077,2.59280378,0.06404320,1.82815064,0.97419752,0.52401164
-5.93396698,6.23513902,0.04733436,1.04614030,1.60829830,2.70345516,0.06587962,1.87003125,0.98272951,0.54064124
-5.92796398,6.43395323,0.04886372,1.08674176,1.67121453,2.81263009,0.06785784,1.91804871,0.99748429,0.55819207
-5.92196098,6.63623672,0.05033308,1.12589481,1.73429714,2.91843233,0.06995670,1.97153230,1.01802037,0.57647972
-5.91595798,6.83846462,0.05171779,1.16284363,1.79663293,3.01899296,0.07215326,2.02973127,1.04380940,0.59530895
-5.90995498,7.03712366,0.05299564,1.19686612,1.85731801,3.11251635,0.07442289,2.09182548,1.07424702,0.61447581
