energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-5.84992496,0.70881919,0.40054468,0.10695235,0.00027098,0.07103654,0.11264792,0.29262519,0.26337056,0.00000000
-5.84392196,0.67597530,0.37320757,0.10273715,0.00023477,0.06652318,0.10465134,0.28273885,0.24844772,0.00000000
-5.83791896,0.64611820,0.34817370,0.09891507,0.00020579,0.06266225,0.09850203,0.27296377,0.23568229,0.00000000
-5.83191596,0.61975942,0.32580245,0.09553855,0.00018381,0.05953322,0.09424817,0.26344916,0.22534421,0.00000000
-5.82591296,0.59746291,0.30644678,0.09267040,0.00016869,0.05721566,0.09194859,0.25437772,0.21771454,0.00000000
-5.81990995,0.57983808,0.29044848,0.09038307,0.00016032,0.05578816,0.09167341,0.24596301,0.21308255,0.00000000
-5.81390695,0.56753038,0.27813309,0.08875738,0.00015870,0.05532717,0.09350350,0.23844569,0.21174170,0.00000000
-5.80790395,0.56120929,0.26980448,0.08788060,0.00016392,0.05590547,0.09752876,0.23208907,0.21398460,0.00000000
-5.80190095,0.56155399,0.26573909,0.08784418,0.00017617,0.05759043,0.10384508,0.22717379,0.22009675,0.00000000
-5.79589795,0.56923679,0.26617965,0.08874097,0.00019577,0.06044191,0.11255028,0.22399194,0.23034927,0.00000000
-5.78989495,0.58490457,0.27132859,0.09066210,0.00022312,0.06451003,0.12373885,0.22284071,0.24499050,0.00000000
-5.78389195,0.60915865,0.28134108,0.09369357,0.00025875,0.06983260,0.13749592,0.22401551,0.26423667,0.00000000
-5.77788894,0.64253336,0.29631777,0.09791272,0.00030327,0.07643243,0.15389045,0.22780300,0.28826183,0.00000000
-5.77188594,0.68547394,0.31629746,0.10338465,0.00035736,0.08431462,0.17296795,0.23447384,0.31718735,0.00000000
-5.76588294,0.73831438,0.34125000,0.11015861,0.00042176,0.09346376,0.19474311,0.24427543,0.35107121,0.00000000
-5.75987994,0.80125592,0.37106964,0.11826476,0.00049725,0.10384145,0.21919253,0.25742481,0.38989773,0.00000000
-5.75387694,0.87434700,0.40556926,0.12771108,0.00058459,0.11538402,0.24624806,0.27410167,0.43356795,0.00000000
-5.74787394,0.95746554,0.44447600,0.13848091,0.00068450,0.12800079,0.27579097,0.29444181,0.48189150,0.00000000
-5.74187094,1.05030444,0.48742857,0.15053093,0.00079766,0.14157299,0.30764746,0.31853105,0.53458030,0.00000000
-5.73586793,1.15236116,0.53397688,0.16378997,0.00092458,0.15595343,0.34158577,0.34639978,0.59124470,0.00000000
-5.72986493,1.26293226,0.58358429,0.17815850,0.00106565,0.17096720,0.37731523,0.37801837,0.65139261,0.00000000
-5.72386193,1.38111343,0.63563283,0.19350906,0.00122103,0.18641329,0.41448751,0.41329349,0.71443194,0.00000000
-5.71785893,1.50580571,0.68943157,0.20968754,0.00139064,0.20206749,0.45270012,0.45206563,0.77967665,0.00000000
-5.71185593,1.63572808,0.74422829,0.22651544,0.00157413,0.21768620,0.49150236,0.49410785,0.84635666,0.00000000
-5.70585293,1.76943655,0.79922421,0.24379290,0.00177081,0.23301151,0.53040357,0.53912600,0.91363141,0.00000000
-5.69984992,1.90534944,0.85359162,0.26130265,0.00197964,0.24777707,0.56888341,0.58676044,0.98060691,0.00000000
-5.69384692,2.04177842,0.90649387,0.27881460,0.00219925,0.26171482,0.60640409,0.63658947,1.04635587,0.00000000
-5.68784392,2.17696446,0.95710705,0.29609100,0.00242789,0.27456226,0.64242387,0.68813438,1.10994028,0.00000000
-5.68184092,2.30911762,1.00464268,0.31289203,0.00266344,0.28606999,0.67641153,0.74086625,1.17043565,0.00000000
-5.67583792,2.43645943,1.04837039,0.32898158,0.00290347,0.29600921,0.70786111,0.79421434,1.22695592,0.00000000
-5.66983492,2.55726636,1.08763963,0.34413303,0.00314525,0.30417887,0.73630633,0.84757603,1.27867829,0.00000000
-5.66383192,2.66991290,1.12189959,0.35813485,0.00338579,0.31041213,0.76133412,0.90032820,1.32486663,0.00000000
-5.65782891,2.77291266,1.15071617,0.37079582,0.00362194,0.31458183,0.78259658,0.95183964,1.36489274,0.00000000
-5.65182591,2.86495597,1.17378538,0.38194971,0.00385044,0.31660475,0.79982085,1.00148442,1.39825435,0.00000000
-5.64582291,2.94494259,1.19094236,0.39145915,0.00406799,0.31644435,0.81281657,1.04865573,1.42458927,0.00000000
-5.63981991,3.01200851,1.20216564,0.39921880,0.00427138,0.31411199,0.82148046,1.09277992,1.44368488,0.00000000
-5.63381691,3.06554571,1.20757637,0.40515748,0.00445756,0.30966637,0.82579791,1.13333028,1.45548279,0.00000000
-5.62781391,3.10521451,1.20743246,0.40923948,0.00462371,0.30321150,0.82584162,1.16984011,1.46007832,0.00000000
-5.62181091,3.13094809,1.20211807,0.41146480,0.00476738,0.29489297,0.82176731,1.20191483,1.45771516,0.00000000
-5.61580790,3.14294932,1.19212875,0.41186857,0.00488648,0.28489294,0.81380675,1.22924250,1.44877524,0.00000000
-5.60980490,3.14168030,1.17805295,0.41051960,0.00497944,0.27342401,0.80225861,1.25160256,1.43376462,0.00000000
-5.60380190,3.12784514,1.16055101,0.40751819,0.00504516,0.26072220,0.78747753,1.26887241,1.41329604,0.00000000
-5.59779890,3.10236712,1.14033221,0.40299335,0.00508311,0.24703948,0.76986183,1.28103160,1.38806893,0.00000000
-5.59179590,3.06636100,1.11813126,0.39709953,0.00509329,0.23263604,0.74984073,1.28816344,1.35884790,0.00000000
-5.58579290,3.02110198,1.09468506,0.39001296,0.00507624,0.21777275,0.72786125,1.29045398,1.32644069,0.00000000
-5.57978989,2.96799228,1.07071079,0.38192784,0.00503300,0.20270405,0.70437573,1.28818830,1.29167639,0.00000000
-5.57378689,2.90852672,1.04688610,0.37305231,0.00496507,0.18767154,0.67983009,1.28174422,1.25538487,0.00000000
-5.56778389,2.84425822,1.02383213,0.36360454,0.00487434,0.17289847,0.65465345,1.27158366,1.21837810,0.00000000
-5.56178089,2.77676444,1.00209991,0.35380871,0.00476301,0.15858534,0.62924927,1.25824171,1.18143393,0.00000000
-5.55577789,2.70761614,0.98216028,0.34389127,0.00463356,0.14490657,0.60398827,1.24231399,1.14528255,0.00000000
-5.54977489,2.63834795,0.96439756,0.33407724,0.00448858,0.13200847,0.57920313,1.22444232,1.11059603,0.00000000
-5.54377189,2.57043203,0.94910679,0.32458669,0.00433079,0.12000820,0.55518500,1.20529934,1.07798074,0.00000000
-5.53776888,2.50525464,0.93649422,0.31563143,0.00416289,0.10899393,0.53218172,1.18557239,1.04797244,0.00000000
-5.53176588,2.44409585,0.92668063,0.30741177,0.00398751,0.09902585,0.51039743,1.16594704,1.02103391,0.00000000
-5.52576288,2.38811216,0.91970694,0.30011350,0.00380717,0.09013795,0.48999356,1.14709072,0.99755436,0.00000000
-5.51975988,2.33832187,0.91554151,0.29390491,0.00362424,0.08234045,0.47109068,1.12963680,0.97785045,0.00000000
-5.51375688,2.29559293,0.91408848,0.28893401,0.00344085,0.07562256,0.45377119,1.11416958,0.96216808,0.00000000
-5.50775388,2.26063297,0.91519659,0.28532579,0.00325894,0.06995556,0.43808237,1.10121039,0.95068472,0.00000000
-5.50175088,2.23398140,0.91866799,0.28317971,0.00308019,0.06529585,0.42403965,1.09120531,0.94351157,0.00000000
-5.49574787,2.21600323,0.92426653,0.28256732,0.00290606,0.06158802,0.41162991,1.08451462,0.94069545,0.00000000
-5.48974487,2.20688472,0.93172530,0.28353016,0.00273776,0.05876765,0.40081465,1.08140430,0.94222003,0.00000000
-5.48374187,2.20663083,0.94075321,0.28607796,0.00257628,0.05676390,0.39153292,1.08203990,0.94800639,0.00000000
-5.47773887,2.21506460,0.95104052,0.29018731,0.00242243,0.05550165,0.38370393,1.08648272,0.95791289,0.00000000
-5.47173587,2.23182873,0.96226339,0.29580082,0.00227679,0.05490342,0.37722944,1.09468873,0.97173465,0.00000000
-5.46573287,2.25638980,0.97408760,0.30282691,0.00213980,0.05489079,0.37199592,1.10651001,0.98920280,0.00000000
-5.45972986,2.28804528,0.98617166,0.31114032,0.00201174,0.05538556,0.36787646,1.12169904,1.00998400,0.00000000
-5.45372686,2.32593385,0.99816954,0.32058347,0.00189273,0.05631058,0.36473272,1.13991552,1.03368062,0.00000000
-5.44772386,2.36904930,1.00973327,0.33096870,0.00178278,0.05759034,0.36241680,1.16073588,1.05983202,0.00000000
-5.44172086,2.41625814,1.02051572,0.34208133,0.00168177,0.05915129,0.36077334,1.18366509,1.08791736,0.00000000
-5.43571786,2.46632109,1.03017375,0.35368379,0.00158947,0.06092216,0.35964169,1.20815065,1.11736043,0.00000000
-5.42971486,2.51791818,1.03837187,0.36552045,0.00150556,0.06283413,0.35885838,1.23359832,1.14753652,0.00000000
-5.42371186,2.56967727,1.04478648,0.37732336,0.00142960,0.06482097,0.35825985,1.25938928,1.17778175,0.00000000
-5.41770885,2.62020541,1.04911076,0.38881854,0.00136109,0.06681925,0.35768537,1.28489813,1.20740464,0.00000000
-5.41170585,2.66812226,1.05106008,0.39973279,0.00129941,0.06876859,0.35698019,1.30951121,1.23569989,0.00000000
-5.40570285,2.71209460,1.05037779,0.40980076,0.00124391,0.07061199,0.35599879,1.33264476,1.26196398,0.00000000
-5.39969985,2.75087105,1.04684120,0.41877198,0.00119385,0.07229628,0.35460810,1.35376215,1.28551216,0.00000000
-5.39369685,2.78331544,1.04026750,0.42641777,0.00114847,0.07377258,0.35269063,1.37238968,1.30569620,0.00000000
-5.38769385,2.80843801,1.03051932,0.43253754,0.00110699,0.07499688,0.35014732,1.38813031,1.32192232,0.00000000
-5.38169085,2.82542287,1.01750968,0.43696442,0.00106860,0.07593063,0.34689999,1.40067496,1.33366836,0.00000000
-5.37568784,2.83365069,1.00120598,0.43956991,0.00103253,0.07654135,0.34289328,1.40981065,1.34049965,0.00000000
-5.36968484,2.83271572,0.98163285,0.44026733,0.00099804,0.07680319,0.33809600,1.41542549,1.34208273,0.00000000
-5.36368184,2.82243616,0.95887360,0.43901404,0.00096444,0.07669739,0.33250168,1.41750995,1.33819624,0.00000000
-5.35767884,2.80285738,0.93307019,0.43581213,0.00093112,0.07621264,0.32612848,1.41615469,1.32873847,0.00000000
-5.35167584,2.77424788,0.90442146,0.43070776,0.00089755,0.07534533,0.31901822,1.41154475,1.31373117,0.00000000
-5.34567284,2.73708776,0.87317983,0.42378902,0.00086333,0.07409954,0.31123475,1.40395037,1.29331926,0.00000000
-5.33966983,2.69205036,0.83964632,0.41518249,0.00082813,0.07248689,0.30286153,1.39371493,1.26776656,0.00000000
-5.33366683,2.63997751,0.80416411,0.40504854,0.00079175,0.07052617,0.29399871,1.38124032,1.23744742,0.00000000
-5.32766383,2.58184947,0.76711080,0.39357573,0.00075412,0.06824276,0.28475959,1.36697043,1.20283473,0.00000000
-5.32166083,2.51875069,0.72888958,0.38097428,0.00071523,0.06566787,0.27526682,1.35137337,1.16448471,0.00000000
