energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.55549845,0.00126796,0.57913765,0.15621279,0.73479355,1.13566215,0.01933802,0.53313798
-5.99399700,2.62149234,0.00133784,0.58974786,0.16044941,0.73928957,1.16811001,0.01999551,0.55407524
-5.98799400,2.68585212,0.00140241,0.60069452,0.16431851,0.74412289,1.20090055,0.02057910,0.57373235
-5.98199100,2.74794454,0.00146068,0.61191468,0.16773790,0.74932298,1.23376686,0.02108171,0.59185794
-5.97598799,2.80708708,0.00151178,0.62330657,0.17063591,0.75487051,1.26638321,0.02149778,0.60822750
-5.96998499,2.86255933,0.00155500,0.63472967,0.17295388,0.76069842,1.29836779,0.02182344,0.62264936
-5.96398199,2.91361606,0.00158979,0.64600629,0.17464803,0.76669482,1.32928775,0.02205639,0.63496949
-5.95797899,2.95950198,0.00161582,0.65692477,0.17569084,0.77270777,1.35866661,0.02219594,0.64507496
-5.95197599,2.99946782,0.00163293,0.66724428,0.17607174,0.77855159,1.38599400,0.02224285,0.65289588
-5.94597299,3.03278748,0.00164119,0.67670121,0.17579704,0.78401449,1.41073766,0.02219916,0.65840578
-5.93996998,3.05877600,0.00164086,0.68501682,0.17488927,0.78886712,1.43235744,0.02206806,0.66162058
-5.93396698,3.07680796,0.00163242,0.69190621,0.17338575,0.79287196,1.45032094,0.02185364,0.66259607
-5.92796398,3.08633605,0.00161649,0.69708807,0.17133660,0.79579292,1.46412047,0.02156070,0.66142430
-5.92196098,3.08690922,0.00159386,0.70029511,0.16880227,0.79740511,1.47329069,0.02119457,0.65822886
-5.91595798,3.07819011,0.00156543,0.70128462,0.16585067,0.79750426,1.47742638,0.02076090,0.65315956
-5.90995498,3.05997106,0.00153218,0.69984884,0.16255414,0.79591560,1.47619965,0.02026552,0.64638659
-5.90395198,3.03218827,0.00149514,0.69582474,0.15898626,0.79250184,1.46937587,0.01971430,0.63809460
-5.89794897,2.99493334,0.00145535,0.68910266,0.15521893,0.78717004,1.45682765,0.01911307,0.62847679
-5.89194597,2.94846169,0.00141383,0.67963359,0.15131954,0.77987710,1.43854613,0.01846757,0.61772943
-5.88594297,2.89319733,0.00137153,0.66743458,0.14734868,0.77063382,1.41464910,0.01778336,0.60604687
-5.87993997,2.82973339,0.00132932,0.65259217,0.14335823,0.75950711,1.38538539,0.01706590,0.59361719
-5.87393697,2.75882825,0.00128796,0.63526346,0.13939016,0.74662065,1.35113520,0.01632051,0.58061870
-5.86793397,2.68139692,0.00124807,0.61567489,0.13547587,0.73215360,1.31240628,0.01555242,0.56721716
-5.86193097,2.59849779,0.00121015,0.59411861,0.13163627,0.71633770,1.26982590,0.01476679,0.55356392
-5.85592796,2.51131492,0.00117454,0.57094666,0.12788239,0.69945264,1.22412882,0.01396876,0.53979473
-5.84992496,2.42113625,0.00114144,0.54656294,0.12421664,0.68181998,1.17614168,0.01316345,0.52602941
-5.84392196,2.32932844,0.00111093,0.52141357,0.12063455,0.66379576,1.12676421,0.01235598,0.51237211
