energy_ev,total_up,Al_p_up,Al_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,3.28357875,0.45396809,0.00000000,1.64950450,1.16862109,0.05132326,1.12241560
-5.99399700,3.06616963,0.43438210,0.00000000,1.53783843,1.08848522,0.04842586,1.03955384
-5.98799400,2.85691800,0.41380985,0.00000000,1.43054054,1.01156489,0.04550778,0.96159954
-5.98199100,2.65677594,0.39254909,0.00000000,1.32839952,0.93811003,0.04260728,0.88870696
-5.97598799,2.46675233,0.37092197,0.00000000,1.23217647,0.86840402,0.03976319,0.82103487
-5.96998499,2.28789628,0.34926734,0.00000000,1.14259468,0.80275782,0.03701395,0.75874799
-5.96398199,2.12127597,0.32793253,0.00000000,1.06032905,0.74150230,0.03439662,0.70201606
-5.95797899,1.96795361,0.30726510,0.00000000,0.98599527,0.68497908,0.03194596,0.65101081
-5.95197599,1.82895775,0.28760458,0.00000000,0.92013873,0.63353037,0.02969362,0.60590097
-5.94597299,1.70525382,0.26927464,0.00000000,0.86322344,0.58748831,0.02766741,0.56684547
-5.93996998,1.59771395,0.25257580,0.00000000,0.81562109,0.54716404,0.02589068,0.53398545
-5.93396698,1.50708721,0.23777885,0.00000000,0.77760040,0.51283704,0.02438187,0.50743520
-5.92796398,1.43397094,0.22511910,0.00000000,0.74931716,0.48474489,0.02315414,0.48727257
-5.92196098,1.37878425,0.21479156,0.00000000,0.73080516,0.46307379,0.02221516,0.47352932
-5.91595798,1.34174432,0.20694699,0.00000000,0.72196848,0.44794994,0.02156706,0.46618176
-5.90995498,1.32284631,0.20168901,0.00000000,0.72257541,0.43943201,0.02120644,0.46514213
-5.90395198,1.32184743,0.19907210,0.00000000,0.73225466,0.43750484,0.02112458,0.47025117
-5.89794897,1.33825591,0.19910071,0.00000000,0.75049412,0.44207441,0.02130767,0.48127218
-5.89194597,1.37132536,0.20172920,0.00000000,0.77664269,0.45296445,0.02173727,0.49788702
-5.88594297,1.42005511,0.20686294,0.00000000,0.80991560,0.46991454,0.02239072,0.51969427
-5.87993997,1.48319701,0.21436036,0.00000000,0.84940353,0.49258019,0.02324180,0.54620992
-5.87393697,1.55926910,0.22403608,0.00000000,0.89408575,0.52053487,0.02426137,0.57687068
-5.86793397,1.64657633,0.23566511,0.00000000,0.94284733,0.55327431,0.02541812,0.61104010
-5.86193097,1.74323858,0.24898817,0.00000000,0.99450030,0.59022312,0.02667941,0.64801746
-5.85592796,1.84722568,0.26371805,0.00000000,1.04780857,0.63074392,0.02801216,0.68704953
-5.84992496,1.95639920,0.27954699,0.00000000,1.10151597,0.67414906,0.02938370,0.72734474
-5.84392196,2.06856005,0.29615500,0.00000000,1.15437673,0.71971474,0.03076280,0.76808976
-5.83791896,2.18150118,0.31321893,0.00000000,1.20518752,0.76669741,0.03212053,0.80846779
-5.83191596,2.29306361,0.33042212,0.00000000,1.25281998,0.81435224,0.03343118,0.84767825
-5.82591296,2.40119445,0.34746424,0.00000000,1.29625249,0.86195295,0.03467307,0.88495710
