energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.31313413,0.01676672,0.40939961,0.03701431,0.87921098,0.65287212,0.26086758
-5.99399700,2.25607062,0.01584355,0.38701888,0.03666240,0.87518678,0.62685001,0.25180267
-5.98799400,2.19479588,0.01489419,0.36512272,0.03610264,0.86791379,0.60150863,0.24235231
-5.98199100,2.13000001,0.01393069,0.34395281,0.03534469,0.85748164,0.57698413,0.23263108
-5.97598799,2.06241638,0.01296439,0.32373021,0.03440141,0.84403525,0.55340092,0.22275382
-5.96998499,1.99280692,0.01200576,0.30465088,0.03328843,0.82777226,0.53087295,0.21283299
-5.96398199,1.92194654,0.01106418,0.28688181,0.03202379,0.80893873,0.50950468,0.20297632
-5.95797899,1.85060699,0.01014788,0.27055803,0.03062746,0.78782341,0.48939183,0.19328456
-5.95197599,1.77954063,0.00926388,0.25578060,0.02912087,0.76475058,0.47062189,0.18384961
-5.94597299,1.70946485,0.00841791,0.24261555,0.02752635,0.74007183,0.45327439,0.17475285
-5.93996998,1.64104753,0.00761456,0.23109388,0.02586667,0.71415703,0.43742129,0.16606390
-5.93396698,1.57489430,0.00685721,0.22121269,0.02416453,0.68738494,0.42312746,0.15783973
-5.92796398,1.51153818,0.00614823,0.21293726,0.02244207,0.66013383,0.41045142,0.15012421
-5.92196098,1.45143222,0.00548900,0.20620417,0.02072045,0.63277263,0.39944666,0.14294801
-5.91595798,1.39494539,0.00488010,0.20092538,0.01901950,0.60565286,0.39016350,0.13632898
-5.90995498,1.34236228,0.00432135,0.19699297,0.01735738,0.57910192,0.38265166,0.13027295
-5.90395198,1.29388651,0.00381202,0.19428462,0.01575037,0.55341780,0.37696350,0.12477488
-5.89794897,1.24964795,0.00335088,0.19266951,0.01421266,0.52886561,0.37315796,0.11982036
-5.89194597,1.20971328,0.00293631,0.19201445,0.01275630,0.50567590,0.37130500,0.11538742
-5.88594297,1.17409960,0.00256645,0.19219011,0.01139113,0.48404477,0.37149036,0.11144861
-5.87993997,1.14279023,0.00223925,0.19307695,0.01012485,0.46413578,0.37382038,0.10797313
-5.87393697,1.11575199,0.00195255,0.19457085,0.00896312,0.44608317,0.37842653,0.10492914
-5.86793397,1.09295284,0.00170414,0.19658799,0.00790966,0.42999630,0.38546928,0.10228598
-5.86193097,1.07437903,0.00149183,0.19906890,0.00696649,0.41596492,0.39514097,0.10001626
-5.85592796,1.06005056,0.00131349,0.20198150,0.00613411,0.40406462,0.40766724,0.09809777
-5.84992496,1.05003405,0.00116706,0.20532285,0.00541174,0.39436240,0.42330669,0.09651506
-5.84392196,1.04445209,0.00105062,0.20911969,0.00479752,0.38692154,0.44234847,0.09526066
-5.83791896,1.04348837,0.00096234,0.21342753,0.00428879,0.38180568,0.46510757,0.09433584
-5.83191596,1.04738800,0.00090053,0.21832836,0.00388223,0.37908174,0.49191767,0.09375089
-5.82591296,1.05645284,0.00086364,0.22392701,0.00357407,0.37882123,0.52312155,0.09352488
-5.81990995,1.07103163,0.00085021,0.23034623,0.00336026,0.38110012,0.55905914,0.09368492
-5.81390695,1.09150534,0.00085893,0.23772072,0.00323654,0.38599696,0.60005343,0.09426491
-5.80790395,1.11826805,0.00088853,0.24619017,0.00319855,0.39358936,0.64639462,0.09530380
-5.80190095,1.15170408,0.00093782,0.25589165,0.00324185,0.40394911,0.69832298,0.09684351
-5.79589795,1.19216246,0.00100565,0.26695165,0.00336193,0.41713591,0.75601097,0.09892647
-5.78989495,1.23992951,0.00109087,0.27947800,0.00355419,0.43319023,0.81954537,0.10159295
-5.78389195,1.29520110,0.00119232,0.29355202,0.00381389,0.45212557,0.88891006,0.10487827
-5.77788894,1.35805549,0.00130878,0.30922127,0.00413606,0.47392052,0.96397042,0.10880997
-5.77188594,1.42842842,0.00143896,0.32649312,0.00451544,0.49851106,1.04445988,0.11340512
-5.76588294,1.50609141,0.00158148,0.34532958,0.00494642,0.52578356,1.12996971,0.11866788
-5.75987994,1.59063463,0.00173483,0.36564349,0.00542292,0.55556892,1.21994250,0.12458727
-5.75387694,1.68145540,0.00189741,0.38729642,0.00593839,0.58763815,1.31367010,0.13113559
-5.74787394,1.77775301,0.00206747,0.41009838,0.00648574,0.62169985,1.41029646,0.13826724
-5.74187094,1.87853073,0.00224312,0.43380945,0.00705737,0.65739984,1.50882571,0.14591819
-5.73586793,1.98260518,0.00242238,0.45814336,0.00764520,0.69432314,1.60813553,0.15400619
-5.72986493,2.08862331,0.00260318,0.48277289,0.00824074,0.73199836,1.70699580,0.16243163
-5.72386193,2.19508658,0.00278335,0.50733719,0.00883522,0.76990463,1.80409219,0.17107916
-5.71785893,2.30038203,0.00296070,0.53145047,0.00941972,0.80748089,1.89805411,0.17981997
-5.71185593,2.40281919,0.00313303,0.55471210,0.00998541,0.84413731,1.98748624,0.18851474
-5.70585293,2.50067186,0.00329819,0.57671759,0.01052372,0.87926867,2.07100275,0.19701713
-5.69984992,2.59222325,0.00345410,0.59707013,0.01102661,0.91226911,2.14726305,0.20517773
