energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
0.95747874,0.87234453,-1.94588573,0.00211256,-0.00127094,0.02239765,-0.03501307,0.24936873,-0.27747031,0.54847947,-1.58034190,0.23549791,-0.30486560,0.06651551,-0.08334103,0.13974705,-0.15497086,0.00000000,-0.00000000
0.96348174,0.83262331,-2.00280547,0.00245468,-0.00141343,0.02204386,-0.03612917,0.23102680,-0.28561289,0.51704883,-1.63005200,0.21737925,-0.31188509,0.06411442,-0.08524134,0.13907875,-0.15686997,0.00000000,-0.00000000
0.96948474,0.79906834,-2.06678750,0.00286214,-0.00156763,0.02187891,-0.03731261,0.21389447,-0.29465218,0.48887521,-1.68686192,0.20031506,-0.31864948,0.06225854,-0.08719794,0.14003317,-0.15897792,0.00000000,-0.00000000
0.97548774,0.77263424,-2.13780042,0.00334212,-0.00173307,0.02192467,-0.03857658,0.19822567,-0.30457100,0.46455180,-1.75065494,0.18452484,-0.32516707,0.06102817,-0.08922280,0.14274031,-0.16133484,0.00000000,-0.00000000
0.98149075,0.75412355,-2.21573210,0.00390155,-0.00190913,0.02219856,-0.03993308,0.18423352,-0.31534293,0.44458004,-1.82123267,0.17018807,-0.33144319,0.06049236,-0.09132713,0.14729857,-0.16398203,0.00000000,-0.00000000
0.98749375,0.74417158,-2.30037043,0.00454685,-0.00209506,0.02271311,-0.04139207,0.17208793,-0.32693010,0.42936147,-1.89830122,0.15744279,-0.33747742,0.06070753,-0.09352037,0.15377184,-0.16695967,0.00000000,-0.00000000
0.99349675,0.74323461,-2.39138510,0.00528365,-0.00228996,0.02347563,-0.04296063,0.16191434,-0.33928107,0.41919189,-1.98145831,0.14638527,-0.34326131,0.06171623,-0.09580918,0.16218699,-0.17030437,0.00000000,-0.00000000
0.99949975,0.75158140,-2.48831192,0.00611649,-0.00249284,0.02448794,-0.04464226,0.15379346,-0.35232907,0.41425776,-2.07018220,0.13707072,-0.34877679,0.06354611,-0.09819651,0.17253187,-0.17404680,0.00000000,-0.00000000
1.00550275,0.76928784,-2.59054072,0.00704851,-0.00270263,0.02574631,-0.04643627,0.14776187,-0.36599072,0.41463445,-2.16382362,0.12951497,-0.35399539,0.06620910,-0.10068098,0.18475395,-0.17820949,0.00000000,-0.00000000
1.01150575,0.79623472,-2.69730802,0.00808108,-0.00291821,0.02724143,-0.04833731,0.14381348,-0.38016536,0.42028646,-2.26160152,0.12369690,-0.35887827,0.06970077,-0.10325625,0.19875960,-0.18280489,0.00000000,-0.00000000
1.01750875,0.83210857,-2.80769525,0.00921357,-0.00313840,0.02895860,-0.05033511,0.14190148,-0.39473512,0.43106925,-2.36260324,0.11956143,-0.36337718,0.07399991,-0.10591082,0.21441412,-0.18783381,0.00000000,-0.00000000
1.02351176,0.87640556,-2.92063310,0.01044298,-0.00336203,0.03087795,-0.05241444,0.14194091,-0.40956575,0.44673277,-2.46578972,0.11702298,-0.36743606,0.07906833,-0.10862792,0.23154255,-0.19328434,0.00000000,-0.00000000
1.02951476,0.92843861,-3.03491221,0.01176378,-0.00358795,0.03297490,-0.05455522,0.14381164,-0.42450826,0.46692652,-2.57000585,0.11596926,-0.37099339,0.08485097,-0.11138573,0.24993153,-0.19913122,0.00000000,-0.00000000
1.03551776,0.98734772,-3.14920010,0.01316767,-0.00381503,0.03522064,-0.05673290,0.14736176,-0.43940134,0.49120614,-2.67399610,0.11626525,-0.37398498,0.09127623,-0.11415779,0.26933190,-0.20533574,0.00000000,-0.00000000
1.04152076,1.05211375,-3.26206402,0.01464350,-0.00404221,0.03758277,-0.05891907,0.15241129,-0.45407440,0.51904157,-2.77642493,0.11775737,-0.37634703,0.09825671,-0.11691358,0.28946257,-0.21184623,0.00000000,-0.00000000
1.04752376,1.12157571,-3.37199907,0.01617726,-0.00426847,0.04002608,-0.06108218,0.15875628,-0.46835124,0.54982684,-2.87590171,0.12027757,-0.37801932,0.10569027,-0.11961936,0.31001519,-0.21859899,0.00000000,-0.00000000
1.05352676,1.19445158,-3.47746054,0.01775219,-0.00449291,0.04251335,-0.06318846,0.16617319,-0.48205415,0.58289143,-2.97100921,0.12364757,-0.37894828,0.11346145,-0.12223904,0.33065992,-0.22551975,0.00000000,-0.00000000
1.05952976,1.26936275,-3.57689957,0.01934892,-0.00471467,0.04500630,-0.06520298,0.17442372,-0.49500818,0.61751323,-3.06033493,0.12768292,-0.37908972,0.12144342,-0.12473518,0.35105214,-0.23252557,0.00000000,-0.00000000
1.06553277,1.34486175,-3.66880078,0.02094588,-0.00493300,0.04746653,-0.06709079,0.18325983,-0.50704567,0.65293306,-3.14250406,0.13219712,-0.37841118,0.12950021,-0.12707007,0.37083989,-0.23952706,0.00000000,-0.00000000
1.07153577,1.41946307,-3.75172061,0.02251964,-0.00514724,0.04985654,-0.06881799,0.19242926,-0.51801057,0.68837055,-3.21621315,0.13700547,-0.37689371,0.13748943,-0.12920672,0.38967205,-0.24643093,0.00000000,-0.00000000
1.07753877,1.49167647,-3.82432500,0.02404552,-0.00535680,0.05214071,-0.07035300,0.20168115,-0.52776256,0.72304129,-3.28026310,0.14192893,-0.37453302,0.14526529,-0.13110994,0.40720683,-0.25314277,0.00000000,-0.00000000
