energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,3.48673786,0.00632727,0.44044612,0.05795604,1.88311757,0.80736585,0.44126022,0.79067606,0.66767382
-5.99399700,3.42946978,0.00611122,0.42302108,0.05791415,1.86730849,0.79513799,0.44201838,0.78071296,0.64630711
-5.98799400,3.38752629,0.00591469,0.40775716,0.05814216,1.85931388,0.78637629,0.44381736,0.77545402,0.62843156
-5.98199100,3.36144292,0.00573918,0.39492780,0.05863952,1.85913451,0.78090470,0.44677204,0.77496306,0.61434135
-5.97598799,3.35140046,0.00558606,0.38474334,0.05940086,1.86660722,0.77850553,0.45097654,0.77919381,0.60423336
-5.96998499,3.35722949,0.00545648,0.37734731,0.06041620,1.88141389,0.77893222,0.45650033,0.78799163,0.59820436
-5.96398199,3.37842244,0.00535146,0.37281428,0.06167129,1.90309350,0.78192176,0.46338447,0.80109768,0.59625078
-5.95797899,3.41415261,0.00527184,0.37114935,0.06314794,1.93105677,0.78720622,0.47163831,0.81815567,0.59827095
-5.95197599,3.46329946,0.00521832,0.37228930,0.06482437,1.96460289,0.79452265,0.48123669,0.83872086,0.60406967
-5.94597299,3.52447964,0.00519142,0.37610523,0.06667559,2.00293801,0.80362107,0.49211804,0.86227134,0.61336500
-5.93996998,3.59608291,0.00519149,0.38240686,0.06867381,2.04519482,0.81427016,0.50418334,0.88822122,0.62579721
-5.93396698,3.67631252,0.00521867,0.39094816,0.07078884,2.09045309,0.82626059,0.51729631,0.91593542,0.64093945
-5.92796398,3.76322916,0.00527290,0.40143445,0.07298852,2.13776066,0.83940592,0.53128482,0.94474594,0.65831016
-5.92196098,3.85479795,0.00535384,0.41353069,0.07523918,2.18615470,0.85354124,0.54594369,0.97396893,0.67738678
-5.91595798,3.94893760,0.00546088,0.42687079,0.07750612,2.23468287,0.86852000,0.56103883,1.00292239,0.69762048
-5.90995498,4.04357089,0.00559307,0.44106785,0.07975415,2.28242403,0.88420924,0.57631272,1.03094386,0.71845164
-5.90395198,4.13667549,0.00574914,0.45572497,0.08194808,2.32850846,0.90048385,0.59149109,1.05740773,0.73932549
-5.89794897,4.22633421,0.00592742,0.47044643,0.08405335,2.37213690,0.91722050,0.60629061,1.08174157,0.75970784
-5.89194597,4.31078324,0.00612588,0.48484888,0.08603661,2.41259847,0.93429152,0.62042729,1.10344111,0.77910005
-5.88594297,4.38845739,0.00634209,0.49857226,0.08786634,2.44928670,0.95155961,0.63362540,1.12208328,0.79705312
-5.87993997,4.45803091,0.00657325,0.51129005,0.08951345,2.48171370,0.96887367,0.64562633,1.13733697,0.81318034
-5.87393697,4.51845246,0.00681617,0.52271861,0.09095193,2.50952159,0.98606609,0.65619729,1.14897105,0.82716797
-5.86793397,4.56897324,0.00706740,0.53262507,0.09215937,2.53249121,1.00295199,0.66513921,1.15685951,0.83878376
-5.86193097,4.60916672,0.00732319,0.54083382,0.09311749,2.55054746,1.01933025,0.67229365,1.16098340,0.84788282
-5.85592796,4.63893936,0.00757961,0.54723090,0.09381260,2.56376087,1.03498659,0.67754827,1.16142947,0.85441071
-5.84992496,4.65853118,0.00783263,0.55176655,0.09423588,2.57234541,1.04969837,0.68084072,1.15838564,0.85840343
-5.84392196,4.66850596,0.00807820,0.55445545,0.09438367,2.57665197,1.06324087,0.68216053,1.15213330,0.85998443
-5.83791896,4.66973081,0.00831235,0.55537473,0.09425749,2.57715774,1.07539469,0.68154917,1.14303675,0.85935853
-5.83191596,4.66334533,0.00853131,0.55465991,0.09386405,2.57445137,1.08595375,0.67909795,1.13153013,0.85680304
-5.82591296,4.65072119,0.00873160,0.55249864,0.09321499,2.56921429,1.09473341,0.67494409,1.11810219,0.85265635
-5.81990995,4.63341302,0.00891014,0.54912271,0.09232658,2.56219847,1.10157810,0.66926491,1.10327954,0.84730425
-5.81390695,4.61310224,0.00906431,0.54479842,0.09121918,2.55420133,1.10636811,0.66227059,1.08760880,0.84116481
-5.80790395,4.59153578,0.00919207,0.53981586,0.08991667,2.54603851,1.10902493,0.65419557,1.07163853,0.83467196
-5.80190095,4.57046172,0.00929197,0.53447734,0.08844569,2.53851550,1.10951492,0.64528929,1.05590126,0.82825889
-5.79589795,4.55156454,0.00936321,0.52908552,0.08683488,2.53239907,1.10785108,0.63580639,1.04089657,0.82234150
-5.78989495,4.53640247,0.00940567,0.52393175,0.08511397,2.52838978,1.10409277,0.62599700,1.02707567,0.81730302
-5.78389195,4.52634972,0.00941986,0.51928499,0.08331297,2.52709682,1.09834357,0.61609753,1.01482822,0.81348009
-5.77788894,4.52254607,0.00940695,0.51538191,0.08146129,2.52901612,1.09074735,0.60632236,1.00447172,0.81115114
-5.77188594,4.52585641,0.00936868,0.51241838,0.07958696,2.53451316,1.08148295,0.59685680,0.99624408,0.81052745
-5.76588294,4.53684199,0.00930733,0.51054296,0.07771594,2.54381127,1.07075784,0.58785164,0.99029968,0.81174744
-5.75987994,4.55574527,0.00922560,0.50985244,0.07587155,2.55698612,1.05880119,0.57941959,0.98670891,0.81487423
-5.75387694,4.58248906,0.00912658,0.51038972,0.07407402,2.57396710,1.04585697,0.57163364,0.98546157,0.81989676
-5.74787394,4.61669042,0.00901363,0.51214406,0.07234027,2.59454549,1.03217728,0.56452751,0.98647366,0.82673426
-5.74187094,4.65768893,0.00889029,0.51505377,0.07068379,2.61838944,1.01801658,0.55809799,0.98959758,0.83524392
-5.73586793,4.70458795,0.00876023,0.51901092,0.06911472,2.64506507,1.00362696,0.55230920,0.99463515,0.84523130
-5.72986493,4.75630718,0.00862713,0.52386822,0.06764016,2.67406278,0.98925459,0.54709828,1.00135293,0.85646291
-5.72386193,4.81164385,0.00849463,0.52944727,0.06626448,2.70482752,0.97513760,0.54238244,1.00949911,0.86868035
-5.71785893,4.86933945,0.00836628,0.53554812,0.06498990,2.73679145,0.96150509,0.53806677,1.01882118,0.88161510
-5.71185593,4.92814845,0.00824547,0.54195941,0.06381703,2.76940729,0.94857709,0.53405248,1.02908356,0.89500335
-5.70585293,4.98690540,0.00813544,0.54846867,0.06274547,2.80218042,0.93656534,0.53024502,1.04008416,0.90859987
-5.69984992,5.04458655,0.00803919,0.55487224,0.06177446,2.83469791,0.92567417,0.52656175,1.05166917,0.92219023
-5.69384692,5.10036265,0.00795952,0.56098425,0.06090340,2.86665271,0.91610133,0.52293861,1.06374511,0.93560067
-5.68784392,5.15363963,0.00789895,0.56664425,0.06013232,2.89786153,0.90803820,0.51933551,1.07628752,0.94870508
-5.68184092,5.20408505,0.00785976,0.57172313,0.05946218,2.92827507,0.90166898,0.51574003,1.08934565,0.96142874
-5.67583792,5.25163822,0.00784393,0.57612701,0.05889503,2.95797990,0.89716866,0.51216932,1.10304296,0.97374845
-5.66983492,5.29650368,0.00785315,0.57979891,0.05843405,2.98719159,0.89469956,0.50867009,1.11757299,0.98568937
-5.66383192,5.33912784,0.00788875,0.58271833,0.05808330,3.01623929,0.89440635,0.50531658,1.13319086,0.99731847
-5.65782891,5.38016026,0.00795174,0.58489859,0.05784740,3.04554245,0.89640977,0.50220673,1.15020067,1.00873522
-5.65182591,5.42040151,0.00804268,0.58638236,0.05773100,3.07558071,0.90079926,0.49945674,1.16893915,1.02006005
-5.64582291,5.46074044,0.00816174,0.58723562,0.05773817,3.10685866,0.90762501,0.49719429,1.18975645,1.03142116
-5.63981991,5.50208454,0.00830860,0.58754045,0.05787172,3.13986721,0.91688975,0.49555084,1.21299478,1.04294079
-5.63381691,5.54528719,0.00848241,0.58738714,0.05813244,3.17504386,0.92854117,0.49465334,1.23896595,1.05472148
-5.62781391,5.59107601,0.00868181,0.58686618,0.05851841,3.21273386,0.94246533,0.49461596,1.26792883,1.06683338
-5.62181091,5.63998635,0.00890487,0.58606053,0.05902438,3.25315458,0.95848180,0.49553218,1.30006785,1.07930330
-5.61580790,5.69230379,0.00914911,0.58503875,0.05964127,3.29636510,0.97634106,0.49746773,1.33547359,1.09210618
-5.60980490,5.74801889,0.00941149,0.58384935,0.06035583,3.34224277,0.99572458,0.50045468,1.37412636,1.10515954
-5.60380190,5.80679689,0.00968844,0.58251668,0.06115050,3.39046814,1.01624780,0.50448719,1.41588377,1.11832123
-5.59779890,5.86796413,0.00997594,0.58103864,0.06200351,3.44051928,1.03746632,0.50951893,1.46047287,1.13139067
-5.59179590,5.93051215,0.01026954,0.57938621,0.06288913,3.49167597,1.05888496,0.51546258,1.50748739,1.14411350
-5.58579290,5.99311935,0.01056449,0.57750492,0.06377830,3.54303376,1.07996969,0.52219117,1.55639045,1.15618941
-5.57978989,6.05418940,0.01085582,0.57531802,0.06463926,3.59352748,1.10016197,0.52954148,1.60652269,1.16728286
-5.57378689,6.11190460,0.01113849,0.57273122,0.06543853,3.64196316,1.11889472,0.53731920,1.65711581,1.17703600
-5.56778389,6.16429157,0.01140746,0.56963859,0.06614193,3.68705717,1.13560965,0.54530570,1.70731094,1.18508323
-5.56178089,6.20929642,0.01165792,0.56592925,0.06671570,3.72748081,1.14977478,0.55326605,1.75618148,1.19106666
-5.55577789,6.24486574,0.01188535,0.56149457,0.06712766,3.76190850,1.16090168,0.56095798,1.80275942,1.19465175
-5.54977489,6.26902983,0.01208570,0.55623524,0.06734833,3.78906753,1.16856149,0.56814136,1.84606439,1.19554232
-5.54377189,6.27998432,0.01225551,0.55006794,0.06735200,3.80778725,1.17239915,0.57458778,1.88513418,1.19349434
-5.53776888,6.27616673,0.01239202,0.54293125,0.06711765,3.81704565,1.17214503,0.58008984,1.91905580,1.18832786
-5.53176588,6.25632452,0.01249330,0.53479034,0.06662970,3.81601133,1.16762374,0.58446961,1.94699573,1.17993648
-5.52576288,6.21957184,0.01255828,0.52564036,0.06587855,3.80407927,1.15875950,0.58758612,1.96822824,1.16829414
-5.51975988,6.16543251,0.01258686,0.51550832,0.06486093,3.78089866,1.14557806,0.58934130,1.98216067,1.15345880
-5.51375688,6.09386767,0.01257989,0.50445337,0.06357998,3.74639182,1.12820513,0.58968425,1.98835458,1.13557302
-5.50775388,6.00528675,0.01253917,0.49256546,0.06204510,3.70076334,1.10686132,0.58861357,1.98654193,1.11486129
