energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,S_s_up,S_p_up
-6.00000000,4.64939687,0.51823854,4.29663708,0.17374115,0.00000000,0.00102369,0.10294207
-5.99399700,4.51847330,0.48968454,4.18478439,0.16112901,0.00000000,0.00097881,0.09676342
-5.98799400,4.40518079,0.46454938,4.08859402,0.14951504,0.00000000,0.00094698,0.09123312
-5.98199100,4.30979936,0.44278685,4.00834222,0.13893067,0.00000000,0.00092848,0.08636178
-5.97598799,4.23229386,0.42431566,3.94401559,0.12939044,0.00000000,0.00092346,0.08215021
-5.96998499,4.17233770,0.40902529,3.89533152,0.12089332,0.00000000,0.00093183,0.07859015
-5.96398199,4.12933881,0.39678105,3.86176104,0.11342422,0.00000000,0.00095337,0.07566508
-5.95797899,4.10246655,0.38742811,3.84255296,0.10695549,0.00000000,0.00098761,0.07335095
-5.95197599,4.09067853,0.38079447,3.83675860,0.10144839,0.00000000,0.00103395,0.07161697
-5.94597299,4.09274704,0.37669292,3.84325645,0.09685456,0.00000000,0.00109159,0.07042624
-5.93996998,4.10728477,0.37492212,3.86077663,0.09311733,0.00000000,0.00115957,0.06973638
-5.93396698,4.13276997,0.37526703,3.88792513,0.09017295,0.00000000,0.00123679,0.06950019
-5.92796398,4.16757150,0.37749905,3.92320814,0.08795178,0.00000000,0.00132203,0.06966626
-5.92196098,4.20997411,0.38137611,3.96505672,0.08637933,0.00000000,0.00141399,0.07017961
-5.91595798,4.25820480,0.38664304,4.01185228,0.08537737,0.00000000,0.00151132,0.07098245
-5.90995498,4.31046044,0.39303265,4.06195324,0.08486494,0.00000000,0.00161266,0.07201493
-5.90395198,4.36493735,0.40026751,4.11372307,0.08475950,0.00000000,0.00171669,0.07321610
-5.89794897,4.41986273,0.40806295,4.16555983,0.08497804,0.00000000,0.00182219,0.07452485
-5.89194597,4.47352805,0.41613099,4.21592704,0.08543836,0.00000000,0.00192809,0.07588107
-5.88594297,4.52432386,0.42418543,4.26338545,0.08606036,0.00000000,0.00203352,0.07722679
-5.87993997,4.57077524,0.43194800,4.30662506,0.08676747,0.00000000,0.00213787,0.07850741
-5.87393697,4.61157713,0.43915512,4.34449656,0.08748805,0.00000000,0.00224085,0.07967296
-5.86793397,4.64562797,0.44556526,4.37604096,0.08815691,0.00000000,0.00234254,0.08067923
-5.86193097,4.67206052,0.45096640,4.40051633,0.08871670,0.00000000,0.00244340,0.08148892
-5.85592796,4.69026816,0.45518318,4.41742031,0.08911925,0.00000000,0.00254437,0.08207254
-5.84992496,4.69992541,0.45808351,4.42650715,0.08932682,0.00000000,0.00264682,0.08240917
