energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,6.69587837,0.01729937,0.72040189,2.23029415,0.33545380,3.00468150,2.39688528,0.04440823,3.40003991
-5.99399700,6.90196289,0.01862724,0.75692243,2.27700008,0.34006217,3.15322790,2.49975710,0.04508679,3.48922182
-5.98799400,7.10032521,0.02000364,0.79421379,2.31739939,0.34433695,3.30034266,2.60082217,0.04587234,3.57114532
-5.98199100,7.28845327,0.02142127,0.83183197,2.35084763,0.34833236,3.44389335,2.69855541,0.04679059,3.64463061
-5.97598799,7.46386366,0.02287235,0.86931681,2.37675769,0.35210202,3.58171471,2.79142457,0.04786531,3.70855531
-5.96998499,7.62416873,0.02434867,0.90620249,2.39462109,0.35569681,3.71166767,2.87793416,0.04911727,3.76188912
-5.96398199,7.76714318,0.02584176,0.94202820,2.40402822,0.35916292,3.83169835,2.95666918,0.05056325,3.80372760
-5.95797899,7.89078665,0.02734300,0.97634857,2.40468637,0.36254003,3.93989469,3.02633668,0.05221508,3.83332332
-5.95197599,7.99337904,0.02884371,1.00874338,2.39643445,0.36585963,4.03453818,3.08580326,0.05407871,3.85011256
-5.94597299,8.07352558,0.03033521,1.03882620,2.37925340,0.36914353,4.11414846,3.13412676,0.05615354,3.85373583
-5.93996998,8.13018941,0.03180891,1.06625154,2.35327165,0.37240255,4.17751912,3.17058063,0.05843183,3.84405126
-5.93396698,8.16271010,0.03325631,1.09072045,2.31876509,0.37563548,4.22374329,3.19467019,0.06089832,3.82113966
-5.92796398,8.17080753,0.03466900,1.11198417,2.27615150,0.37882831,4.25222851,3.20613990,0.06353013,3.78530128
-5.92196098,8.15457162,0.03603871,1.12984610,2.22597962,0.38195379,4.26270061,3.20497189,0.06629687,3.73704431
-5.91595798,8.11443903,0.03735722,1.14416193,2.16891340,0.38497147,4.25519721,3.19137595,0.06916108,3.67706588
-5.90995498,8.05115919,0.03861644,1.15483832,2.10571228,0.38782811,4.23005185,3.16577202,0.07207892,3.60622678
-5.90395198,7.96575238,0.03980836,1.16183031,2.03720853,0.39045873,4.18787034,3.12876639,0.07500116,3.52552155
-5.89794897,7.85946306,0.04092514,1.16513782,1.96428286,0.39278818,4.12950100,3.08112327,0.07787443,3.43604562
-5.89194597,7.73371192,0.04195920,1.16480168,1.88783969,0.39473343,4.05600094,3.02373338,0.08064271,3.33896161
-5.88594297,7.59004995,0.04290332,1.16089953,1.80878312,0.39620632,3.96860040,2.95758147,0.08324904,3.23546657
-5.87993997,7.43011732,0.04375087,1.15354198,1.72799505,0.39711703,3.86866703,2.88371453,0.08563732,3.12676202
-5.87393697,7.25560955,0.04449603,1.14286920,1.64631615,0.39737794,3.75767196,2.80321219,0.08775427,3.01402815
-5.86793397,7.06825243,0.04513406,1.12904838,1.56453067,0.39690790,3.63715896,2.71716061,0.08955127,2.89840328
-5.86193097,6.86978639,0.04566166,1.11227195,1.48335534,0.39563660,3.50871772,2.62663085,0.09098626,2.78096920
-5.85592796,6.66196016,0.04607726,1.09275667,1.40343266,0.39350907,3.37396185,2.53266219,0.09202536,2.66274250
-5.84992496,6.44653266,0.04638138,1.07074349,1.32532839,0.39048982,3.23451167,2.43625059,0.09264436,2.54467159
-5.84392196,6.22528135,0.04657693,1.04649795,1.24953289,0.38656658,3.09198162,2.33834204,0.09282983,2.42763870
-5.83791896,6.00001480,0.04666945,1.02031087,1.17646567,0.38175329,2.94797170,2.23983021,0.09257992,2.31246583
-5.83191596,5.77258680,0.04666732,0.99249904,1.10648236,0.37609229,2.80406202,2.14155759,0.09190473,2.19992329
-5.82591296,5.54490941,0.04658179,0.96340553,1.03988343,0.36965530,2.66180968,2.04431913,0.09082628,2.09073964
-5.81990995,5.31896223,0.04642701,0.93339939,0.97692345,0.36254337,2.52274672,1.94886731,0.08937804,1.98561152
-5.81390695,5.09679582,0.04621983,0.90287428,0.91782044,0.35488541,2.38837836,1.85591756,0.08760404,1.88521216
-5.80790395,4.88052760,0.04597949,0.87224602,0.86276427,0.34683562,2.26018039,1.76615309,0.08555761,1.79019767
-5.80190095,4.67232905,0.04572725,0.84194884,0.81192370,0.33856961,2.13959527,1.68022840,0.08329981,1.70121018
-5.79589795,4.47440412,0.04548579,0.81243020,0.76545157,0.33027959,2.02802613,1.59877070,0.08089756,1.61887745
-5.78989495,4.28895913,0.04527856,0.78414444,0.72348788,0.32216862,1.92682848,1.52237928,0.07842162,1.54380891
-5.78389195,4.11816518,0.04512911,0.75754524,0.68616084,0.31444432,1.83729951,1.45162230,0.07594446,1.47658828
-5.77788894,3.96411487,0.04506024,0.73307720,0.65358580,0.30731223,1.76066490,1.38703164,0.07353811,1.41776312
-5.77188594,3.82877520,0.04509329,0.71116687,0.62586244,0.30096912,1.69806355,1.32909575,0.07127212,1.36783223
-5.76588294,3.71393893,0.04524732,0.69221347,0.60307064,0.29559663,1.65053030,1.27825128,0.06921158,1.32723148
-5.75987994,3.62117686,0.04553847,0.67657984,0.58526524,0.29135534,1.61897724,1.23487402,0.06741543,1.29631918
-5.75387694,3.55179308,0.04597930,0.66458372,0.57247038,0.28837977,1.60417384,1.19926968,0.06593502,1.27536172
-5.74787394,3.50678532,0.04657838,0.65648991,0.56467366,0.28677427,1.60672652,1.17166531,0.06481291,1.26452039
-5.74187094,3.48681189,0.04733992,0.65250337,0.56182072,0.28661008,1.62705801,1.15220166,0.06408208,1.26384010
-5.73586793,3.49216646,0.04826358,0.65276368,0.56381041,0.28792367,1.66538705,1.14092713,0.06376540,1.27324056
-5.72986493,3.52276135,0.04934450,0.65734077,0.57049094,0.29071621,1.72170886,1.13779342,0.06387545,1.29251020
-5.72386193,3.57811957,0.05057339,0.66623214,0.58165720,0.29495441,1.79577698,1.14265312,0.06441467,1.32130327
-5.71785893,3.65737545,0.05193684,0.67936145,0.59704933,0.30057233,1.88708711,1.15525920,0.06537569,1.35913997
-5.71185593,3.75928345,0.05341772,0.69657861,0.61635265,0.30747426,1.99486358,1.17526642,0.06674200,1.40540958
-5.70585293,3.88223424,0.05499563,0.71766103,0.63919886,0.31553836,2.11804931,1.20223427,0.06848877,1.45937658
-5.69984992,4.02427749,0.05664749,0.74231615,0.66516866,0.32462092,2.25529999,1.23563149,0.07058378,1.52018924
-5.69384692,4.18315025,0.05834810,0.77018508,0.69379554,0.33456107,2.40498354,1.27484169,0.07298850,1.58689063
-5.68784392,4.35631035,0.06007076,0.80084716,0.72457077,0.34518559,2.56518576,1.31917004,0.07565928,1.65843177
-5.68184092,4.54097399,0.06178780,0.83382555,0.75694954,0.35631386,2.73372293,1.36785086,0.07854844,1.73368651
-5.67583792,4.73415714,0.06347110,0.86859362,0.79035811,0.36776256,2.90816237,1.42005587,0.08160553,1.81146807
-5.66983492,4.93272029,0.06509261,0.90458233,0.82420196,0.37935018,3.08585138,1.47490340,0.08477842,1.89054706
-5.66383192,5.13341638,0.06662475,0.94118841,0.85787491,0.39090112,3.26395497,1.53146827,0.08801446,1.96967074
-5.65782891,5.33294166,0.06804076,0.97778342,0.89076897,0.40224935,3.43950223,1.58879274,0.09126149,2.04758333
-5.65182591,5.52798928,0.06931501,1.01372374,0.92228502,0.41324158,3.60944107,1.64589846,0.09446889,2.12304735
-5.64582291,5.71530522,0.07042334,1.04836139,0.95184398,0.42373998,3.77070008,1.70179959,0.09758843,2.19486545
-5.63981991,5.89174609,0.07134323,1.08105547,0.97889845,0.43362434,3.92025642,1.75551710,0.10057512,2.26190276
-5.63381691,6.05433787,0.07205414,1.11118442,1.00294442,0.44279389,4.05520747,1.80609423,0.10338796,2.32310905
-5.62781391,6.20033454,0.07253771,1.13815838,1.02353284,0.45116854,4.17284425,1.85261295,0.10599050,2.37754032
-5.62181091,6.32727519,0.07277808,1.16143186,1.04028070,0.45868980,4.27072370,1.89421098,0.10835142,2.42437927
-5.61580790,6.43303779,0.07276214,1.18051591,1.05288115,0.46532128,4.34673711,1.93009915,0.11044488,2.46295383
-5.60980490,6.51588783,0.07247985,1.19498972,1.06111236,0.47104881,4.39917178,1.95957841,0.11225080,2.49275321
-5.60380190,6.57451977,0.07192458,1.20451096,1.06484454,0.47588024,4.42676310,1.98205576,0.11375500,2.51344057
-5.59779890,6.60808935,0.07109339,1.20882451,1.06404498,0.47984479,4.42873455,1.99705868,0.11494920,2.52486185
-5.59179590,6.61623498,0.06998729,1.20776918,1.05878047,0.48299218,4.40482365,2.00424697,0.11583086,2.52705007
-5.58579290,6.59908681,0.06861150,1.20128196,1.04921711,0.48539128,4.35529236,2.00342171,0.11640299,2.52022468
-5.57978989,6.55726245,0.06697557,1.18939960,1.03561718,0.48712848,4.28092112,1.99453053,0.11667373,2.50478592
-5.57378689,6.49184899,0.06509345,1.17225735,1.01833317,0.48830570,4.18298669,1.97766891,0.11665593,2.48130394
-5.56778389,6.40437162,0.06298342,1.15008474,0.99779888,0.48903811,4.06322444,1.95307729,0.11636661,2.45050317
-5.56178089,6.29674953,0.06066792,1.12319869,0.97451799,0.48945152,3.92377667,1.92113387,0.11582637,2.41324225
-5.55577789,6.17124095,0.05817319,1.09199400,0.94905043,0.48967957,3.76712920,1.88234359,0.11505882,2.37049032
-5.54977489,6.03037913,0.05552889,1.05693177,0.92199679,0.48986069,3.59603885,1.83732334,0.11409000,2.32330044
-5.54377189,5.87690188,0.05276748,1.01852615,0.89398168,0.49013499,3.41345503,1.78678433,0.11294779,2.27278125
-5.53776888,5.71367753,0.04992354,0.97732993,0.86563622,0.49064095,3.22243867,1.73151227,0.11166150,2.22006781
-5.53176588,5.54363004,0.04703310,0.93391972,0.83758067,0.49151228,3.02608171,1.67234607,0.11026133,2.16629280
-5.52576288,5.36966627,0.04413277,0.88888124,0.81040750,0.49287468,2.82743047,1.61015625,0.10877816,2.11255902
-5.51975988,5.19460786,0.04125898,0.84279521,0.78466571,0.49484278,2.62941541,1.54582354,0.10724316,2.05991408
-5.51375688,5.02112997,0.03844716,0.79622457,0.76084674,0.49751725,2.43478970,1.48021890,0.10568767,2.00932808
-5.50775388,4.85170858,0.03573100,0.74970321,0.73937261,0.50098208,2.24607822,1.41418522,0.10414304,1.96167472
-5.50175088,4.68857760,0.03314178,0.70372671,0.72058628,0.50530212,2.06553801,1.34852151,0.10264044,1.91771626
