energy_ev,total_up,Bi_p_up,Bi_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.74480774,0.25915920,0.00276255,1.56523622,0.63667896,0.07885332,1.62301021
-5.99399700,2.87983399,0.27223879,0.00292093,1.65396185,0.66471277,0.08178580,1.70241370
-5.98799400,3.01504612,0.28581957,0.00308285,1.74564629,0.69192664,0.08451683,1.78147838
-5.98199100,3.15021078,0.29988581,0.00324813,1.84026094,0.71825568,0.08703403,1.86006788
-5.97598799,3.28521458,0.31442269,0.00341664,1.93780229,0.74367760,0.08933177,1.93812738
-5.96998499,3.42007127,0.32941633,0.00358834,2.03829222,0.76821506,0.09141161,2.01568839
-5.96398199,3.55492245,0.34485327,0.00376325,2.14177543,0.79193606,0.09328254,2.09286926
-5.95797899,3.69003111,0.36071981,0.00394149,2.24831384,0.81495232,0.09496088,2.16987121
-5.95197599,3.82576828,0.37700087,0.00412319,2.35797818,0.83741566,0.09646997,2.24696990
-5.94597299,3.96259306,0.39367874,0.00430855,2.47083703,0.85951242,0.09783949,2.32450266
-5.93996998,4.10102686,0.41073171,0.00449779,2.58694390,0.88145606,0.09910457,2.40285188
-5.93396698,4.24162298,0.42813272,0.00469107,2.70632291,0.90347832,0.10030467,2.48242527
-5.92796398,4.38493300,0.44584819,0.00488856,2.82895400,0.92581929,0.10148224,2.56363372
-5.92196098,4.53147138,0.46383703,0.00509029,2.95475840,0.94871667,0.10268133,2.64686799
-5.91595798,4.68168032,0.48205011,0.00529621,3.08358527,0.97239493,0.10394601,2.73247502
-5.90995498,4.83589620,0.50043006,0.00550611,3.21520035,0.99705469,0.10531892,2.82073529
-5.90395198,4.99431956,0.51891168,0.00571960,3.34927729,1.02286280,0.10683973,2.91184201
-5.89794897,5.15698978,0.53742268,0.00593610,3.48539229,1.04994372,0.10854386,3.00588329
-5.89194597,5.32376588,0.55588501,0.00615482,3.62302235,1.07837239,0.11046126,3.10282810
-5.88594297,5.49431403,0.57421650,0.00637476,3.76154741,1.10816902,0.11261543,3.20251658
-5.87993997,5.66810245,0.59233281,0.00659468,3.90025637,1.13929600,0.11502267,3.30465513
-5.87393697,5.84440379,0.61014960,0.00681317,4.03835660,1.17165701,0.11769164,3.40881659
-5.86793397,6.02230463,0.62758468,0.00702865,4.17498677,1.20509829,0.12062311,3.51444518
-5.86193097,6.20072172,0.64456012,0.00723940,4.30923228,1.23941208,0.12381001,3.62086624
-5.85592796,6.37842391,0.66100407,0.00744358,4.44014266,1.27434192,0.12723773,3.72730001
-5.84992496,6.55405892,0.67685234,0.00763932,4.56675029,1.30958960,0.13088462,3.83287898
-5.84392196,6.72618357,0.69204942,0.00782476,4.68808961,1.34482333,0.13472268,3.93666800
-5.83791896,6.89329637,0.70654909,0.00799806,4.80321622,1.37968683,0.13871839,4.03768631
-5.83191596,7.05387103,0.72031449,0.00815753,4.91122514,1.41380892,0.14283367,4.13493055
