energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,7.74135296,0.31120894,0.00630252,0.00081604,5.35736444,5.27603986,3.06732437
-5.99399700,7.56525645,0.30620298,0.00627252,0.00081257,5.23276907,5.14890893,2.95616312
-5.98799400,7.38197306,0.30091363,0.00623552,0.00081082,5.10344325,5.01432102,2.84174567
-5.98199100,7.19480811,0.29547590,0.00619318,0.00081080,4.97169285,4.87496994,2.72563985
-5.97598799,7.00690817,0.29001111,0.00614708,0.00081242,4.83971234,4.73345449,2.60936850
-5.96998499,6.82117564,0.28462299,0.00609870,0.00081555,4.70952594,4.59220465,2.49437063
-5.96398199,6.64019732,0.27939462,0.00604938,0.00082001,4.58293836,4.45341823,2.38196706
-5.95797899,6.46618977,0.27438642,0.00600030,0.00082555,4.46149723,4.31901037,2.27333195
-5.95197599,6.30096310,0.26963520,0.00595246,0.00083186,4.34646834,4.19057758,2.16947115
-5.94597299,6.14590414,0.26515432,0.00590666,0.00083860,4.23882426,4.06937718,2.07120793
-5.93996998,6.00197841,0.26093485,0.00586356,0.00084540,4.13924603,3.95632219,1.97917645
-5.93396698,5.86974971,0.25694770,0.00582364,0.00085185,4.04813704,3.85199082,1.89382254
-5.92796398,5.74941505,0.25314651,0.00578724,0.00085755,3.96564734,3.75664897,1.81541139
-5.92196098,5.64085166,0.24947120,0.00575460,0.00086210,3.89170643,3.67028362,1.74404102
-5.91595798,5.54367272,0.24585195,0.00572587,0.00086509,3.82606182,3.59264419,1.67966057
-5.90995498,5.45728779,0.24221336,0.00570116,0.00086617,3.76832060,3.52328912,1.62209183
-5.90395198,5.38096381,0.23847867,0.00568052,0.00086501,3.71799137,3.46163442,1.57105266
-5.89794897,5.31388311,0.23457375,0.00566400,0.00086134,3.67452363,3.40700117,1.52618094
-5.89194597,5.25519485,0.23043077,0.00565165,0.00085492,3.63734256,3.35865937,1.48705750
-5.88594297,5.20405729,0.22599128,0.00564349,0.00084561,3.60587707,3.31586569,1.45322711
-5.87993997,5.15966884,0.22120873,0.00563956,0.00083333,3.57957996,3.27789370,1.42421647
-5.87393697,5.12128704,0.21605018,0.00563983,0.00081805,3.55793948,3.24405521,1.39954864
-5.86793397,5.08823510,0.21049737,0.00564427,0.00079985,3.54048226,3.21371271,1.37875359
-5.86193097,5.05989711,0.20454693,0.00565273,0.00077883,3.52676842,3.18628304,1.36137487
-5.85592796,5.03570332,0.19820996,0.00566500,0.00075520,3.51637982,3.16123333,1.34697268
-5.84992496,5.01510792,0.19151100,0.00568071,0.00072921,3.50890344,3.13807082,1.33512390
-5.84392196,4.99756211,0.18448641,0.00569934,0.00070114,3.50391177,3.11632816,1.32541973
-5.83791896,4.98248546,0.17718239,0.00572016,0.00067132,3.50094244,3.09554665,1.31746185
-5.83191596,4.96923873,0.16965277,0.00574228,0.00064012,3.49947939,3.07525919,1.31085797
-5.82591296,4.95710095,0.16195658,0.00576458,0.00060789,3.49893757,3.05497540,1.30521762
-5.81990995,4.94525337,0.15415572,0.00578574,0.00057502,3.49865287,3.03417023,1.30014885
-5.81390695,4.93277208,0.14631265,0.00580426,0.00054185,3.49787886,3.01227790,1.29525671
-5.80790395,4.91863057,0.13848834,0.00581848,0.00050874,3.49579070,2.98869176,1.29014361
-5.80190095,4.90171262,0.13074050,0.00582664,0.00047599,3.49149694,2.96277056,1.28441209
-5.79589795,4.88083517,0.12312207,0.00582688,0.00044389,3.48405843,2.93385095,1.27766969
-5.78989495,4.85478000,0.11568021,0.00581735,0.00041266,3.47251373,2.90126553,1.26953599
-5.78389195,4.82233253,0.10845547,0.00579626,0.00038252,3.45590946,2.86436527,1.25965112
-5.77788894,4.78232533,0.10148146,0.00576190,0.00035362,3.43333399,2.82254486,1.24768544
-5.77188594,4.73368387,0.09478474,0.00571278,0.00032607,3.40395238,2.77526922,1.23334955
-5.76588294,4.67547155,0.08838501,0.00564762,0.00029994,3.36704058,2.72209946,1.21640402
-5.75987994,4.60693138,0.08229551,0.00556545,0.00027529,3.32201680,2.66271641,1.19666815
-5.75387694,4.52752182,0.07652359,0.00546565,0.00025211,3.26846818,2.59694023,1.17402707
-5.74787394,4.43694452,0.07107139,0.00534793,0.00023040,3.20617128,2.52474469,1.14843668
-5.74187094,4.33516248,0.06593658,0.00521242,0.00021012,3.13510507,2.44626523,1.11992616
-5.73586793,4.22240746,0.06111310,0.00505965,0.00019121,3.05545589,2.36180022,1.08859762
-5.72986493,4.09917643,0.05659192,0.00489052,0.00017363,2.96761391,2.27180523,1.05462299
-5.72386193,3.96621716,0.05236173,0.00470629,0.00015730,2.87216148,2.17688072,1.01823829
-5.71785893,3.82450391,0.04840957,0.00450855,0.00014216,2.76985403,2.07775378,0.97973546
