energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,1.06231919,0.01573304,0.21537848,0.20315214,0.35142220,0.03246220,0.18101667
-5.99399700,1.08509826,0.01670850,0.22204053,0.20926274,0.36204177,0.03345211,0.18114520
-5.98799400,1.10518251,0.01765541,0.22826228,0.21495966,0.37181987,0.03437889,0.18064310
-5.98199100,1.12231296,0.01855951,0.23395554,0.22016236,0.38063016,0.03523100,0.17952902
-5.97598799,1.13628729,0.01940701,0.23904326,0.22480509,0.38836149,0.03599741,0.17783325
-5.96998499,1.14695792,0.02018482,0.24345996,0.22883750,0.39491863,0.03666762,0.17559576
-5.96398199,1.15423014,0.02088078,0.24715228,0.23222505,0.40022304,0.03723168,0.17286431
-5.95797899,1.15806027,0.02148393,0.25007935,0.23494924,0.40421357,0.03768023,0.16969260
-5.95197599,1.15845404,0.02198468,0.25221324,0.23700769,0.40684729,0.03800469,0.16613860
-5.94597299,1.15546527,0.02237502,0.25353933,0.23841394,0.40810017,0.03819736,0.16226294
-5.93996998,1.14919463,0.02264866,0.25405659,0.23919709,0.40796783,0.03825160,0.15812768
-5.93396698,1.13978854,0.02280117,0.25377772,0.23940114,0.40646605,0.03816211,0.15379519
-5.92796398,1.12743788,0.02283001,0.25272914,0.23908410,0.40363111,0.03792509,0.14932726
-5.92196098,1.11237638,0.02273467,0.25095076,0.23831669,0.39951981,0.03753851,0.14478449
-5.91595798,1.09487837,0.02251656,0.24849545,0.23718084,0.39420921,0.03700227,0.14022567
-5.90995498,1.07525578,0.02217907,0.24542820,0.23576778,0.38779575,0.03631841,0.13570750
-5.90395198,1.05385409,0.02172744,0.24182499,0.23417584,0.38039403,0.03549119,0.13128417
-5.89794897,1.03104717,0.02116865,0.23777120,0.23250793,0.37213499,0.03452719,0.12700713
-5.89194597,1.00723092,0.02051129,0.23335977,0.23086881,0.36316351,0.03343522,0.12292481
-5.88594297,0.98281574,0.01976539,0.22868897,0.22936212,0.35363556,0.03222633,0.11908231
-5.87993997,0.95821803,0.01894218,0.22385992,0.22808731,0.34371488,0.03091355,0.11552113
-5.87393697,0.93385089,0.01805391,0.21897390,0.22713657,0.33356930,0.02951169,0.11227879
-5.86793397,0.91011435,0.01711358,0.21412956,0.22659184,0.32336685,0.02803705,0.10938851
-5.86193097,0.88738561,0.01613471,0.20942012,0.22652204,0.31327180,0.02650701,0.10687894
-5.85592796,0.86600964,0.01513111,0.20493068,0.22698068,0.30344080,0.02493971,0.10477387
-5.84992496,0.84629072,0.01411663,0.20073577,0.22800390,0.29401928,0.02335358,0.10309211
-5.84392196,0.82848530,0.01310493,0.19689729,0.22960916,0.28513833,0.02176693,0.10184747
-5.83791896,0.81279669,0.01210932,0.19346290,0.23179452,0.27691218,0.02019760,0.10104892
