energy_ev,total_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,1.63372066,1.17911681,0.64490649,0.02299253,0.24953268,0.63742119,0.00694377
-5.99399700,1.70531434,1.23436206,0.67130148,0.02397444,0.26062236,0.66531502,0.00723207
-5.98799400,1.76830246,1.28349773,0.69400389,0.02485430,0.27076174,0.68960306,0.00748082
-5.98199100,1.82156704,1.32561677,0.71257816,0.02562003,0.27984416,0.70980419,0.00768518
-5.97598799,1.86416475,1.35993017,0.72666465,0.02626141,0.28778466,0.72550982,0.00784108
-5.96998499,1.89535707,1.38579185,0.73599144,0.02677037,0.29452236,0.73639743,0.00794544
-5.96398199,1.91463412,1.40271940,0.74038333,0.02714119,0.30002212,0.74224143,0.00799619
-5.95797899,1.92173110,1.41040957,0.73976767,0.02737053,0.30427542,0.74292091,0.00799238
-5.95197599,1.91663669,1.40874798,0.73417669,0.02745754,0.30730042,0.73842386,0.00793420
-5.94597299,1.89959291,1.39781248,0.72374634,0.02740375,0.30914115,0.72884773,0.00782295
-5.93996998,1.87108666,1.37787020,0.70871164,0.02721302,0.30986602,0.71439617,0.00766104
-5.93396698,1.83183336,1.34936841,0.68939880,0.02689135,0.30956568,0.69537237,0.00745185
-5.92796398,1.78275352,1.31291966,0.66621452,0.02644666,0.30835023,0.67216901,0.00719968
-5.92196098,1.72494349,1.26928212,0.63963310,0.02588857,0.30634604,0.64525561,0.00690953
-5.91595798,1.65964169,1.21933590,0.61018180,0.02522813,0.30369233,0.61516371,0.00658702
-5.90995498,1.58819202,1.16405664,0.57842533,0.02447755,0.30053746,0.58247067,0.00623816
-5.90395198,1.51200606,1.10448760,0.54495001,0.02364993,0.29703528,0.54778269,0.00586921
-5.89794897,1.43252560,1.04171134,0.51034841,0.02275902,0.29334161,0.51171803,0.00548649
-5.89194597,1.35118710,0.97682232,0.47520502,0.02181898,0.28961083,0.47489088,0.00509619
-5.88594297,1.26938936,0.91090145,0.44008344,0.02084421,0.28599285,0.43789660,0.00470429
-5.87993997,1.18846545,0.84499342,0.40551556,0.01984917,0.28263046,0.40129891,0.00431636
-5.87393697,1.10965960,0.78008749,0.37199303,0.01884824,0.27965707,0.36561928,0.00393750
-5.86793397,1.03410966,0.71710225,0.33996101,0.01785563,0.27719499,0.33132884,0.00357225
-5.86193097,0.96283501,0.65687442,0.30981435,0.01688528,0.27535410,0.29884287,0.00322453
-5.85592796,0.89672995,0.60015176,0.28189604,0.01595082,0.27423104,0.26851783,0.00289763
-5.84992496,0.83656207,0.54758968,0.25649763,0.01506547,0.27390885,0.24065076,0.00259419
-5.84392196,0.78297481,0.49975122,0.23386137,0.01424206,0.27445694,0.21548081,0.00231624
-5.83791896,0.73649359,0.45710976,0.21418362,0.01349287,0.27593147,0.19319236,0.00206522
-5.83191596,0.69753442,0.42005372,0.19761928,0.01282964,0.27837597,0.17391967,0.00184205
-5.82591296,0.66641415,0.38889269,0.18428659,0.01226345,0.28182207,0.15775217,0.00164716
-5.81990995,0.64336130,0.36386406,0.17427209,0.01180457,0.28629047,0.14474036,0.00148057
-5.81390695,0.62852665,0.34513963,0.16763539,0.01146240,0.29179179,0.13490172,0.00134196
-5.80790395,0.62199299,0.33283168,0.16441328,0.01124525,0.29832739,0.12822624,0.00123073
-5.80190095,0.62378317,0.32699790,0.16462316,0.01116018,0.30589008,0.12468140,0.00114604
-5.79589795,0.63386626,0.32764497,0.16826558,0.01121284,0.31446449,0.12421640,0.00108688
-5.78989495,0.65216158,0.33473073,0.17532577,0.01140727,0.32402731,0.12676528,0.00105211
-5.78389195,0.67854050,0.34816484,0.18577424,0.01174567,0.33454713,0.13224929,0.00104047
-5.77788894,0.71282621,0.36780808,0.19956652,0.01222828,0.34598404,0.14057806,0.00105063
-5.77188594,0.75479181,0.39347076,0.21664212,0.01285323,0.35828892,0.15165014,0.00108121
-5.76588294,0.80415715,0.42491044,0.23692302,0.01361637,0.37140258,0.16535263,0.00113075
-5.75987994,0.86058494,0.46182947,0.26031173,0.01451127,0.38525469,0.18156043,0.00119776
-5.75387694,0.92367670,0.50387297,0.28668925,0.01552914,0.39976274,0.20013514,0.00128069
-5.74787394,0.99296922,0.55062750,0.31591313,0.01665892,0.41483109,0.22092384,0.00137794
-5.74187094,1.06793201,0.60162112,0.34781579,0.01788736,0.43035015,0.24375803,0.00148786
-5.73586793,1.14796625,0.65632503,0.38220327,0.01919918,0.44619601,0.26845286,0.00160875
-5.72986493,1.23240565,0.71415707,0.41885460,0.02057733,0.46223045,0.29480677,0.00173883
-5.72386193,1.32051947,0.77448730,0.45752181,0.02200326,0.47830143,0.32260179,0.00187632
-5.71785893,1.41151769,0.83664563,0.49793061,0.02345724,0.49424427,0.35160435,0.00201938
-5.71185593,1.50455860,0.89993128,0.53978188,0.02491879,0.50988336,0.38156678,0.00216615
-5.70585293,1.59875826,0.96362393,0.58275372,0.02636705,0.52503449,0.41222943,0.00231477
-5.69984992,1.69320188,1.02699611,0.62650423,0.02778118,0.53950776,0.44332333,0.00246341
-5.69384692,1.78695653,1.08932635,0.67067482,0.02914086,0.55311086,0.47457322,0.00261027
-5.68784392,1.87908492,1.14991266,0.71489389,0.03042662,0.56565281,0.50570102,0.00275363
-5.68184092,1.96865960,1.20808573,0.75878109,0.03162024,0.57694782,0.53642943,0.00289184
-5.67583792,2.05477727,1.26322128,0.80195166,0.03270512,0.58681923,0.56648564,0.00302338
-5.66983492,2.13657271,1.31475124,0.84402121,0.03366654,0.59510342,0.59560497,0.00314686
-5.66383192,2.21323194,1.36217321,0.88461050,0.03449187,0.60165343,0.62353441,0.00326106
-5.65782891,2.28400437,1.40505797,0.92335047,0.03517082,0.60634224,0.65003592,0.00336490
-5.65182591,2.34821354,1.44305478,0.95988732,0.03569547,0.60906566,0.67488943,0.00345749
-5.64582291,2.40526654,1.47589447,0.99388753,0.03606036,0.60974459,0.69789552,0.00353813
-5.63981991,2.45466173,1.50339031,1.02504300,0.03626249,0.60832678,0.71887771,0.00360629
-5.63381691,2.49599489,1.52543675,1.05307590,0.03630124,0.60478793,0.73768444,0.00366164
-5.62781391,2.52896370,1.54200621,1.07774347,0.03617829,0.59913222,0.75419052,0.00370402
-5.62181091,2.55337051,1.55314432,1.09884235,0.03589747,0.59139224,0.76829830,0.00373344
-5.61580790,2.56912347,1.55896374,1.11621249,0.03546460,0.58162831,0.77993833,0.00375005
-5.60980490,2.57623592,1.55963692,1.12974041,0.03488729,0.56992733,0.78906963,0.00375418
-5.60380190,2.57482411,1.55538816,1.13936164,0.03417477,0.55640114,0.79567944,0.00374626
-5.59779890,2.56510315,1.54648523,1.14506216,0.03333764,0.54118445,0.79978258,0.00372687
-5.59179590,2.54738131,1.53323076,1.14687876,0.03238765,0.52443232,0.80142029,0.00369667
-5.58579290,2.52205259,1.51595371,1.14489819,0.03133751,0.50631740,0.80065858,0.00365642
-5.57978989,2.48958782,1.49500114,1.13925506,0.03020060,0.48702680,0.79758622,0.00360695
-5.57378689,2.45052429,1.47073038,1.13012850,0.02899081,0.46675874,0.79231223,0.00354917
-5.56778389,2.40545423,1.44350182,1.11773769,0.02772230,0.44571906,0.78496314,0.00348401
-5.56178089,2.35501248,1.41367252,1.10233642,0.02640922,0.42411754,0.77567999,0.00341247
-5.55577789,2.29986374,1.38159059,1.08420693,0.02506559,0.40216424,0.76461520,0.00333557
