energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.88268501,0.00480419,0.78700930,1.34075029,1.25185643,0.78528257,0.00000000
-5.99399700,2.82929005,0.00444824,0.77923246,1.29295981,1.24021191,0.76169227,0.00000000
-5.98799400,2.76990136,0.00410650,0.76886679,1.24470827,1.22439736,0.73758608,0.00000000
-5.98199100,2.70526955,0.00378167,0.75611341,1.19651149,1.20471028,0.71316926,0.00000000
-5.97598799,2.63610838,0.00347581,0.74118845,1.14880513,1.18147340,0.68860980,0.00000000
-5.96998499,2.56308612,0.00319029,0.72431705,1.10194460,1.15502573,0.66404091,0.00000000
-5.96398199,2.48682107,0.00292591,0.70572786,1.05620842,1.12571444,0.63956505,0.00000000
-5.95797899,2.40788075,0.00268282,0.68564837,1.01180471,1.09388780,0.61525910,0.00000000
-5.95197599,2.32678465,0.00246071,0.66430111,0.96888009,1.05988949,0.59118028,0.00000000
-5.94597299,2.24400976,0.00225880,0.64190089,0.92753021,1.02405439,0.56737232,0.00000000
-5.93996998,2.15999844,0.00207598,0.61865298,0.88781131,0.98670585,0.54387161,0.00000000
-5.93396698,2.07516772,0.00191086,0.59475240,0.84975198,0.94815455,0.52071292,0.00000000
-5.92796398,1.98991926,0.00176190,0.57038397,0.81336456,0.90869849,0.49793434,0.00000000
-5.92196098,1.90464924,0.00162746,0.54572308,0.77865541,0.86862423,0.47558128,0.00000000
-5.91595798,1.81975724,0.00150588,0.52093700,0.74563371,0.82820876,0.45370933,0.00000000
-5.90995498,1.73565362,0.00139559,0.49618646,0.71431833,0.78772188,0.43238593,0.00000000
-5.90395198,1.65276465,0.00129507,0.47162730,0.68474254,0.74742868,0.41169068,0.00000000
-5.89794897,1.57153515,0.00120300,0.44741195,0.65695645,0.70759177,0.39171448,0.00000000
-5.89194597,1.49242828,0.00111819,0.42369072,0.63102724,0.66847313,0.37255761,0.00000000
-5.88594297,1.41592258,0.00103967,0.40061254,0.60703733,0.63033515,0.35432666,0.00000000
-5.87993997,1.34250640,0.00096663,0.37832538,0.58508080,0.59344103,0.33713088,0.00000000
-5.87393697,1.27267005,0.00089847,0.35697604,0.56525844,0.55805422,0.32107780,0.00000000
-5.86793397,1.20689624,0.00083476,0.33670954,0.54767187,0.52443711,0.30626869,0.00000000
-5.86193097,1.14564951,0.00077520,0.31766818,0.53241727,0.49284903,0.29279392,0.00000000
-5.85592796,1.08936521,0.00071964,0.29999024,0.51957922,0.46354372,0.28072852,0.00000000
-5.84992496,1.03843887,0.00066803,0.28380864,0.50922505,0.43676640,0.27012833,0.00000000
-5.84392196,0.99321673,0.00062039,0.26924949,0.50140030,0.41275078,0.26102677,0.00000000
-5.83791896,0.95398784,0.00057680,0.25643079,0.49612543,0.39171609,0.25343256,0.00000000
-5.83191596,0.92097839,0.00053736,0.24546131,0.49339419,0.37386422,0.24732854,0.00000000
-5.82591296,0.89434853,0.00050219,0.23643967,0.49317361,0.35937736,0.24267162,0.00000000
-5.81990995,0.87419174,0.00047139,0.22945364,0.49540574,0.34841585,0.23939397,0.00000000
-5.81390695,0.86053684,0.00044508,0.22457963,0.50001095,0.34111647,0.23740544,0.00000000
